,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14
game: 0,2,4,4,3,7,8,9,10.0,11.0,9.0,8.0,7.0,,,
game: 1,2,2,3,6,9,9,8,8.0,8.0,,,,,,
game: 2,1,3,4,7,8,8,8,7.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0
game: 3,4,5,5,5,7,8,8,9.0,7.0,7.0,7.0,7.0,6.0,4.0,
game: 4,2,3,3,4,5,6,5,,,,,,,,
game: 5,2,4,4,5,7,7,8,,,,,,,,
game: 6,1,3,4,5,7,8,7,,,,,,,,
game: 7,3,3,3,5,5,5,7,7.0,6.0,7.0,,,,,
game: 8,1,3,3,5,7,6,6,8.0,9.0,9.0,9.0,6.0,,,
game: 9,2,3,5,7,7,8,10,8.0,7.0,8.0,8.0,8.0,6.0,4.0,4.0
