,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15
game: 0,1,4,6,24,14,12,18,7.0,24.0,7.0,9.0,9.0,13.0,6.0,14.0,7.0
game: 1,4,2,6,4,10,10,7,,,,,,,,,
game: 2,1,4,4,5,6,8,11,20.0,18.0,,,,,,,
game: 3,2,4,3,6,12,16,51,9.0,16.0,9.0,6.0,6.0,,,,
game: 4,1,2,4,6,10,16,49,18.0,6.0,,,,,,,
game: 5,4,3,3,6,7,13,7,13.0,23.0,10.0,,,,,,
game: 6,2,4,4,6,6,20,9,9.0,,,,,,,,
game: 7,2,3,4,9,14,12,21,18.0,27.0,,,,,,,
game: 8,5,5,4,8,5,9,11,13.0,17.0,9.0,11.0,14.0,,,,
game: 9,2,3,6,4,8,13,15,16.0,,,,,,,,
