,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,3,4,3,10,4,6,4,14,7,7.0,5.0,4.0,,
game: 1,3,4,3,5,4,6,9,12,12,13.0,5.0,4.0,4.0,4.0
game: 2,3,4,3,5,4,6,9,12,12,13.0,5.0,4.0,4.0,4.0
game: 3,3,4,4,11,8,6,4,14,7,7.0,5.0,,,
game: 4,3,4,3,5,4,6,9,12,12,13.0,5.0,4.0,4.0,4.0
game: 5,3,4,4,11,15,6,4,14,7,7.0,,,,
game: 6,3,4,3,5,4,6,9,12,12,13.0,5.0,4.0,4.0,
game: 7,3,4,3,10,4,6,4,14,7,7.0,5.0,,,
game: 8,3,4,3,5,4,6,9,12,12,13.0,5.0,4.0,4.0,4.0
game: 9,3,4,4,11,15,6,4,14,7,,,,,
