,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1,3,4,10,8,8,18.0,,,,,,,,,,,
game: 1,2,3,4,9,22,11,30.0,,,,,,,,,,,
game: 2,2,3,4,7,10,18,13.0,16.0,14.0,13.0,7.0,20.0,4.0,4.0,4.0,,,
game: 3,4,3,4,7,11,11,19.0,,,,,,,,,,,
game: 4,2,2,2,4,5,14,10.0,18.0,16.0,10.0,,,,,,,,
game: 5,4,5,6,8,13,12,26.0,14.0,23.0,18.0,,,,,,,,
game: 6,2,3,4,8,14,12,24.0,16.0,20.0,16.0,6.0,,,,,,,
game: 7,2,6,4,20,8,16,11.0,15.0,23.0,14.0,28.0,,,,,,,
game: 8,1,3,11,13,6,9,11.0,18.0,17.0,,,,,,,,,
game: 9,4,4,10,9,9,14,11.0,14.0,16.0,9.0,11.0,11.0,11.0,,,,,
game: 10,2,2,6,5,12,10,21.0,14.0,,,,,,,,,,
game: 11,10,3,3,5,5,10,11.0,9.0,22.0,,,,,,,,,
game: 12,2,5,4,8,7,16,9.0,12.0,15.0,19.0,14.0,9.0,13.0,8.0,18.0,,,
game: 13,4,3,5,6,9,9,12.0,25.0,22.0,32.0,25.0,17.0,19.0,,,,,
game: 14,5,3,5,6,8,7,14.0,15.0,13.0,11.0,8.0,8.0,,,,,,
game: 15,4,3,3,10,11,12,53.0,18.0,37.0,29.0,7.0,8.0,7.0,7.0,4.0,4.0,4.0,4.0
game: 16,2,3,3,4,7,11,29.0,18.0,16.0,19.0,15.0,11.0,11.0,7.0,23.0,6.0,,
game: 17,2,4,3,5,6,16,14.0,19.0,,,,,,,,,,
game: 18,2,2,4,5,7,14,11.0,9.0,15.0,,,,,,,,,
game: 19,2,3,9,13,11,18,15.0,9.0,24.0,20.0,,,,,,,,
game: 20,1,3,5,6,6,7,14.0,10.0,18.0,9.0,9.0,9.0,7.0,,,,,
game: 21,4,2,3,4,7,12,22.0,,,,,,,,,,,
game: 22,1,3,4,6,9,11,30.0,14.0,,,,,,,,,,
game: 23,4,5,5,8,11,11,11.0,,,,,,,,,,,
game: 24,2,2,4,6,7,8,14.0,11.0,84.0,23.0,14.0,25.0,,,,,,
game: 25,4,3,4,7,8,10,15.0,18.0,20.0,18.0,17.0,,,,,,,
game: 26,2,4,4,10,5,7,13.0,22.0,13.0,10.0,7.0,18.0,4.0,10.0,4.0,4.0,,
game: 27,4,3,5,7,7,8,24.0,11.0,37.0,31.0,20.0,,,,,,,
game: 28,1,3,4,7,13,22,,,,,,,,,,,,
game: 29,4,4,7,4,8,10,19.0,18.0,11.0,9.0,,,,,,,,
game: 30,1,2,4,6,9,14,28.0,15.0,18.0,9.0,14.0,8.0,4.0,4.0,4.0,4.0,8.0,
game: 31,4,2,5,5,11,8,15.0,9.0,46.0,20.0,,,,,,,,
game: 32,1,2,3,3,8,9,22.0,18.0,16.0,47.0,19.0,,,,,,,
game: 33,2,4,4,7,6,13,14.0,13.0,22.0,14.0,11.0,,,,,,,
game: 34,2,2,2,4,6,20,16.0,9.0,15.0,10.0,41.0,12.0,13.0,8.0,4.0,,,
game: 35,6,4,5,10,11,8,12.0,14.0,12.0,7.0,,,,,,,,
game: 36,1,5,5,11,23,12,14.0,6.0,8.0,,,,,,,,,
game: 37,4,3,3,6,10,18,9.0,12.0,,,,,,,,,,
game: 38,1,4,5,7,14,12,17.0,19.0,12.0,29.0,19.0,12.0,11.0,17.0,,,,
game: 39,2,4,10,6,8,11,,,,,,,,,,,,
game: 40,2,4,5,9,8,11,24.0,22.0,23.0,9.0,8.0,4.0,12.0,8.0,4.0,,,
game: 41,4,2,3,10,9,10,22.0,16.0,22.0,18.0,7.0,6.0,,,,,,
game: 42,1,4,4,7,20,16,21.0,8.0,10.0,,,,,,,,,
game: 43,2,5,4,9,8,16,9.0,9.0,,,,,,,,,,
game: 44,2,2,3,5,9,26,16.0,5.0,9.0,6.0,11.0,9.0,10.0,,,,,
game: 45,2,3,4,7,9,10,18.0,16.0,85.0,71.0,,,,,,,,
game: 46,2,3,7,2,6,12,22.0,26.0,16.0,11.0,6.0,9.0,9.0,,,,,
game: 47,2,9,5,6,9,11,,,,,,,,,,,,
game: 48,5,3,4,5,11,12,18.0,16.0,32.0,11.0,12.0,8.0,4.0,4.0,4.0,,,
game: 49,2,4,5,10,15,18,39.0,14.0,9.0,25.0,,,,,,,,
game: 50,1,4,4,7,9,14,11.0,14.0,20.0,15.0,18.0,9.0,11.0,,,,,
game: 51,4,3,5,7,17,20,13.0,10.0,11.0,,,,,,,,,
game: 52,2,3,4,8,9,12,30.0,11.0,10.0,32.0,27.0,13.0,8.0,8.0,4.0,,,
game: 53,4,4,4,9,12,16,22.0,11.0,,,,,,,,,,
game: 54,1,2,4,7,9,10,23.0,19.0,28.0,42.0,13.0,8.0,8.0,7.0,7.0,,,
game: 55,4,2,4,6,10,13,33.0,17.0,22.0,20.0,18.0,,,,,,,
game: 56,1,4,6,10,13,23,13.0,20.0,11.0,10.0,13.0,,,,,,,
game: 57,4,3,5,7,11,25,23.0,14.0,18.0,23.0,19.0,,,,,,,
game: 58,2,3,4,7,11,18,12.0,12.0,9.0,20.0,11.0,11.0,10.0,8.0,7.0,,,
game: 59,4,4,6,9,16,15,18.0,20.0,,,,,,,,,,
game: 60,2,2,2,6,8,8,12.0,28.0,42.0,14.0,30.0,20.0,17.0,22.0,14.0,,,
game: 61,4,4,9,9,5,15,13.0,15.0,12.0,,,,,,,,,
game: 62,1,4,6,36,13,12,17.0,20.0,,,,,,,,,,
game: 63,2,2,4,6,11,24,18.0,11.0,12.0,24.0,,,,,,,,
game: 64,2,3,3,12,8,8,12.0,14.0,9.0,6.0,6.0,4.0,,,,,,
game: 65,10,2,4,5,7,8,11.0,9.0,17.0,,,,,,,,,
game: 66,1,3,4,6,14,16,12.0,24.0,15.0,16.0,,,,,,,,
game: 67,2,4,9,5,5,26,11.0,20.0,12.0,16.0,,,,,,,,
game: 68,2,3,4,7,10,14,11.0,35.0,28.0,12.0,22.0,30.0,12.0,13.0,7.0,,,
game: 69,4,3,5,10,9,9,10.0,49.0,14.0,21.0,,,,,,,,
game: 70,1,3,5,6,11,42,12.0,10.0,,,,,,,,,,
game: 71,2,3,4,10,37,13,14.0,18.0,12.0,19.0,,,,,,,,
game: 72,1,6,2,3,6,4,11.0,7.0,21.0,,,,,,,,,
game: 73,4,7,3,6,8,9,13.0,,,,,,,,,,,
game: 74,2,5,7,4,4,8,8.0,26.0,8.0,36.0,15.0,9.0,11.0,6.0,,,,
game: 75,4,3,3,6,12,17,12.0,24.0,,,,,,,,,,
game: 76,2,3,4,6,10,10,16.0,40.0,24.0,39.0,32.0,12.0,9.0,12.0,,,,
game: 77,4,3,4,10,11,17,23.0,11.0,,,,,,,,,,
game: 78,2,3,4,5,17,21,6.0,7.0,10.0,7.0,4.0,8.0,20.0,4.0,4.0,,,
game: 79,6,3,5,7,12,11,16.0,22.0,,,,,,,,,,
game: 80,5,3,3,5,7,16,8.0,11.0,6.0,4.0,11.0,7.0,,,,,,
game: 81,2,4,6,10,19,20,14.0,18.0,16.0,19.0,,,,,,,,
game: 82,2,3,3,6,9,20,16.0,16.0,16.0,10.0,20.0,9.0,,,,,,
