,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 0,1,4,3,6,7,7,8.0,9.0,8.0,7.0,5.0,,,,,,
game: 1,3,4,4,4,6,6,6.0,7.0,6.0,6.0,4.0,,,,,,
game: 2,1,5,5,6,9,9,8.0,7.0,7.0,8.0,7.0,5.0,4.0,4.0,5.0,5.0,3.0
game: 3,3,3,5,4,6,8,7.0,6.0,7.0,6.0,5.0,5.0,4.0,4.0,3.0,,
game: 4,2,3,5,7,6,5,7.0,5.0,5.0,4.0,6.0,4.0,3.0,4.0,3.0,,
game: 5,2,3,3,4,6,6,8.0,9.0,8.0,7.0,8.0,7.0,6.0,,,,
game: 6,2,3,5,6,6,6,7.0,6.0,6.0,7.0,5.0,4.0,,,,,
game: 7,2,3,4,6,8,8,9.0,8.0,9.0,8.0,,,,,,,
game: 8,1,3,3,5,7,8,9.0,8.0,9.0,7.0,7.0,5.0,5.0,,,,
game: 9,2,3,4,7,8,8,9.0,9.0,9.0,7.0,7.0,,,,,,
game: 10,1,3,4,6,7,7,8.0,7.0,6.0,8.0,6.0,5.0,6.0,,,,
game: 11,3,5,4,6,7,8,7.0,8.0,6.0,8.0,7.0,7.0,5.0,,,,
game: 12,1,5,5,7,5,5,5.0,7.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,,
game: 13,3,3,3,4,7,7,7.0,7.0,8.0,7.0,7.0,6.0,6.0,,,,
game: 14,1,3,4,7,7,8,8.0,7.0,8.0,7.0,,,,,,,
game: 15,3,4,3,5,6,8,8.0,8.0,,,,,,,,,
game: 16,1,3,4,4,8,8,9.0,8.0,,,,,,,,,
game: 17,4,3,3,3,6,7,7.0,7.0,5.0,5.0,4.0,3.0,3.0,,,,
game: 18,2,4,4,6,8,7,7.0,7.0,6.0,7.0,6.0,5.0,4.0,4.0,4.0,,
game: 19,2,3,4,6,8,7,9.0,8.0,7.0,5.0,5.0,,,,,,
game: 20,2,3,3,5,5,5,5.0,7.0,6.0,,,,,,,,
game: 21,2,3,4,6,8,8,8.0,9.0,8.0,7.0,6.0,6.0,,,,,
game: 22,1,3,5,7,7,5,5.0,6.0,7.0,6.0,,,,,,,
game: 23,2,3,3,5,6,5,7.0,8.0,7.0,6.0,5.0,6.0,5.0,3.0,,,
game: 24,2,4,3,4,7,7,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,
game: 25,3,2,3,5,8,9,8.0,8.0,6.0,,,,,,,,
game: 26,1,4,4,5,6,6,6.0,5.0,6.0,5.0,4.0,3.0,,,,,
game: 27,2,2,3,4,7,7,7.0,8.0,8.0,8.0,7.0,6.0,,,,,
game: 28,1,4,3,4,7,7,8.0,,,,,,,,,,
game: 29,2,5,4,6,8,9,7.0,6.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0
game: 30,1,3,4,3,7,7,7.0,7.0,6.0,5.0,4.0,4.0,,,,,
game: 31,2,5,5,6,6,6,7.0,8.0,5.0,6.0,8.0,,,,,,
game: 32,2,3,4,5,7,6,7.0,7.0,5.0,5.0,4.0,,,,,,
game: 33,4,5,4,6,6,7,6.0,5.0,5.0,4.0,3.0,3.0,,,,,
game: 34,2,3,3,3,5,5,8.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,4.0,,
game: 35,3,3,5,5,5,5,5.0,6.0,6.0,6.0,5.0,4.0,,,,,
game: 36,2,3,2,5,6,7,8.0,9.0,10.0,9.0,,,,,,,
game: 37,3,3,3,3,5,5,6.0,8.0,7.0,8.0,8.0,7.0,5.0,,,,
game: 38,1,3,4,4,6,7,7.0,6.0,8.0,7.0,6.0,,,,,,
game: 39,2,3,5,6,7,6,7.0,8.0,9.0,8.0,7.0,5.0,,,,,
game: 40,3,5,5,7,7,7,7.0,5.0,4.0,3.0,3.0,,,,,,
game: 41,2,4,4,5,7,8,8.0,7.0,,,,,,,,,
game: 42,1,3,4,5,6,6,5.0,4.0,,,,,,,,,
game: 43,3,2,3,4,6,5,6.0,,,,,,,,,,
game: 44,2,3,3,4,5,6,5.0,7.0,6.0,5.0,5.0,,,,,,
game: 45,3,5,3,5,6,6,7.0,8.0,8.0,7.0,7.0,8.0,,,,,
game: 46,2,5,4,4,6,8,6.0,7.0,8.0,9.0,8.0,,,,,,
game: 47,4,7,7,9,8,7,7.0,,,,,,,,,,
game: 48,1,2,3,3,6,6,7.0,8.0,9.0,9.0,8.0,7.0,5.0,4.0,,,
game: 49,2,3,2,5,7,7,7.0,7.0,7.0,7.0,5.0,3.0,3.0,4.0,,,
game: 50,1,4,6,6,8,7,8.0,8.0,9.0,8.0,7.0,6.0,5.0,,,,
game: 51,2,5,5,5,6,6,6.0,7.0,6.0,,,,,,,,
game: 52,1,4,3,4,7,7,7.0,7.0,6.0,5.0,5.0,4.0,,,,,
game: 53,2,3,5,5,6,7,5.0,6.0,5.0,4.0,4.0,,,,,,
game: 54,1,3,4,4,7,8,8.0,8.0,7.0,,,,,,,,
game: 55,2,3,4,6,8,8,8.0,8.0,8.0,7.0,5.0,4.0,4.0,3.0,3.0,,
game: 56,1,3,4,5,7,6,6.0,6.0,5.0,6.0,7.0,6.0,7.0,,,,
game: 57,2,5,5,6,8,9,10.0,9.0,8.0,,,,,,,,
game: 58,1,2,3,4,7,8,8.0,7.0,5.0,,,,,,,,
game: 59,2,4,3,5,7,7,8.0,7.0,6.0,6.0,5.0,5.0,6.0,,,,
game: 60,2,3,4,5,6,6,5.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,4.0,,
game: 61,2,4,6,7,9,9,9.0,10.0,10.0,8.0,,,,,,,
game: 62,2,2,3,4,6,6,8.0,7.0,8.0,8.0,8.0,,,,,,
game: 63,2,5,5,5,7,5,5.0,6.0,7.0,6.0,7.0,6.0,4.0,3.0,,,
game: 64,1,2,4,4,7,7,8.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,,,
game: 65,2,4,6,5,8,8,7.0,6.0,6.0,6.0,,,,,,,
game: 66,1,5,4,7,7,6,8.0,9.0,7.0,6.0,7.0,8.0,,,,,
game: 67,3,4,6,7,8,6,7.0,8.0,8.0,,,,,,,,
game: 68,1,4,5,5,6,6,8.0,6.0,9.0,9.0,8.0,7.0,6.0,7.0,,,
game: 69,2,4,5,5,6,6,7.0,7.0,,,,,,,,,
game: 70,1,3,4,5,8,7,8.0,8.0,8.0,7.0,6.0,4.0,5.0,3.0,,,
game: 71,3,3,4,7,7,7,,,,,,,,,,,
game: 72,2,3,4,4,7,6,7.0,6.0,4.0,6.0,6.0,,,,,,
game: 73,3,3,3,5,7,8,6.0,,,,,,,,,,
game: 74,1,2,3,4,7,7,7.0,7.0,7.0,7.0,6.0,5.0,6.0,,,,
game: 75,2,4,5,5,5,5,5.0,7.0,6.0,,,,,,,,
game: 76,1,4,5,4,6,6,8.0,8.0,7.0,7.0,6.0,5.0,,,,,
game: 77,2,5,4,6,9,9,7.0,,,,,,,,,,
game: 78,1,4,4,7,8,8,9.0,8.0,8.0,8.0,,,,,,,
game: 79,2,3,3,6,8,9,10.0,9.0,8.0,7.0,5.0,5.0,4.0,,,,
game: 80,1,4,5,8,8,7,7.0,7.0,7.0,6.0,4.0,4.0,,,,,
game: 81,3,4,5,5,5,6,6.0,6.0,6.0,,,,,,,,
game: 82,1,2,4,6,7,8,7.0,,,,,,,,,,
game: 83,3,2,4,6,8,8,8.0,6.0,7.0,5.0,,,,,,,
game: 84,1,4,6,7,6,5,7.0,,,,,,,,,,
game: 85,3,5,7,8,9,8,7.0,8.0,8.0,7.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0
game: 86,2,3,5,5,7,7,7.0,7.0,6.0,4.0,,,,,,,
game: 87,3,4,3,4,6,6,7.0,7.0,,,,,,,,,
game: 88,2,4,4,6,6,5,5.0,5.0,,,,,,,,,
game: 89,3,4,5,5,7,8,7.0,6.0,6.0,7.0,,,,,,,
game: 90,1,2,3,5,6,6,7.0,9.0,10.0,9.0,9.0,7.0,6.0,6.0,5.0,5.0,5.0
game: 91,2,4,4,5,8,8,7.0,,,,,,,,,,
game: 92,2,3,5,3,6,6,7.0,9.0,,,,,,,,,
game: 93,3,5,3,4,6,6,6.0,7.0,5.0,4.0,4.0,,,,,,
game: 94,1,3,3,4,7,7,8.0,7.0,7.0,,,,,,,,
game: 95,2,4,4,6,8,8,9.0,9.0,8.0,7.0,7.0,7.0,6.0,6.0,,,
game: 96,1,4,5,6,7,6,6.0,7.0,,,,,,,,,
game: 97,3,5,5,7,6,7,7.0,9.0,9.0,9.0,,,,,,,
game: 98,1,3,5,4,7,8,8.0,8.0,,,,,,,,,
game: 99,2,3,4,8,9,9,9.0,10.0,10.0,9.0,10.0,9.0,,,,,
