,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14
game: 0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,
game: 1,0,0,0,0,0,0,0,0.0,0.0,,,,,,
game: 2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
game: 3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
game: 4,0,0,0,0,0,0,0,,,,,,,,
game: 5,0,0,0,0,0,0,0,,,,,,,,
game: 6,0,0,0,0,0,0,0,,,,,,,,
game: 7,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,
game: 8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,
game: 9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
