,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15
game: 0,0.0,0.0,0.0,45.45454545454546,26.315789473684216,25.0,41.93548387096774,22.22222222222222,66.66666666666667,30.000000000000004,30.76923076923077,30.76923076923077,38.095238095238095,25.0,48.14814814814815,30.000000000000004
game: 1,19.999999999999996,0.0,25.0,0.0,16.666666666666664,33.333333333333336,22.22222222222222,,,,,,,,,
game: 2,0.0,0.0,0.0,16.666666666666664,0.0,19.999999999999996,26.66666666666667,55.55555555555556,48.57142857142858,,,,,,,
game: 3,0.0,0.0,0.0,14.28571428571429,19.999999999999996,30.434782608695656,62.5,25.0,38.46153846153846,30.76923076923077,25.0,25.0,,,,
game: 4,0.0,0.0,0.0,0.0,16.666666666666664,27.27272727272727,62.30769230769231,52.63157894736843,25.0,,,,,,,
game: 5,19.999999999999996,0.0,0.0,14.28571428571429,12.5,27.77777777777778,22.22222222222222,43.47826086956522,43.90243902439024,23.076923076923073,,,,,,
game: 6,0.0,0.0,0.0,14.28571428571429,14.28571428571429,33.333333333333336,25.0,25.0,,,,,,,,
game: 7,0.0,0.0,0.0,25.0,26.315789473684216,29.411764705882348,38.23529411764706,56.09756097560976,44.89795918367348,,,,,,,
game: 8,0.0,0.0,0.0,27.27272727272727,16.666666666666664,18.181818181818176,21.42857142857143,27.77777777777778,46.875,30.76923076923077,47.61904761904761,60.0,,,,
game: 9,0.0,0.0,25.0,0.0,11.111111111111116,23.529411764705888,28.57142857142857,46.666666666666664,,,,,,,,
