,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,0.0,0.0,0.0,16.666666666666664,11.111111111111116,19.999999999999996,56.09756097560976,,,,,,,,,,,
game: 1,0.0,0.0,0.0,25.0,24.13793103448276,21.42857142857143,48.275862068965516,,,,,,,,,,,
game: 2,0.0,0.0,0.0,12.5,23.076923076923073,37.93103448275862,27.77777777777778,23.809523809523814,30.000000000000004,55.172413793103445,30.000000000000004,69.23076923076923,19.999999999999996,19.999999999999996,19.999999999999996,,,
game: 3,19.999999999999996,0.0,0.0,12.5,21.42857142857143,21.42857142857143,29.629629629629626,,,,,,,,,,,
game: 4,0.0,0.0,0.0,0.0,0.0,41.666666666666664,28.57142857142857,41.93548387096774,38.46153846153846,28.57142857142857,,,,,,,,
game: 5,19.999999999999996,0.0,0.0,27.27272727272727,23.529411764705888,29.411764705882348,40.90909090909091,33.333333333333336,51.06382978723405,60.86956521739131,,,,,,,,
game: 6,0.0,0.0,0.0,11.111111111111116,22.22222222222222,29.411764705882348,44.18604651162791,23.809523809523814,33.333333333333336,58.97435897435898,25.0,,,,,,,
game: 7,0.0,25.0,0.0,28.57142857142857,11.111111111111116,27.27272727272727,26.66666666666667,31.818181818181824,43.90243902439024,30.000000000000004,62.66666666666667,,,,,,,
game: 8,0.0,0.0,21.42857142857143,27.77777777777778,14.28571428571429,18.181818181818176,26.66666666666667,56.09756097560976,50.0,,,,,,,,,
game: 9,19.999999999999996,0.0,9.090909090909093,25.0,25.0,30.000000000000004,26.66666666666667,33.333333333333336,38.46153846153846,30.76923076923077,47.61904761904761,47.61904761904761,47.61904761904761,,,,,
game: 10,0.0,0.0,14.28571428571429,0.0,25.0,28.57142857142857,46.15384615384615,33.333333333333336,,,,,,,,,,
game: 11,37.5,0.0,0.0,16.666666666666664,0.0,16.666666666666664,31.25,25.0,53.191489361702125,,,,,,,,,
game: 12,0.0,0.0,0.0,19.999999999999996,12.5,36.0,25.0,25.0,53.125,45.714285714285715,46.15384615384615,30.76923076923077,27.77777777777778,27.27272727272727,56.09756097560976,,,
game: 13,19.999999999999996,0.0,0.0,14.28571428571429,9.999999999999998,18.181818181818176,29.411764705882348,44.44444444444444,35.29411764705882,51.515151515151516,48.97959183673469,50.0,60.41666666666667,,,,,
game: 14,0.0,0.0,0.0,14.28571428571429,19.999999999999996,12.5,33.333333333333336,44.44444444444444,27.77777777777778,47.61904761904761,50.0,50.0,,,,,,
game: 15,19.999999999999996,0.0,0.0,23.076923076923073,21.42857142857143,25.0,55.08474576271186,35.71428571428571,58.42696629213483,68.4782608695652,30.000000000000004,50.0,30.000000000000004,30.000000000000004,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996
game: 16,0.0,0.0,0.0,19.999999999999996,0.0,21.42857142857143,35.55555555555555,30.76923076923077,30.434782608695656,34.48275862068966,42.307692307692314,47.61904761904761,47.61904761904761,30.000000000000004,53.06122448979591,25.0,,
game: 17,0.0,19.999999999999996,0.0,0.0,0.0,23.809523809523814,30.000000000000004,42.42424242424242,,,,,,,,,,
game: 18,0.0,0.0,0.0,0.0,12.5,36.36363636363637,31.25,25.0,53.125,,,,,,,,,
game: 19,0.0,0.0,18.181818181818176,27.77777777777778,15.384615384615385,33.333333333333336,25.0,25.0,57.14285714285714,31.034482758620683,,,,,,,,
game: 20,0.0,0.0,0.0,14.28571428571429,14.28571428571429,22.22222222222222,33.333333333333336,28.57142857142857,60.86956521739131,30.76923076923077,30.76923076923077,30.76923076923077,30.000000000000004,,,,,
game: 21,19.999999999999996,0.0,0.0,0.0,12.5,25.0,42.10526315789473,,,,,,,,,,,
game: 22,0.0,0.0,0.0,14.28571428571429,18.181818181818176,15.384615384615385,60.526315789473685,53.333333333333336,,,,,,,,,,
game: 23,19.999999999999996,0.0,0.0,27.27272727272727,15.384615384615385,42.10526315789473,26.66666666666667,,,,,,,,,,,
game: 24,0.0,0.0,0.0,14.28571428571429,12.5,19.999999999999996,33.333333333333336,31.25,82.82208588957054,53.06122448979591,30.000000000000004,59.01639344262295,,,,,,
game: 25,19.999999999999996,0.0,0.0,12.5,11.111111111111116,23.076923076923073,25.0,30.76923076923077,59.183673469387756,60.86956521739131,50.0,,,,,,,
game: 26,0.0,0.0,0.0,16.666666666666664,0.0,22.22222222222222,27.77777777777778,55.10204081632652,27.77777777777778,50.0,30.000000000000004,56.09756097560976,19.999999999999996,37.5,19.999999999999996,19.999999999999996,,
game: 27,19.999999999999996,0.0,0.0,12.5,12.5,19.999999999999996,38.46153846153846,26.66666666666667,53.16455696202531,56.94444444444444,42.85714285714286,,,,,,,
game: 28,0.0,0.0,0.0,12.5,13.33333333333333,53.191489361702125,,,,,,,,,,,,
game: 29,19.999999999999996,0.0,22.22222222222222,0.0,11.111111111111116,23.076923076923073,42.42424242424242,57.14285714285714,31.25,30.76923076923077,,,,,,,,
game: 30,0.0,0.0,0.0,0.0,18.181818181818176,30.000000000000004,34.883720930232556,31.818181818181824,52.63157894736843,30.76923076923077,60.0,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996,50.0,
game: 31,19.999999999999996,0.0,0.0,0.0,15.384615384615385,19.999999999999996,44.44444444444444,25.0,76.76767676767678,60.0,,,,,,,,
game: 32,0.0,0.0,0.0,0.0,11.111111111111116,18.181818181818176,43.58974358974359,43.75,33.333333333333336,69.28104575163398,34.48275862068966,,,,,,,
game: 33,0.0,0.0,0.0,12.5,14.28571428571429,35.0,26.315789473684216,43.47826086956522,55.10204081632652,46.15384615384615,47.61904761904761,,,,,,,
game: 34,0.0,0.0,0.0,0.0,0.0,51.21951219512195,40.74074074074075,25.0,53.125,28.57142857142857,58.58585858585859,55.55555555555556,55.172413793103445,50.0,19.999999999999996,,,
game: 35,33.333333333333336,0.0,0.0,28.57142857142857,21.42857142857143,19.999999999999996,25.0,30.000000000000004,55.55555555555556,30.000000000000004,,,,,,,,
game: 36,0.0,0.0,0.0,26.66666666666667,47.72727272727273,25.0,30.000000000000004,25.0,50.0,,,,,,,,,
game: 37,19.999999999999996,0.0,0.0,14.28571428571429,23.076923076923073,45.45454545454546,25.0,29.411764705882348,,,,,,,,,,
game: 38,0.0,0.0,0.0,12.5,22.22222222222222,29.411764705882348,29.166666666666664,32.14285714285714,33.333333333333336,53.2258064516129,45.714285714285715,45.45454545454546,47.61904761904761,51.42857142857142,,,,
game: 39,0.0,0.0,9.090909090909093,14.28571428571429,11.111111111111116,21.42857142857143,,,,,,,,,,,,
game: 40,0.0,0.0,0.0,25.0,11.111111111111116,26.66666666666667,48.93617021276596,43.58974358974359,45.238095238095234,35.71428571428571,50.0,19.999999999999996,29.411764705882348,50.0,19.999999999999996,,,
game: 41,19.999999999999996,0.0,0.0,16.666666666666664,9.999999999999998,23.076923076923073,29.032258064516125,33.333333333333336,53.191489361702125,47.05882352941176,22.22222222222222,25.0,,,,,,
game: 42,0.0,0.0,0.0,12.5,35.483870967741936,27.27272727272727,36.36363636363637,27.27272727272727,33.333333333333336,,,,,,,,,
game: 43,0.0,0.0,0.0,25.0,11.111111111111116,40.74074074074075,25.0,25.0,,,,,,,,,,
game: 44,0.0,0.0,0.0,0.0,25.0,31.57894736842105,57.89473684210527,16.666666666666664,35.71428571428571,25.0,47.61904761904761,30.76923076923077,47.36842105263158,,,,,
game: 45,0.0,0.0,0.0,12.5,9.999999999999998,23.076923076923073,30.76923076923077,27.27272727272727,62.71929824561404,55.90062111801242,,,,,,,,
game: 46,0.0,0.0,12.5,0.0,14.28571428571429,29.411764705882348,44.99999999999999,54.385964912280706,52.94117647058824,47.61904761904761,25.0,30.76923076923077,30.76923076923077,,,,,
game: 47,0.0,18.181818181818176,0.0,14.28571428571429,25.0,31.25,,,,,,,,,,,,
game: 48,0.0,0.0,0.0,16.666666666666664,26.66666666666667,25.0,30.76923076923077,36.0,64.83516483516483,35.29411764705882,29.411764705882348,50.0,19.999999999999996,19.999999999999996,19.999999999999996,,,
game: 49,0.0,0.0,0.0,23.076923076923073,25.0,43.75,58.94736842105264,33.333333333333336,30.76923076923077,62.68656716417911,,,,,,,,
game: 50,0.0,0.0,0.0,30.000000000000004,25.0,36.36363636363637,26.66666666666667,30.000000000000004,59.183673469387756,28.57142857142857,47.05882352941176,30.76923076923077,47.61904761904761,,,,,
game: 51,19.999999999999996,0.0,0.0,12.5,22.72727272727273,51.21951219512195,31.57894736842105,28.57142857142857,21.42857142857143,,,,,,,,,
game: 52,0.0,0.0,0.0,11.111111111111116,18.181818181818176,25.0,41.17647058823529,31.25,33.333333333333336,56.16438356164384,60.29411764705883,55.172413793103445,27.27272727272727,50.0,19.999999999999996,,,
game: 53,19.999999999999996,0.0,0.0,25.0,14.28571428571429,27.27272727272727,44.99999999999999,26.66666666666667,,,,,,,,,,
game: 54,0.0,0.0,0.0,12.5,18.181818181818176,16.666666666666664,41.02564102564102,36.66666666666667,36.36363636363637,66.9291338582677,55.172413793103445,50.0,50.0,30.000000000000004,30.000000000000004,,,
game: 55,19.999999999999996,0.0,0.0,14.28571428571429,16.666666666666664,23.529411764705888,58.22784810126582,34.61538461538461,35.29411764705882,42.85714285714286,55.00000000000001,,,,,,,
game: 56,0.0,0.0,0.0,16.666666666666664,18.75,47.72727272727273,31.57894736842105,59.183673469387756,26.66666666666667,50.0,38.095238095238095,,,,,,,
game: 57,19.999999999999996,0.0,0.0,12.5,26.66666666666667,47.916666666666664,32.35294117647059,33.333333333333336,33.333333333333336,41.02564102564102,34.48275862068966,,,,,,,
game: 58,0.0,0.0,0.0,12.5,15.384615384615385,56.09756097560976,29.411764705882348,25.0,30.76923076923077,52.38095238095239,47.61904761904761,47.61904761904761,47.36842105263158,50.0,30.000000000000004,,,
