,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15
game: 0,1,4,6,44,19,16,31,9.0,72.0,10.0,13.0,13.0,21.0,8.0,27.0,10.0
game: 1,5,2,8,4,12,15,9,,,,,,,,,
game: 2,1,4,4,6,6,10,15,45.0,35.0,,,,,,,
game: 3,2,4,3,7,15,23,136,12.0,26.0,13.0,8.0,8.0,,,,
game: 4,1,2,4,6,12,22,130,38.0,8.0,,,,,,,
game: 5,5,3,3,7,8,18,9,23.0,41.0,13.0,,,,,,
game: 6,2,4,4,7,7,30,12,12.0,,,,,,,,
game: 7,2,3,4,12,19,17,34,41.0,49.0,,,,,,,
game: 8,5,5,4,11,6,11,14,18.0,32.0,13.0,21.0,35.0,,,,
game: 9,2,3,8,4,9,17,21,30.0,,,,,,,,
