,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,3,4,3,12,5,8,5,28,10,10.0,6.0,5.0,,
game: 1,3,4,3,6,5,8,14,22,17,23.0,6.0,5.0,5.0,5.0
game: 2,3,4,3,6,5,8,14,22,17,23.0,6.0,5.0,5.0,5.0
game: 3,3,4,4,13,10,8,5,28,10,10.0,6.0,,,
game: 4,3,4,3,6,5,8,14,22,17,23.0,6.0,5.0,5.0,5.0
game: 5,3,4,4,13,18,8,5,28,10,10.0,,,,
game: 6,3,4,3,6,5,8,14,22,17,23.0,6.0,5.0,5.0,
game: 7,3,4,3,12,5,8,5,28,10,10.0,6.0,,,
game: 8,3,4,3,6,5,8,14,22,17,23.0,6.0,5.0,5.0,5.0
game: 9,3,4,4,13,18,8,5,28,10,,,,,
