,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1,3,4,12,9,10,41.0,,,,,,,,,,,
game: 1,2,3,4,12,29,14,58.0,,,,,,,,,,,
game: 2,2,3,4,8,13,29,18.0,21.0,20.0,29.0,10.0,65.0,5.0,5.0,5.0,,,
game: 3,5,3,4,8,14,14,27.0,,,,,,,,,,,
game: 4,2,2,2,4,5,24,14.0,31.0,26.0,14.0,,,,,,,,
game: 5,5,5,6,11,17,17,44.0,21.0,47.0,46.0,,,,,,,,
game: 6,2,3,4,9,18,17,43.0,21.0,30.0,39.0,8.0,,,,,,,
game: 7,2,8,4,28,9,22,15.0,22.0,41.0,20.0,75.0,,,,,,,
game: 8,1,3,14,18,7,11,15.0,41.0,34.0,,,,,,,,,
game: 9,5,4,11,12,12,20,15.0,21.0,26.0,13.0,21.0,21.0,21.0,,,,,
game: 10,2,2,7,5,16,14,39.0,21.0,,,,,,,,,,
game: 11,16,3,3,6,5,12,16.0,12.0,47.0,,,,,,,,,
game: 12,2,5,4,10,8,25,12.0,16.0,32.0,35.0,26.0,13.0,18.0,11.0,41.0,,,
game: 13,5,3,5,7,10,11,17.0,45.0,34.0,66.0,49.0,34.0,48.0,,,,,
game: 14,5,3,5,7,10,8,21.0,27.0,18.0,21.0,16.0,16.0,,,,,,
game: 15,5,3,3,13,14,16,118.0,28.0,89.0,92.0,10.0,16.0,10.0,10.0,5.0,5.0,5.0,5.0
game: 16,2,3,3,5,7,14,45.0,26.0,23.0,29.0,26.0,21.0,21.0,10.0,49.0,8.0,,
game: 17,2,5,3,5,6,21,20.0,33.0,,,,,,,,,,
game: 18,2,2,4,5,8,22,16.0,12.0,32.0,,,,,,,,,
game: 19,2,3,11,18,13,27,20.0,12.0,56.0,29.0,,,,,,,,
game: 20,1,3,5,7,7,9,21.0,14.0,46.0,13.0,13.0,13.0,10.0,,,,,
game: 21,5,2,3,4,8,16,38.0,,,,,,,,,,,
game: 22,1,3,4,7,11,13,76.0,30.0,,,,,,,,,,
game: 23,5,5,5,11,13,19,15.0,,,,,,,,,,,
game: 24,2,2,4,7,8,10,21.0,16.0,489.0,49.0,20.0,61.0,,,,,,
game: 25,5,3,4,8,9,13,20.0,26.0,49.0,46.0,34.0,,,,,,,
game: 26,2,4,4,12,5,9,18.0,49.0,18.0,20.0,10.0,41.0,5.0,16.0,5.0,5.0,,
game: 27,5,3,5,8,8,10,39.0,15.0,79.0,72.0,35.0,,,,,,,
game: 28,1,3,4,8,15,47,,,,,,,,,,,,
game: 29,5,4,9,4,9,13,33.0,42.0,16.0,13.0,,,,,,,,
game: 30,1,2,4,6,11,20,43.0,22.0,38.0,13.0,35.0,10.0,5.0,5.0,5.0,5.0,16.0,
game: 31,5,2,5,5,13,10,27.0,12.0,198.0,50.0,,,,,,,,
game: 32,1,2,3,3,9,11,39.0,32.0,24.0,153.0,29.0,,,,,,,
game: 33,2,4,4,8,7,20,19.0,23.0,49.0,26.0,21.0,,,,,,,
game: 34,2,2,2,4,6,41,27.0,12.0,32.0,14.0,99.0,27.0,29.0,16.0,5.0,,,
game: 35,9,4,5,14,14,10,16.0,20.0,27.0,10.0,,,,,,,,
game: 36,1,5,5,15,44,16,20.0,8.0,16.0,,,,,,,,,
game: 37,5,3,3,7,13,33,12.0,17.0,,,,,,,,,,
game: 38,1,4,5,8,18,17,24.0,28.0,18.0,62.0,35.0,22.0,21.0,35.0,,,,
game: 39,2,4,11,7,9,14,,,,,,,,,,,,
game: 40,2,4,5,12,9,15,47.0,39.0,42.0,14.0,16.0,5.0,17.0,16.0,5.0,,,
game: 41,5,2,3,12,10,13,31.0,24.0,47.0,34.0,9.0,8.0,,,,,,
game: 42,1,4,4,8,31,22,33.0,11.0,15.0,,,,,,,,,
game: 43,2,5,4,12,9,27,12.0,12.0,,,,,,,,,,
game: 44,2,2,3,5,12,38,38.0,6.0,14.0,8.0,21.0,13.0,19.0,,,,,
game: 45,2,3,4,8,10,13,26.0,22.0,228.0,161.0,,,,,,,,
game: 46,2,3,8,2,7,17,40.0,57.0,34.0,21.0,8.0,13.0,13.0,,,,,
game: 47,2,11,5,7,12,16,,,,,,,,,,,,
game: 48,5,3,4,6,15,16,26.0,25.0,91.0,17.0,17.0,16.0,5.0,5.0,5.0,,,
game: 49,2,4,5,13,20,32,95.0,21.0,13.0,67.0,,,,,,,,
game: 50,1,4,4,10,12,22,15.0,20.0,49.0,21.0,34.0,13.0,21.0,,,,,
game: 51,5,3,5,8,22,41,19.0,14.0,14.0,,,,,,,,,
game: 52,2,3,4,9,11,16,51.0,16.0,15.0,73.0,68.0,29.0,11.0,16.0,5.0,,,
game: 53,5,4,4,12,14,22,40.0,15.0,,,,,,,,,,
game: 54,1,2,4,8,11,12,39.0,30.0,44.0,127.0,29.0,16.0,16.0,10.0,10.0,,,
game: 55,5,2,4,7,12,17,79.0,26.0,34.0,35.0,40.0,,,,,,,
game: 56,1,4,6,12,16,44,19.0,49.0,15.0,20.0,21.0,,,,,,,
game: 57,5,3,5,8,15,48,34.0,21.0,27.0,39.0,29.0,,,,,,,
game: 58,2,3,4,8,13,41,17.0,16.0,13.0,42.0,21.0,21.0,19.0,16.0,10.0,,,
game: 59,5,4,6,12,21,26,26.0,45.0,,,,,,,,,,
