,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
game: 1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
game: 2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
game: 3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
game: 4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
game: 5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
game: 6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,
game: 8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
game: 9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
game: 10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
game: 11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
game: 12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
game: 13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
game: 14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,
game: 15,0,0,0,0,0,0,0.0,0.0,,,,,,,,,
game: 16,0,0,0,0,0,0,0.0,0.0,,,,,,,,,
game: 17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
game: 18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
game: 19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
game: 20,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
game: 21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,
game: 23,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
game: 24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
game: 25,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,
game: 26,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 27,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 28,0,0,0,0,0,0,0.0,,,,,,,,,,
game: 29,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
game: 30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 31,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
game: 32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,
game: 33,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 34,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
game: 35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
