,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,0.3333333333333333,0.25,0.3333333333333333,0.1,0.25,0.16666666666666666,0.25,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.2,0.25,,
game: 1,0.3333333333333333,0.25,0.3333333333333333,0.2,0.25,0.16666666666666666,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.2,0.25,0.25,0.25
game: 2,0.3333333333333333,0.25,0.3333333333333333,0.2,0.25,0.16666666666666666,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.2,0.25,0.25,0.25
game: 3,0.3333333333333333,0.25,0.25,0.09090909090909091,0.125,0.16666666666666666,0.25,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.2,,,
game: 4,0.3333333333333333,0.25,0.3333333333333333,0.2,0.25,0.16666666666666666,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.2,0.25,0.25,0.25
game: 5,0.3333333333333333,0.25,0.25,0.09090909090909091,0.06666666666666667,0.16666666666666666,0.25,0.07142857142857142,0.14285714285714285,0.14285714285714285,,,,
game: 6,0.3333333333333333,0.25,0.3333333333333333,0.2,0.25,0.16666666666666666,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.2,0.25,0.25,
game: 7,0.3333333333333333,0.25,0.3333333333333333,0.1,0.25,0.16666666666666666,0.25,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.2,,,
game: 8,0.3333333333333333,0.25,0.3333333333333333,0.2,0.25,0.16666666666666666,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.2,0.25,0.25,0.25
game: 9,0.3333333333333333,0.25,0.25,0.09090909090909091,0.06666666666666667,0.16666666666666666,0.25,0.07142857142857142,0.14285714285714285,,,,,
