,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1.0,0.3333333333333333,0.25,0.1,0.125,0.125,0.05555555555555555,,,,,,,,,,,
game: 1,0.5,0.3333333333333333,0.25,0.1111111111111111,0.045454545454545456,0.09090909090909091,0.03333333333333333,,,,,,,,,,,
game: 2,0.5,0.3333333333333333,0.25,0.14285714285714285,0.1,0.05555555555555555,0.07692307692307693,0.0625,0.07142857142857142,0.07692307692307693,0.14285714285714285,0.05,0.25,0.25,0.25,,,
game: 3,0.25,0.3333333333333333,0.25,0.14285714285714285,0.09090909090909091,0.09090909090909091,0.05263157894736842,,,,,,,,,,,
game: 4,0.5,0.5,0.5,0.25,0.2,0.07142857142857142,0.1,0.05555555555555555,0.0625,0.1,,,,,,,,
game: 5,0.25,0.2,0.16666666666666666,0.125,0.07692307692307693,0.08333333333333333,0.038461538461538464,0.07142857142857142,0.043478260869565216,0.05555555555555555,,,,,,,,
game: 6,0.5,0.3333333333333333,0.25,0.125,0.07142857142857142,0.08333333333333333,0.041666666666666664,0.0625,0.05,0.0625,0.16666666666666666,,,,,,,
game: 7,0.5,0.16666666666666666,0.25,0.05,0.125,0.0625,0.09090909090909091,0.06666666666666667,0.043478260869565216,0.07142857142857142,0.03571428571428571,,,,,,,
game: 8,1.0,0.3333333333333333,0.09090909090909091,0.07692307692307693,0.16666666666666666,0.1111111111111111,0.09090909090909091,0.05555555555555555,0.058823529411764705,,,,,,,,,
game: 9,0.25,0.25,0.1,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.09090909090909091,0.07142857142857142,0.0625,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,
game: 10,0.5,0.5,0.16666666666666666,0.2,0.08333333333333333,0.1,0.047619047619047616,0.07142857142857142,,,,,,,,,,
game: 11,0.1,0.3333333333333333,0.3333333333333333,0.2,0.2,0.1,0.09090909090909091,0.1111111111111111,0.045454545454545456,,,,,,,,,
game: 12,0.5,0.2,0.25,0.125,0.14285714285714285,0.0625,0.1111111111111111,0.08333333333333333,0.06666666666666667,0.05263157894736842,0.07142857142857142,0.1111111111111111,0.07692307692307693,0.125,0.05555555555555555,,,
game: 13,0.25,0.3333333333333333,0.2,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.04,0.045454545454545456,0.03125,0.04,0.058823529411764705,0.05263157894736842,,,,,
game: 14,0.2,0.3333333333333333,0.2,0.16666666666666666,0.125,0.14285714285714285,0.07142857142857142,0.06666666666666667,0.07692307692307693,0.09090909090909091,0.125,0.125,,,,,,
game: 15,0.25,0.3333333333333333,0.3333333333333333,0.1,0.09090909090909091,0.08333333333333333,0.018867924528301886,0.05555555555555555,0.02702702702702703,0.034482758620689655,0.14285714285714285,0.125,0.14285714285714285,0.14285714285714285,0.25,0.25,0.25,0.25
game: 16,0.5,0.3333333333333333,0.3333333333333333,0.25,0.14285714285714285,0.09090909090909091,0.034482758620689655,0.05555555555555555,0.0625,0.05263157894736842,0.06666666666666667,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.043478260869565216,0.16666666666666666,,
game: 17,0.5,0.25,0.3333333333333333,0.2,0.16666666666666666,0.0625,0.07142857142857142,0.05263157894736842,,,,,,,,,,
game: 18,0.5,0.5,0.25,0.2,0.14285714285714285,0.07142857142857142,0.09090909090909091,0.1111111111111111,0.06666666666666667,,,,,,,,,
game: 19,0.5,0.3333333333333333,0.1111111111111111,0.07692307692307693,0.09090909090909091,0.05555555555555555,0.06666666666666667,0.1111111111111111,0.041666666666666664,0.05,,,,,,,,
game: 20,1.0,0.3333333333333333,0.2,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.07142857142857142,0.1,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14285714285714285,,,,,
game: 21,0.25,0.5,0.3333333333333333,0.25,0.14285714285714285,0.08333333333333333,0.045454545454545456,,,,,,,,,,,
game: 22,1.0,0.3333333333333333,0.25,0.16666666666666666,0.1111111111111111,0.09090909090909091,0.03333333333333333,0.07142857142857142,,,,,,,,,,
game: 23,0.25,0.2,0.2,0.125,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,
game: 24,0.5,0.5,0.25,0.16666666666666666,0.14285714285714285,0.125,0.07142857142857142,0.09090909090909091,0.011904761904761904,0.043478260869565216,0.07142857142857142,0.04,,,,,,
game: 25,0.25,0.3333333333333333,0.25,0.14285714285714285,0.125,0.1,0.06666666666666667,0.05555555555555555,0.05,0.05555555555555555,0.058823529411764705,,,,,,,
game: 26,0.5,0.25,0.25,0.1,0.2,0.14285714285714285,0.07692307692307693,0.045454545454545456,0.07692307692307693,0.1,0.14285714285714285,0.05555555555555555,0.25,0.1,0.25,0.25,,
game: 27,0.25,0.3333333333333333,0.2,0.14285714285714285,0.14285714285714285,0.125,0.041666666666666664,0.09090909090909091,0.02702702702702703,0.03225806451612903,0.05,,,,,,,
game: 28,1.0,0.3333333333333333,0.25,0.14285714285714285,0.07692307692307693,0.045454545454545456,,,,,,,,,,,,
game: 29,0.25,0.25,0.14285714285714285,0.25,0.125,0.1,0.05263157894736842,0.05555555555555555,0.09090909090909091,0.1111111111111111,,,,,,,,
game: 30,1.0,0.5,0.25,0.16666666666666666,0.1111111111111111,0.07142857142857142,0.03571428571428571,0.06666666666666667,0.05555555555555555,0.1111111111111111,0.07142857142857142,0.125,0.25,0.25,0.25,0.25,0.125,
game: 31,0.25,0.5,0.2,0.2,0.09090909090909091,0.125,0.06666666666666667,0.1111111111111111,0.021739130434782608,0.05,,,,,,,,
game: 32,1.0,0.5,0.3333333333333333,0.3333333333333333,0.125,0.1111111111111111,0.045454545454545456,0.05555555555555555,0.0625,0.02127659574468085,0.05263157894736842,,,,,,,
game: 33,0.5,0.25,0.25,0.14285714285714285,0.16666666666666666,0.07692307692307693,0.07142857142857142,0.07692307692307693,0.045454545454545456,0.07142857142857142,0.09090909090909091,,,,,,,
game: 34,0.5,0.5,0.5,0.25,0.16666666666666666,0.05,0.0625,0.1111111111111111,0.06666666666666667,0.1,0.024390243902439025,0.08333333333333333,0.07692307692307693,0.125,0.25,,,
game: 35,0.16666666666666666,0.25,0.2,0.1,0.09090909090909091,0.125,0.08333333333333333,0.07142857142857142,0.08333333333333333,0.14285714285714285,,,,,,,,
game: 36,1.0,0.2,0.2,0.09090909090909091,0.043478260869565216,0.08333333333333333,0.07142857142857142,0.16666666666666666,0.125,,,,,,,,,
game: 37,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.1,0.05555555555555555,0.1111111111111111,0.08333333333333333,,,,,,,,,,
game: 38,1.0,0.25,0.2,0.14285714285714285,0.07142857142857142,0.08333333333333333,0.058823529411764705,0.05263157894736842,0.08333333333333333,0.034482758620689655,0.05263157894736842,0.08333333333333333,0.09090909090909091,0.058823529411764705,,,,
game: 39,0.5,0.25,0.1,0.16666666666666666,0.125,0.09090909090909091,,,,,,,,,,,,
game: 40,0.5,0.25,0.2,0.1111111111111111,0.125,0.09090909090909091,0.041666666666666664,0.045454545454545456,0.043478260869565216,0.1111111111111111,0.125,0.25,0.08333333333333333,0.125,0.25,,,
game: 41,0.25,0.5,0.3333333333333333,0.1,0.1111111111111111,0.1,0.045454545454545456,0.0625,0.045454545454545456,0.05555555555555555,0.14285714285714285,0.16666666666666666,,,,,,
game: 42,1.0,0.25,0.25,0.14285714285714285,0.05,0.0625,0.047619047619047616,0.125,0.1,,,,,,,,,
game: 43,0.5,0.2,0.25,0.1111111111111111,0.125,0.0625,0.1111111111111111,0.1111111111111111,,,,,,,,,,
game: 44,0.5,0.5,0.3333333333333333,0.2,0.1111111111111111,0.038461538461538464,0.0625,0.2,0.1111111111111111,0.16666666666666666,0.09090909090909091,0.1111111111111111,0.1,,,,,
game: 45,0.5,0.3333333333333333,0.25,0.14285714285714285,0.1111111111111111,0.1,0.05555555555555555,0.0625,0.011764705882352941,0.014084507042253521,,,,,,,,
game: 46,0.5,0.3333333333333333,0.14285714285714285,0.5,0.16666666666666666,0.08333333333333333,0.045454545454545456,0.038461538461538464,0.0625,0.09090909090909091,0.16666666666666666,0.1111111111111111,0.1111111111111111,,,,,
game: 47,0.5,0.1111111111111111,0.2,0.16666666666666666,0.1111111111111111,0.09090909090909091,,,,,,,,,,,,
game: 48,0.2,0.3333333333333333,0.25,0.2,0.09090909090909091,0.08333333333333333,0.05555555555555555,0.0625,0.03125,0.09090909090909091,0.08333333333333333,0.125,0.25,0.25,0.25,,,
game: 49,0.5,0.25,0.2,0.1,0.06666666666666667,0.05555555555555555,0.02564102564102564,0.07142857142857142,0.1111111111111111,0.04,,,,,,,,
game: 50,1.0,0.25,0.25,0.14285714285714285,0.1111111111111111,0.07142857142857142,0.09090909090909091,0.07142857142857142,0.05,0.06666666666666667,0.05555555555555555,0.1111111111111111,0.09090909090909091,,,,,
game: 51,0.25,0.3333333333333333,0.2,0.14285714285714285,0.058823529411764705,0.05,0.07692307692307693,0.1,0.09090909090909091,,,,,,,,,
game: 52,0.5,0.3333333333333333,0.25,0.125,0.1111111111111111,0.08333333333333333,0.03333333333333333,0.09090909090909091,0.1,0.03125,0.037037037037037035,0.07692307692307693,0.125,0.125,0.25,,,
game: 53,0.25,0.25,0.25,0.1111111111111111,0.08333333333333333,0.0625,0.045454545454545456,0.09090909090909091,,,,,,,,,,
