,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15
game: 0,300.0,75.0,75.0,37.5,37.5,37.5,37.5,37.5,42.714285714285715,,,,,,,
game: 1,150.0,75.0,50.0,33.333333333333336,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854,42.857142857142854,72.25,,,,,,
game: 2,150.0,100.0,75.0,60.0,50.0,50.0,75.0,75.0,60.0,60.0,49.5,46.5,,,,
game: 3,150.0,100.0,75.0,60.0,42.857142857142854,42.857142857142854,37.5,42.857142857142854,37.5,37.5,50.0,50.0,57.4,68.5,59.8,99.66666666666667
game: 4,150.0,60.0,75.0,50.0,60.0,50.0,50.0,42.857142857142854,49.5,45.666666666666664,37.714285714285715,41.285714285714285,,,,
game: 5,75.0,100.0,75.0,60.0,50.0,48.166666666666664,41.857142857142854,,,,,,,,,
game: 6,150.0,75.0,60.0,100.0,60.0,37.5,50.0,50.0,59.8,,,,,,,
game: 7,150.0,150.0,100.0,50.0,42.857142857142854,50.0,,,,,,,,,,
game: 8,300.0,100.0,75.0,75.0,50.0,42.857142857142854,37.5,33.333333333333336,42.857142857142854,,,,,,,
game: 9,100.0,60.0,50.0,50.0,50.0,42.857142857142854,42.857142857142854,37.5,50.0,63.75,,,,,,
game: 10,300.0,100.0,75.0,50.0,37.5,37.5,42.857142857142854,,,,,,,,,
game: 11,100.0,100.0,60.0,50.0,42.857142857142854,37.5,42.857142857142854,37.5,42.857142857142854,42.857142857142854,50.0,50.0,50.0,60.0,96.33333333333333,52.0
game: 12,100.0,100.0,75.0,150.0,98.66666666666667,96.66666666666667,,,,,,,,,,
game: 13,100.0,75.0,50.0,50.0,42.857142857142854,42.857142857142854,37.5,40.142857142857146,44.0,,,,,,,
game: 14,150.0,100.0,60.0,60.0,42.857142857142854,42.857142857142854,60.0,,,,,,,,,
game: 15,150.0,100.0,60.0,75.0,50.0,42.857142857142854,42.857142857142854,50.0,,,,,,,,
game: 16,150.0,100.0,60.0,50.0,42.857142857142854,42.857142857142854,60.0,60.0,60.0,74.75,,,,,,
game: 17,150.0,75.0,50.0,42.857142857142854,37.5,42.857142857142854,42.857142857142854,42.857142857142854,37.5,50.0,60.0,75.0,100.0,82.0,,
game: 18,300.0,150.0,100.0,60.0,42.857142857142854,42.857142857142854,37.5,37.5,42.857142857142854,50.0,50.0,,,,,
game: 19,100.0,50.0,50.0,42.857142857142854,42.857142857142854,42.857142857142854,33.333333333333336,30.0,37.5,50.0,50.0,67.25,,,,
