,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 0,50.0,12.5,16.666666666666668,8.333333333333334,7.142857142857143,7.142857142857143,6.25,5.555555555555555,6.25,7.142857142857143,9.8,,,,,,
game: 1,16.666666666666668,12.5,12.5,12.5,8.333333333333334,8.333333333333334,8.333333333333334,7.142857142857143,8.333333333333334,8.333333333333334,12.5,,,,,,
game: 2,50.0,10.0,10.0,8.333333333333334,5.555555555555555,5.555555555555555,6.25,7.142857142857143,7.142857142857143,6.25,7.142857142857143,10.0,12.5,12.5,10.0,10.0,16.666666666666668
game: 3,16.666666666666668,16.666666666666668,10.0,12.5,8.333333333333334,6.25,7.142857142857143,8.333333333333334,7.142857142857143,8.333333333333334,10.0,10.0,12.5,12.5,13.333333333333334,,
game: 4,25.0,16.666666666666668,10.0,7.142857142857143,8.333333333333334,10.0,7.142857142857143,10.0,10.0,12.5,8.333333333333334,12.5,16.666666666666668,12.5,14.0,,
game: 5,25.0,16.666666666666668,16.666666666666668,12.5,8.333333333333334,8.333333333333334,6.25,5.555555555555555,6.25,7.142857142857143,6.25,7.142857142857143,8.333333333333334,,,,
game: 6,25.0,16.666666666666668,10.0,8.333333333333334,8.333333333333334,8.333333333333334,7.142857142857143,8.333333333333334,8.333333333333334,7.142857142857143,10.0,10.25,,,,,
game: 7,25.0,16.666666666666668,12.5,8.333333333333334,6.25,6.25,5.555555555555555,6.25,5.555555555555555,6.25,,,,,,,
game: 8,50.0,16.666666666666668,16.666666666666668,10.0,7.142857142857143,6.25,5.555555555555555,6.25,5.555555555555555,7.142857142857143,7.142857142857143,10.0,9.0,,,,
game: 9,25.0,16.666666666666668,12.5,7.142857142857143,6.25,6.25,5.555555555555555,5.555555555555555,5.555555555555555,6.142857142857143,6.0,,,,,,
game: 10,50.0,16.666666666666668,12.5,8.333333333333334,7.142857142857143,7.142857142857143,6.25,7.142857142857143,8.333333333333334,6.25,8.333333333333334,10.0,8.166666666666666,,,,
game: 11,16.666666666666668,10.0,12.5,8.333333333333334,7.142857142857143,6.25,7.142857142857143,6.25,8.333333333333334,6.25,7.142857142857143,7.142857142857143,10.0,,,,
game: 12,50.0,10.0,10.0,7.142857142857143,10.0,10.0,10.0,7.142857142857143,8.333333333333334,10.0,12.5,16.666666666666668,12.5,16.666666666666668,16.666666666666668,,
game: 13,16.666666666666668,16.666666666666668,16.666666666666668,12.5,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,6.25,7.142857142857143,7.142857142857143,8.333333333333334,8.333333333333334,,,,
game: 14,50.0,16.666666666666668,12.5,7.142857142857143,7.142857142857143,6.25,6.25,7.142857142857143,6.25,7.142857142857143,,,,,,,
game: 15,16.666666666666668,12.5,16.666666666666668,10.0,8.333333333333334,6.25,6.25,6.25,,,,,,,,,
game: 16,50.0,16.666666666666668,12.5,12.5,6.25,6.25,5.555555555555555,6.25,,,,,,,,,
game: 17,12.5,16.666666666666668,16.666666666666668,16.666666666666668,8.333333333333334,7.142857142857143,7.142857142857143,7.142857142857143,10.0,10.0,12.5,16.666666666666668,13.666666666666666,,,,
game: 18,25.0,12.5,12.5,8.333333333333334,6.25,7.142857142857143,7.142857142857143,7.142857142857143,8.333333333333334,7.142857142857143,8.333333333333334,10.0,12.5,12.5,12.5,,
game: 19,25.0,16.666666666666668,12.5,8.333333333333334,6.25,7.142857142857143,5.555555555555555,6.25,7.142857142857143,10.0,9.2,,,,,,
game: 20,25.0,16.666666666666668,16.666666666666668,10.0,10.0,10.0,10.0,7.142857142857143,8.333333333333334,,,,,,,,
game: 21,25.0,16.666666666666668,12.5,8.333333333333334,6.25,6.25,6.25,5.555555555555555,6.25,7.142857142857143,8.333333333333334,8.333333333333334,,,,,
game: 22,50.0,16.666666666666668,10.0,7.142857142857143,7.142857142857143,10.0,10.0,8.333333333333334,7.142857142857143,8.333333333333334,,,,,,,
game: 23,25.0,16.666666666666668,16.666666666666668,10.0,8.333333333333334,10.0,7.142857142857143,6.25,7.142857142857143,8.333333333333334,10.0,8.0,10.0,16.666666666666668,,,
game: 24,25.0,12.5,16.666666666666668,12.5,7.142857142857143,7.142857142857143,10.0,10.0,10.0,12.5,12.5,10.0,10.0,12.5,9.2,,
game: 25,16.666666666666668,25.0,16.666666666666668,10.0,6.25,5.555555555555555,6.25,6.25,7.5,,,,,,,,
game: 26,50.0,12.5,12.5,10.0,8.333333333333334,8.333333333333334,8.166666666666666,10.0,8.333333333333334,10.0,12.5,16.333333333333332,,,,,
game: 27,25.0,25.0,16.666666666666668,12.5,7.142857142857143,7.142857142857143,7.142857142857143,6.25,5.75,6.125,7.142857142857143,8.166666666666666,,,,,
game: 28,50.0,12.5,16.666666666666668,12.5,7.142857142857143,7.142857142857143,6.25,,,,,,,,,,
game: 29,25.0,10.0,12.5,8.333333333333334,6.25,5.555555555555555,7.142857142857143,8.333333333333334,12.5,12.5,10.0,10.0,12.5,16.666666666666668,12.5,12.0,12.25
game: 30,50.0,16.666666666666668,12.5,16.666666666666668,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,8.333333333333334,10.0,12.5,12.25,,,,,
game: 31,25.0,10.0,10.0,8.333333333333334,8.333333333333334,8.333333333333334,7.142857142857143,6.25,10.0,8.333333333333334,5.5,,,,,,
game: 32,25.0,16.666666666666668,12.5,10.0,7.142857142857143,8.333333333333334,7.142857142857143,7.142857142857143,10.0,10.0,12.5,,,,,,
game: 33,12.5,10.0,12.5,8.333333333333334,8.333333333333334,7.142857142857143,8.333333333333334,10.0,10.0,12.5,16.666666666666668,11.333333333333334,,,,,
game: 34,25.0,16.666666666666668,16.666666666666668,16.666666666666668,10.0,10.0,6.25,7.142857142857143,7.142857142857143,7.142857142857143,10.0,10.0,10.0,10.0,12.25,,
game: 35,16.666666666666668,16.666666666666668,10.0,10.0,10.0,10.0,10.0,8.333333333333334,8.333333333333334,8.333333333333334,10.0,12.5,,,,,
game: 36,25.0,16.666666666666668,25.0,10.0,8.333333333333334,7.142857142857143,6.25,5.555555555555555,5.0,5.555555555555555,,,,,,,
game: 37,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,10.0,10.0,8.333333333333334,6.25,7.142857142857143,6.25,6.25,7.142857142857143,10.0,,,,
game: 38,50.0,16.666666666666668,12.5,12.5,8.333333333333334,7.142857142857143,7.142857142857143,8.333333333333334,6.25,7.142857142857143,8.333333333333334,,,,,,
game: 39,25.0,16.666666666666668,10.0,8.333333333333334,7.142857142857143,8.333333333333334,7.142857142857143,6.25,5.555555555555555,6.25,7.142857142857143,10.0,,,,,
game: 40,16.666666666666668,10.0,10.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,10.0,12.5,16.666666666666668,16.666666666666668,,,,,,
game: 41,25.0,12.5,12.5,10.0,7.142857142857143,6.25,6.25,7.142857142857143,,,,,,,,,
game: 42,50.0,16.666666666666668,12.5,10.0,8.333333333333334,8.333333333333334,10.0,12.5,,,,,,,,,
game: 43,16.666666666666668,25.0,16.666666666666668,12.5,8.333333333333334,10.0,8.333333333333334,,,,,,,,,,
game: 44,25.0,16.666666666666668,16.666666666666668,12.5,10.0,8.333333333333334,10.0,7.142857142857143,8.333333333333334,10.0,10.0,,,,,,
game: 45,16.666666666666668,10.0,16.666666666666668,10.0,8.333333333333334,8.333333333333334,7.142857142857143,6.25,6.25,7.142857142857143,7.142857142857143,6.25,,,,,
game: 46,25.0,10.0,12.5,12.5,8.333333333333334,6.25,8.333333333333334,7.142857142857143,6.25,5.555555555555555,5.875,,,,,,
game: 47,12.5,7.142857142857143,7.142857142857143,5.555555555555555,6.25,6.142857142857143,6.285714285714286,,,,,,,,,,
game: 48,50.0,25.0,16.666666666666668,16.666666666666668,8.333333333333334,8.333333333333334,7.142857142857143,6.25,5.555555555555555,5.555555555555555,6.25,7.142857142857143,10.0,12.0,,,
game: 49,25.0,16.666666666666668,25.0,10.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,10.0,16.666666666666668,16.666666666666668,12.5,,,
game: 50,50.0,12.5,8.333333333333334,8.333333333333334,6.25,7.142857142857143,6.25,6.25,5.555555555555555,6.25,7.142857142857143,8.333333333333334,10.0,,,,
game: 51,25.0,10.0,10.0,10.0,8.333333333333334,8.333333333333334,8.333333333333334,7.142857142857143,8.0,,,,,,,,
game: 52,50.0,12.5,16.666666666666668,12.5,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,8.333333333333334,10.0,10.0,12.5,,,,,
game: 53,25.0,16.666666666666668,10.0,10.0,8.333333333333334,7.142857142857143,10.0,8.333333333333334,10.0,12.5,12.5,,,,,,
game: 54,50.0,16.666666666666668,12.5,12.5,7.142857142857143,6.25,6.25,6.25,7.0,,,,,,,,
game: 55,25.0,16.666666666666668,12.5,8.333333333333334,6.25,6.25,6.25,6.25,6.25,7.142857142857143,10.0,12.5,12.5,16.666666666666668,16.666666666666668,,
game: 56,50.0,16.666666666666668,12.5,10.0,7.142857142857143,8.333333333333334,8.333333333333334,8.333333333333334,10.0,8.333333333333334,7.142857142857143,8.333333333333334,7.142857142857143,,,,
game: 57,25.0,10.0,10.0,8.333333333333334,6.25,5.555555555555555,5.0,5.555555555555555,6.125,,,,,,,,
game: 58,50.0,25.0,16.666666666666668,12.5,7.142857142857143,6.25,6.25,7.142857142857143,10.0,,,,,,,,
game: 59,25.0,12.5,16.666666666666668,10.0,7.142857142857143,7.142857142857143,6.25,7.142857142857143,8.333333333333334,8.333333333333334,10.0,9.8,7.666666666666667,,,,
game: 60,25.0,16.666666666666668,12.5,10.0,8.333333333333334,8.333333333333334,10.0,8.333333333333334,7.142857142857143,8.333333333333334,10.0,7.666666666666667,10.0,9.4,12.0,,
game: 61,25.0,12.5,8.333333333333334,7.142857142857143,5.555555555555555,5.555555555555555,5.555555555555555,5.0,5.0,5.875,,,,,,,
game: 62,25.0,25.0,16.666666666666668,12.5,8.333333333333334,8.333333333333334,6.25,7.142857142857143,6.25,6.25,6.25,,,,,,
game: 63,25.0,10.0,10.0,10.0,7.142857142857143,10.0,10.0,8.333333333333334,7.142857142857143,8.333333333333334,7.142857142857143,8.333333333333334,12.5,16.666666666666668,,,
game: 64,50.0,25.0,12.5,12.5,7.142857142857143,7.142857142857143,6.25,6.25,7.142857142857143,6.25,5.555555555555555,5.555555555555555,6.25,7.142857142857143,,,
game: 65,25.0,12.5,8.333333333333334,10.0,6.25,6.25,7.142857142857143,8.333333333333334,8.333333333333334,7.333333333333333,,,,,,,
game: 66,50.0,10.0,12.5,7.142857142857143,7.142857142857143,8.333333333333334,6.25,5.555555555555555,7.142857142857143,8.333333333333334,7.142857142857143,6.25,,,,,
game: 67,16.666666666666668,12.5,8.333333333333334,7.142857142857143,6.25,8.333333333333334,7.142857142857143,6.25,5.75,,,,,,,,
game: 68,50.0,12.5,10.0,10.0,8.333333333333334,8.333333333333334,6.25,8.333333333333334,5.555555555555555,5.555555555555555,6.25,7.142857142857143,8.333333333333334,6.857142857142857,,,
game: 69,25.0,12.5,10.0,10.0,8.333333333333334,8.333333333333334,7.142857142857143,7.0,,,,,,,,,
game: 70,50.0,16.666666666666668,12.5,10.0,6.25,7.142857142857143,6.25,6.25,6.25,7.142857142857143,8.333333333333334,12.5,10.0,16.666666666666668,,,
game: 71,16.666666666666668,16.666666666666668,12.5,7.142857142857143,7.142857142857143,7.142857142857143,,,,,,,,,,,
game: 72,25.0,16.666666666666668,12.5,12.5,7.142857142857143,8.333333333333334,7.142857142857143,8.333333333333334,12.5,8.333333333333334,8.333333333333334,,,,,,
game: 73,16.666666666666668,16.666666666666668,16.666666666666668,10.0,7.142857142857143,6.25,8.333333333333334,,,,,,,,,,
game: 74,50.0,25.0,16.666666666666668,12.5,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,8.333333333333334,10.0,7.5,,,,
game: 75,25.0,12.5,10.0,10.0,10.0,10.0,10.0,7.142857142857143,8.0,,,,,,,,
game: 76,50.0,12.5,10.0,12.5,8.333333333333334,8.333333333333334,6.25,6.25,7.142857142857143,7.142857142857143,8.333333333333334,10.0,,,,,
game: 77,25.0,10.0,12.5,8.333333333333334,5.555555555555555,5.555555555555555,7.142857142857143,,,,,,,,,,
game: 78,50.0,12.5,12.5,7.142857142857143,6.25,6.25,5.555555555555555,6.25,6.25,6.0,,,,,,,
game: 79,25.0,16.666666666666668,16.666666666666668,8.333333333333334,6.25,5.555555555555555,5.0,5.555555555555555,6.25,7.142857142857143,10.0,10.0,12.25,,,,
game: 80,50.0,12.5,10.0,6.25,6.25,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,8.333333333333334,12.0,11.5,,,,,
game: 81,16.666666666666668,12.5,10.0,10.0,10.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,,,,,,,,
game: 82,50.0,25.0,12.5,8.333333333333334,7.142857142857143,6.25,7.142857142857143,,,,,,,,,,
game: 83,16.666666666666668,25.0,12.5,8.333333333333334,6.25,6.25,6.25,8.333333333333334,7.142857142857143,10.0,,,,,,,
game: 84,50.0,12.5,8.333333333333334,7.142857142857143,8.333333333333334,10.0,7.142857142857143,,,,,,,,,,
game: 85,16.666666666666668,10.0,7.142857142857143,6.25,5.555555555555555,6.25,7.142857142857143,6.25,6.25,7.142857142857143,10.0,12.5,12.5,12.5,16.666666666666668,16.333333333333332,12.5
game: 86,25.0,16.666666666666668,10.0,10.0,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,8.333333333333334,12.5,,,,,,,
game: 87,16.666666666666668,12.5,16.666666666666668,12.5,8.333333333333334,8.333333333333334,7.142857142857143,5.857142857142857,,,,,,,,,
game: 88,25.0,12.5,12.5,8.333333333333334,8.333333333333334,10.0,10.0,10.0,,,,,,,,,
game: 89,16.666666666666668,12.5,10.0,10.0,7.142857142857143,6.25,7.142857142857143,8.333333333333334,8.333333333333334,7.142857142857143,,,,,,,
game: 90,50.0,25.0,16.666666666666668,10.0,8.333333333333334,8.333333333333334,7.142857142857143,5.555555555555555,5.0,5.555555555555555,5.555555555555555,7.142857142857143,8.333333333333334,8.333333333333334,10.0,10.0,10.0
game: 91,25.0,12.5,12.5,10.0,6.25,6.25,7.142857142857143,,,,,,,,,,
game: 92,25.0,16.666666666666668,10.0,16.666666666666668,8.333333333333334,8.333333333333334,7.142857142857143,5.555555555555555,,,,,,,,,
game: 93,16.666666666666668,10.0,16.666666666666668,12.5,8.333333333333334,8.333333333333334,8.333333333333334,7.142857142857143,10.0,12.5,11.5,,,,,,
game: 94,50.0,16.666666666666668,16.666666666666668,12.5,7.142857142857143,7.142857142857143,6.25,7.142857142857143,7.142857142857143,,,,,,,,
game: 95,25.0,12.5,12.5,8.333333333333334,6.25,6.25,5.555555555555555,5.555555555555555,6.25,7.142857142857143,7.142857142857143,7.142857142857143,8.333333333333334,8.0,,,
game: 96,50.0,12.5,10.0,8.333333333333334,7.142857142857143,8.333333333333334,8.333333333333334,7.142857142857143,,,,,,,,,
game: 97,16.666666666666668,10.0,10.0,7.142857142857143,8.333333333333334,7.142857142857143,7.142857142857143,5.555555555555555,5.555555555555555,5.333333333333333,,,,,,,
game: 98,50.0,16.666666666666668,10.0,12.5,7.142857142857143,6.25,6.25,6.25,,,,,,,,,
game: 99,25.0,16.666666666666668,12.5,6.25,5.555555555555555,5.555555555555555,5.555555555555555,5.0,5.0,5.555555555555555,5.0,5.555555555555555,,,,,
