,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,,
game: 1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
game: 2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
game: 3,1,1,1,1,1,1,1,1,1,1.0,1.0,,,
game: 4,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
game: 5,1,1,1,1,1,1,1,1,1,1.0,,,,
game: 6,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,
game: 7,1,1,1,1,1,1,1,1,1,1.0,1.0,,,
game: 8,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
game: 9,1,1,1,1,1,1,1,1,1,,,,,
