,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1,1,1,1,1,1,1.0,,,,,,,,,,,
game: 1,1,1,1,1,1,1,1.0,,,,,,,,,,,
game: 2,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
game: 3,1,1,1,1,1,1,1.0,,,,,,,,,,,
game: 4,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 5,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 6,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
game: 7,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
game: 8,1,1,1,1,1,1,1.0,1.0,1.0,,,,,,,,,
game: 9,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
game: 10,1,1,1,1,1,1,1.0,1.0,,,,,,,,,,
game: 11,1,1,1,1,1,1,1.0,1.0,1.0,,,,,,,,,
game: 12,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
game: 13,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
game: 14,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
game: 15,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
game: 16,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
game: 17,1,1,1,1,1,1,1.0,1.0,,,,,,,,,,
game: 18,1,1,1,1,1,1,1.0,1.0,1.0,,,,,,,,,
game: 19,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 20,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
game: 21,1,1,1,1,1,1,1.0,,,,,,,,,,,
game: 22,1,1,1,1,1,1,1.0,1.0,,,,,,,,,,
game: 23,1,1,1,1,1,1,1.0,,,,,,,,,,,
game: 24,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
game: 25,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
game: 26,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
game: 27,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
game: 28,1,1,1,1,1,1,,,,,,,,,,,,
game: 29,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 30,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
game: 31,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 32,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
game: 33,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
game: 34,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
game: 35,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 36,1,1,1,1,1,1,1.0,1.0,1.0,,,,,,,,,
game: 37,1,1,1,1,1,1,1.0,1.0,,,,,,,,,,
game: 38,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
game: 39,1,1,1,1,1,1,,,,,,,,,,,,
game: 40,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
game: 41,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
game: 42,1,1,1,1,1,1,1.0,1.0,1.0,,,,,,,,,
game: 43,1,1,1,1,1,1,1.0,1.0,,,,,,,,,,
game: 44,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
game: 45,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 46,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
game: 47,1,1,1,1,1,1,,,,,,,,,,,,
game: 48,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
game: 49,1,1,1,1,1,1,1.0,1.0,1.0,1.0,,,,,,,,
game: 50,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
game: 51,1,1,1,1,1,1,1.0,1.0,1.0,,,,,,,,,
game: 52,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
game: 53,1,1,1,1,1,1,1.0,1.0,,,,,,,,,,
game: 54,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
game: 55,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
game: 56,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,,
