,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15
game: 0,0,3,5,23,13,11,17,6.0,23.0,6.0,8.0,8.0,12.0,5.0,13.0,6.0
game: 1,3,1,5,3,9,9,6,,,,,,,,,
game: 2,0,3,3,4,5,7,10,19.0,17.0,,,,,,,
game: 3,1,3,2,5,11,15,50,8.0,15.0,8.0,5.0,5.0,,,,
game: 4,0,1,3,5,9,15,48,17.0,5.0,,,,,,,
game: 5,3,2,2,5,6,12,6,12.0,22.0,9.0,,,,,,
game: 6,1,3,3,5,5,19,8,8.0,,,,,,,,
game: 7,1,2,3,8,13,11,20,17.0,26.0,,,,,,,
game: 8,4,4,3,7,4,8,10,12.0,16.0,8.0,10.0,13.0,,,,
game: 9,1,2,5,3,7,12,14,15.0,,,,,,,,
