,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,2,3,2,9,3,5,3,13,6,6.0,4.0,3.0,,
game: 1,2,3,2,4,3,5,8,11,11,12.0,4.0,3.0,3.0,3.0
game: 2,2,3,2,4,3,5,8,11,11,12.0,4.0,3.0,3.0,3.0
game: 3,2,3,3,10,7,5,3,13,6,6.0,4.0,,,
game: 4,2,3,2,4,3,5,8,11,11,12.0,4.0,3.0,3.0,3.0
game: 5,2,3,3,10,14,5,3,13,6,6.0,,,,
game: 6,2,3,2,4,3,5,8,11,11,12.0,4.0,3.0,3.0,
game: 7,2,3,2,9,3,5,3,13,6,6.0,4.0,,,
game: 8,2,3,2,4,3,5,8,11,11,12.0,4.0,3.0,3.0,3.0
game: 9,2,3,3,10,14,5,3,13,6,,,,,
