,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,0,2,3,9,7,7,17.0,,,,,,,,,,,
game: 1,1,2,3,8,21,10,29.0,,,,,,,,,,,
game: 2,1,2,3,6,9,17,12.0,15.0,13.0,12.0,6.0,19.0,3.0,3.0,3.0,,,
game: 3,3,2,3,6,10,10,18.0,,,,,,,,,,,
game: 4,1,1,1,3,4,13,9.0,17.0,15.0,9.0,,,,,,,,
game: 5,3,4,5,7,12,11,25.0,13.0,22.0,17.0,,,,,,,,
game: 6,1,2,3,7,13,11,23.0,15.0,19.0,15.0,5.0,,,,,,,
game: 7,1,5,3,19,7,15,10.0,14.0,22.0,13.0,27.0,,,,,,,
game: 8,0,2,10,12,5,8,10.0,17.0,16.0,,,,,,,,,
game: 9,3,3,9,8,8,13,10.0,13.0,15.0,8.0,10.0,10.0,10.0,,,,,
game: 10,1,1,5,4,11,9,20.0,13.0,,,,,,,,,,
game: 11,9,2,2,4,4,9,10.0,8.0,21.0,,,,,,,,,
game: 12,1,4,3,7,6,15,8.0,11.0,14.0,18.0,13.0,8.0,12.0,7.0,17.0,,,
game: 13,3,2,4,5,8,8,11.0,24.0,21.0,31.0,24.0,16.0,18.0,,,,,
game: 14,4,2,4,5,7,6,13.0,14.0,12.0,10.0,7.0,7.0,,,,,,
game: 15,3,2,2,9,10,11,52.0,17.0,36.0,28.0,6.0,7.0,6.0,6.0,3.0,3.0,3.0,3.0
game: 16,1,2,2,3,6,10,28.0,17.0,15.0,18.0,14.0,10.0,10.0,6.0,22.0,5.0,,
game: 17,1,3,2,4,5,15,13.0,18.0,,,,,,,,,,
game: 18,1,1,3,4,6,13,10.0,8.0,14.0,,,,,,,,,
game: 19,1,2,8,12,10,17,14.0,8.0,23.0,19.0,,,,,,,,
game: 20,0,2,4,5,5,6,13.0,9.0,17.0,8.0,8.0,8.0,6.0,,,,,
game: 21,3,1,2,3,6,11,21.0,,,,,,,,,,,
game: 22,0,2,3,5,8,10,29.0,13.0,,,,,,,,,,
game: 23,3,4,4,7,10,10,10.0,,,,,,,,,,,
game: 24,1,1,3,5,6,7,13.0,10.0,83.0,22.0,13.0,24.0,,,,,,
game: 25,3,2,3,6,7,9,14.0,17.0,19.0,17.0,16.0,,,,,,,
game: 26,1,3,3,9,4,6,12.0,21.0,12.0,9.0,6.0,17.0,3.0,9.0,3.0,3.0,,
game: 27,3,2,4,6,6,7,23.0,10.0,36.0,30.0,19.0,,,,,,,
game: 28,0,2,3,6,12,21,,,,,,,,,,,,
game: 29,3,3,6,3,7,9,18.0,17.0,10.0,8.0,,,,,,,,
game: 30,0,1,3,5,8,13,27.0,14.0,17.0,8.0,13.0,7.0,3.0,3.0,3.0,3.0,7.0,
game: 31,3,1,4,4,10,7,14.0,8.0,45.0,19.0,,,,,,,,
game: 32,0,1,2,2,7,8,21.0,17.0,15.0,46.0,18.0,,,,,,,
game: 33,1,3,3,6,5,12,13.0,12.0,21.0,13.0,10.0,,,,,,,
game: 34,1,1,1,3,5,19,15.0,8.0,14.0,9.0,40.0,11.0,12.0,7.0,3.0,,,
game: 35,5,3,4,9,10,7,11.0,13.0,11.0,6.0,,,,,,,,
game: 36,0,4,4,10,22,11,13.0,5.0,7.0,,,,,,,,,
game: 37,3,2,2,5,9,17,8.0,11.0,,,,,,,,,,
game: 38,0,3,4,6,13,11,16.0,18.0,11.0,28.0,18.0,11.0,10.0,16.0,,,,
game: 39,1,3,9,5,7,10,,,,,,,,,,,,
game: 40,1,3,4,8,7,10,23.0,21.0,22.0,8.0,7.0,3.0,11.0,7.0,3.0,,,
game: 41,3,1,2,9,8,9,21.0,15.0,21.0,17.0,6.0,5.0,,,,,,
game: 42,0,3,3,6,19,15,20.0,7.0,9.0,,,,,,,,,
game: 43,1,4,3,8,7,15,8.0,8.0,,,,,,,,,,
game: 44,1,1,2,4,8,25,15.0,4.0,8.0,5.0,10.0,8.0,9.0,,,,,
game: 45,1,2,3,6,8,9,17.0,15.0,84.0,70.0,,,,,,,,
game: 46,1,2,6,1,5,11,21.0,25.0,15.0,10.0,5.0,8.0,8.0,,,,,
game: 47,1,8,4,5,8,10,,,,,,,,,,,,
game: 48,4,2,3,4,10,11,17.0,15.0,31.0,10.0,11.0,7.0,3.0,3.0,3.0,,,
game: 49,1,3,4,9,14,17,38.0,13.0,8.0,24.0,,,,,,,,
game: 50,0,3,3,6,8,13,10.0,13.0,19.0,14.0,17.0,8.0,10.0,,,,,
game: 51,3,2,4,6,16,19,12.0,9.0,10.0,,,,,,,,,
game: 52,1,2,3,7,8,11,29.0,10.0,9.0,31.0,26.0,12.0,7.0,7.0,3.0,,,
game: 53,3,3,3,8,11,15,21.0,10.0,,,,,,,,,,
game: 54,0,1,3,6,8,9,22.0,18.0,27.0,41.0,12.0,7.0,7.0,6.0,6.0,,,
game: 55,3,1,3,5,9,12,32.0,16.0,21.0,19.0,17.0,,,,,,,
game: 56,0,3,5,9,12,22,12.0,19.0,10.0,9.0,12.0,,,,,,,
