,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 0,2,4,7,7,6,8.0,10.0,11.0,9.0,18.0,,,
game: 1,2,4,7,14,31,18.0,26.0,28.0,,,,,
game: 2,1,4,6,9,11,9.0,11.0,14.0,,,,,
game: 3,4,3,2,5,6,9.0,9.0,,,,,,
game: 4,1,2,7,16,18,11.0,19.0,12.0,,,,,
game: 5,4,3,5,12,10,13.0,13.0,10.0,11.0,,,,
game: 6,2,3,4,6,15,10.0,10.0,9.0,6.0,7.0,,,
game: 7,4,5,9,7,13,12.0,22.0,9.0,,,,,
game: 8,1,3,5,13,13,26.0,29.0,42.0,,,,,
game: 9,2,4,5,7,9,,,,,,,,
game: 10,2,4,7,10,6,5.0,5.0,,,,,,
game: 11,2,2,5,8,19,21.0,22.0,,,,,,
game: 12,1,4,6,13,12,15.0,9.0,6.0,,,,,
game: 13,2,4,5,6,14,,,,,,,,
game: 14,2,4,5,9,17,7.0,11.0,13.0,6.0,16.0,24.0,10.0,4.0
game: 15,4,4,7,8,10,11.0,9.0,,,,,,
game: 16,1,5,7,17,9,6.0,21.0,12.0,10.0,,,,
game: 17,2,2,6,7,10,21.0,,,,,,,
game: 18,1,5,10,10,10,12.0,24.0,,,,,,
game: 19,4,2,3,4,7,10.0,13.0,14.0,19.0,,,,
game: 20,2,3,5,11,10,18.0,11.0,,,,,,
game: 21,2,2,4,6,16,15.0,,,,,,,
game: 22,1,4,5,8,14,14.0,8.0,9.0,17.0,,,,
game: 23,4,3,5,8,15,17.0,23.0,14.0,28.0,,,,
game: 24,2,4,3,5,6,9.0,17.0,12.0,10.0,8.0,4.0,4.0,
game: 25,6,4,8,5,17,14.0,14.0,,,,,,
game: 26,2,4,6,13,18,14.0,9.0,8.0,4.0,4.0,,,
game: 27,4,4,6,8,12,17.0,,,,,,,
game: 28,1,3,4,9,5,8.0,,,,,,,
game: 29,4,3,5,6,5,7.0,11.0,20.0,24.0,,,,
game: 30,1,3,4,8,14,17.0,19.0,,,,,,
game: 31,4,4,6,9,16,14.0,24.0,8.0,7.0,,,,
game: 32,2,4,5,6,12,9.0,7.0,14.0,16.0,8.0,,,
game: 33,2,4,4,6,10,,,,,,,,
game: 34,2,4,3,7,9,16.0,12.0,26.0,,,,,
game: 35,2,4,6,11,16,17.0,,,,,,,
game: 36,2,4,5,9,27,18.0,23.0,,,,,,
game: 37,4,3,4,6,6,12.0,13.0,,,,,,
game: 38,1,3,5,9,9,11.0,16.0,13.0,11.0,,,,
game: 39,2,3,6,4,8,,,,,,,,
game: 40,2,3,8,4,6,13.0,9.0,13.0,13.0,16.0,,,
game: 41,4,3,6,9,13,18.0,28.0,17.0,18.0,,,,
game: 42,2,3,6,14,14,14.0,9.0,10.0,10.0,24.0,23.0,,
game: 43,2,3,6,8,10,12.0,20.0,,,,,,
game: 44,2,5,11,6,6,6.0,8.0,6.0,,,,,
game: 45,2,5,7,16,15,35.0,30.0,12.0,10.0,,,,
game: 46,1,2,3,5,7,7.0,9.0,18.0,11.0,,,,
game: 47,4,2,6,7,9,,,,,,,,
game: 48,2,4,4,7,8,10.0,12.0,21.0,,,,,
game: 49,4,6,5,7,6,11.0,11.0,12.0,16.0,,,,
game: 50,2,4,8,5,7,10.0,10.0,12.0,10.0,4.0,4.0,4.0,4.0
game: 51,4,4,6,9,8,21.0,28.0,19.0,15.0,16.0,,,
game: 52,2,2,4,6,8,12.0,18.0,12.0,20.0,23.0,,,
game: 53,2,3,7,7,10,,,,,,,,
game: 54,2,3,3,5,10,9.0,10.0,14.0,,,,,
game: 55,2,4,4,9,14,,,,,,,,
game: 56,2,4,14,6,8,15.0,7.0,12.0,,,,,
game: 57,2,4,5,8,9,11.0,16.0,17.0,,,,,
game: 58,2,4,6,10,16,18.0,27.0,21.0,,,,,
game: 59,2,5,10,11,13,11.0,20.0,21.0,7.0,4.0,,,
game: 60,1,4,6,11,13,8.0,11.0,6.0,7.0,,,,
game: 61,2,4,8,12,16,13.0,17.0,,,,,,
game: 62,1,4,8,8,5,9.0,10.0,13.0,21.0,,,,
game: 63,2,4,12,8,12,,,,,,,,
game: 64,1,3,9,7,13,22.0,15.0,18.0,6.0,,,,
game: 65,2,5,6,15,19,42.0,16.0,,,,,,
game: 66,2,3,5,7,8,13.0,7.0,9.0,,,,,
game: 67,2,4,11,12,9,7.0,13.0,20.0,10.0,,,,
game: 68,2,2,4,7,14,11.0,11.0,8.0,10.0,,,,
game: 69,6,4,5,9,8,12.0,,,,,,,
game: 70,2,4,10,7,7,10.0,16.0,7.0,,,,,
game: 71,4,3,10,7,21,14.0,14.0,9.0,7.0,,,,
game: 72,1,4,6,11,15,27.0,16.0,,,,,,
game: 73,4,4,5,15,10,10.0,15.0,13.0,,,,,
game: 74,2,3,6,11,12,28.0,12.0,7.0,6.0,,,,
game: 75,2,4,6,12,12,11.0,15.0,,,,,,
game: 76,1,4,4,5,7,10.0,10.0,19.0,,,,,
game: 77,2,4,7,5,10,8.0,11.0,,,,,,
game: 78,2,2,4,5,9,7.0,16.0,14.0,,,,,
game: 79,2,4,7,14,12,11.0,22.0,,,,,,
game: 80,1,4,5,10,9,15.0,9.0,9.0,19.0,19.0,12.0,12.0,
game: 81,4,4,5,6,11,8.0,10.0,16.0,10.0,10.0,4.0,,
game: 82,1,3,6,14,10,8.0,,,,,,,
game: 83,4,3,5,6,6,8.0,,,,,,,
game: 84,2,3,7,3,5,13.0,16.0,8.0,,,,,
game: 85,4,3,6,10,12,,,,,,,,
game: 86,1,3,3,8,20,15.0,10.0,8.0,15.0,16.0,10.0,,
game: 87,4,2,4,6,12,10.0,18.0,18.0,,,,,
game: 88,2,4,7,5,5,11.0,13.0,,,,,,
game: 89,2,4,8,7,14,27.0,,,,,,,
game: 90,1,4,6,15,23,11.0,17.0,11.0,,,,,
game: 91,4,3,5,7,10,,,,,,,,
game: 92,1,4,6,9,11,17.0,24.0,22.0,,,,,
game: 93,6,4,4,11,15,15.0,16.0,13.0,9.0,,,,
game: 94,1,5,12,10,8,13.0,16.0,16.0,8.0,,,,
game: 95,2,4,8,4,6,8.0,,,,,,,
game: 96,1,3,6,10,22,20.0,36.0,,,,,,
game: 97,4,4,6,8,14,31.0,23.0,44.0,61.0,,,,
game: 98,1,4,7,7,8,16.0,17.0,21.0,13.0,8.0,8.0,,
game: 99,2,4,9,5,8,16.0,,,,,,,
