,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 0,0.0,0.0,22.22222222222222,22.22222222222222,14.28571428571429,19.999999999999996,28.57142857142857,35.29411764705882,30.76923076923077,37.93103448275862,,,
game: 1,0.0,0.0,0.0,30.000000000000004,46.55172413793104,28.000000000000004,45.833333333333336,54.0983606557377,,,,,
game: 2,0.0,0.0,0.0,25.0,31.25,18.181818181818176,26.66666666666667,46.15384615384615,,,,,
game: 3,19.999999999999996,0.0,0.0,16.666666666666664,14.28571428571429,25.0,25.0,,,,,,
game: 4,0.0,0.0,0.0,30.434782608695656,40.0,21.42857142857143,36.66666666666667,36.8421052631579,,,,,
game: 5,19.999999999999996,0.0,0.0,33.333333333333336,16.666666666666664,23.529411764705888,40.90909090909091,33.333333333333336,47.61904761904761,,,,
game: 6,0.0,0.0,0.0,14.28571428571429,44.44444444444444,28.57142857142857,28.57142857142857,35.71428571428571,25.0,30.000000000000004,,,
game: 7,19.999999999999996,0.0,25.0,12.5,18.75,19.999999999999996,40.54054054054054,30.76923076923077,,,,,
game: 8,0.0,0.0,0.0,27.77777777777778,27.77777777777778,36.58536585365854,39.583333333333336,57.14285714285714,,,,,
game: 9,0.0,0.0,0.0,12.5,25.0,,,,,,,,
game: 10,0.0,0.0,12.5,28.57142857142857,25.0,16.666666666666664,16.666666666666664,,,,,,
game: 11,0.0,0.0,0.0,11.111111111111116,29.629629629629626,25.0,40.54054054054054,,,,,,
game: 12,0.0,0.0,0.0,27.77777777777778,19.999999999999996,50.0,47.05882352941176,25.0,,,,,
game: 13,0.0,0.0,0.0,14.28571428571429,26.315789473684216,,,,,,,,
game: 14,0.0,0.0,0.0,25.0,37.03703703703704,22.22222222222222,26.66666666666667,38.095238095238095,25.0,57.89473684210527,60.0,37.5,19.999999999999996
game: 15,19.999999999999996,0.0,12.5,11.111111111111116,23.076923076923073,26.66666666666667,30.76923076923077,,,,,,
game: 16,0.0,0.0,0.0,34.61538461538461,25.0,14.28571428571429,46.15384615384615,33.333333333333336,33.333333333333336,,,,
game: 17,0.0,0.0,0.0,12.5,23.076923076923073,44.73684210526315,,,,,,,
game: 18,0.0,0.0,16.666666666666664,23.076923076923073,23.076923076923073,29.411764705882348,36.8421052631579,,,,,,
game: 19,19.999999999999996,0.0,0.0,0.0,12.5,16.666666666666664,27.77777777777778,33.333333333333336,45.714285714285715,,,,
game: 20,0.0,0.0,0.0,15.384615384615385,16.666666666666664,40.0,31.25,,,,,,
game: 21,0.0,0.0,0.0,14.28571428571429,23.809523809523814,25.0,,,,,,,
game: 22,0.0,0.0,0.0,27.27272727272727,26.315789473684216,43.99999999999999,27.27272727272727,25.0,45.16129032258065,,,,
game: 23,19.999999999999996,0.0,0.0,11.111111111111116,16.666666666666664,29.166666666666664,41.02564102564102,46.15384615384615,57.57575757575757,,,,
game: 24,0.0,0.0,0.0,16.666666666666664,0.0,18.181818181818176,19.047619047619047,33.333333333333336,33.333333333333336,50.0,19.999999999999996,19.999999999999996,
game: 25,25.0,0.0,19.999999999999996,0.0,31.999999999999996,41.666666666666664,36.36363636363637,,,,,,
game: 26,0.0,0.0,0.0,27.77777777777778,40.0,53.333333333333336,18.181818181818176,19.999999999999996,19.999999999999996,19.999999999999996,,,
game: 27,19.999999999999996,0.0,0.0,11.111111111111116,25.0,29.166666666666664,,,,,,,
game: 28,0.0,0.0,0.0,18.181818181818176,0.0,19.999999999999996,,,,,,,
game: 29,19.999999999999996,0.0,0.0,14.28571428571429,16.666666666666664,22.22222222222222,31.25,33.333333333333336,58.62068965517242,,,,
game: 30,0.0,0.0,0.0,11.111111111111116,33.333333333333336,29.166666666666664,45.714285714285715,,,,,,
game: 31,19.999999999999996,0.0,0.0,25.0,23.809523809523814,26.315789473684216,51.02040816326531,27.27272727272727,22.22222222222222,,,,
game: 32,0.0,0.0,0.0,14.28571428571429,29.411764705882348,25.0,22.22222222222222,46.15384615384615,40.74074074074075,19.999999999999996,,,
game: 33,0.0,0.0,0.0,14.28571428571429,23.076923076923073,,,,,,,,
game: 34,0.0,0.0,0.0,12.5,18.181818181818176,27.27272727272727,29.411764705882348,51.85185185185186,,,,,
game: 35,0.0,0.0,0.0,21.42857142857143,23.809523809523814,29.166666666666664,,,,,,,
