,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 0,2,4,9,9,7,10.0,14.0,17.0,13.0,29.0,,,
game: 1,2,4,7,20,58,25.0,48.0,61.0,,,,,
game: 2,1,4,6,12,16,11.0,15.0,26.0,,,,,
game: 3,5,3,2,6,7,12.0,12.0,,,,,,
game: 4,1,2,7,23,30,14.0,30.0,19.0,,,,,
game: 5,5,3,5,18,12,17.0,22.0,15.0,21.0,,,,
game: 6,2,3,4,7,27,14.0,14.0,14.0,8.0,10.0,,,
game: 7,5,5,12,8,16,15.0,37.0,13.0,,,,,
game: 8,1,3,5,18,18,41.0,48.0,98.0,,,,,
game: 9,2,4,5,8,12,,,,,,,,
game: 10,2,4,8,14,8,6.0,6.0,,,,,,
game: 11,2,2,5,9,27,28.0,37.0,,,,,,
game: 12,1,4,6,18,15,30.0,17.0,8.0,,,,,
game: 13,2,4,5,7,19,,,,,,,,
game: 14,2,4,5,12,27,9.0,15.0,21.0,8.0,38.0,60.0,16.0,5.0
game: 15,5,4,8,9,13,15.0,13.0,,,,,,
game: 16,1,5,7,26,12,7.0,39.0,18.0,15.0,,,,
game: 17,2,2,6,8,13,38.0,,,,,,,
game: 18,1,5,12,13,13,17.0,38.0,,,,,,
game: 19,5,2,3,4,8,12.0,18.0,21.0,35.0,,,,
game: 20,2,3,5,13,12,30.0,16.0,,,,,,
game: 21,2,2,4,7,21,20.0,,,,,,,
game: 22,1,4,5,11,19,25.0,11.0,12.0,31.0,,,,
game: 23,5,3,5,9,18,24.0,39.0,26.0,66.0,,,,
game: 24,2,4,3,6,6,11.0,21.0,18.0,15.0,16.0,5.0,5.0,
game: 25,8,4,10,5,25,24.0,22.0,,,,,,
game: 26,2,4,6,18,30,30.0,11.0,10.0,5.0,5.0,,,
game: 27,5,4,6,9,16,24.0,,,,,,,
game: 28,1,3,4,11,5,10.0,,,,,,,
game: 29,5,3,5,7,6,9.0,16.0,30.0,58.0,,,,
game: 30,1,3,4,9,21,24.0,35.0,,,,,,
game: 31,5,4,6,12,21,19.0,49.0,11.0,9.0,,,,
game: 32,2,4,5,7,17,12.0,9.0,26.0,27.0,10.0,,,
game: 33,2,4,4,7,13,,,,,,,,
game: 34,2,4,3,8,11,22.0,17.0,54.0,,,,,
game: 35,2,4,6,14,21,24.0,,,,,,,
game: 36,2,4,5,12,48,27.0,43.0,,,,,,
game: 37,5,3,4,7,7,15.0,17.0,,,,,,
game: 38,1,3,5,12,12,14.0,32.0,22.0,21.0,,,,
game: 39,2,3,7,4,10,,,,,,,,
game: 40,2,3,9,4,7,17.0,12.0,20.0,20.0,38.0,,,
game: 41,5,3,7,10,17,25.0,40.0,27.0,42.0,,,,
game: 42,2,3,6,19,17,24.0,13.0,15.0,15.0,55.0,54.0,,
game: 43,2,3,6,9,13,16.0,40.0,,,,,,
game: 44,2,5,12,7,8,7.0,11.0,8.0,,,,,
game: 45,2,5,7,21,18,67.0,58.0,18.0,13.0,,,,
game: 46,1,2,3,6,9,8.0,12.0,26.0,21.0,,,,
game: 47,5,2,7,8,12,,,,,,,,
game: 48,2,4,4,8,10,13.0,18.0,44.0,,,,,
game: 49,5,6,5,8,7,16.0,16.0,22.0,34.0,,,,
game: 50,2,4,10,5,9,14.0,14.0,15.0,16.0,5.0,5.0,5.0,5.0
game: 51,5,4,6,12,10,31.0,57.0,36.0,28.0,27.0,,,
game: 52,2,2,4,6,10,16.0,29.0,18.0,36.0,54.0,,,
game: 53,2,3,7,8,13,,,,,,,,
game: 54,2,3,3,5,15,12.0,14.0,26.0,,,,,
game: 55,2,4,4,12,19,,,,,,,,
game: 56,2,4,16,7,11,18.0,9.0,19.0,,,,,
game: 57,2,4,5,9,11,14.0,22.0,31.0,,,,,
game: 58,2,4,6,13,22,25.0,48.0,38.0,,,,,
game: 59,2,5,12,14,17,16.0,38.0,40.0,10.0,5.0,,,
game: 60,1,4,6,16,18,11.0,19.0,8.0,10.0,,,,
game: 61,2,4,10,17,27,17.0,30.0,,,,,,
game: 62,1,4,10,11,6,12.0,14.0,20.0,56.0,,,,
game: 63,2,4,14,11,17,,,,,,,,
game: 64,1,3,11,8,20,46.0,31.0,28.0,8.0,,,,
game: 65,2,5,6,20,28,101.0,29.0,,,,,,
game: 66,2,3,5,8,10,17.0,9.0,13.0,,,,,
game: 67,2,4,13,16,12,8.0,16.0,32.0,15.0,,,,
game: 68,2,2,4,8,17,16.0,21.0,10.0,16.0,,,,
game: 69,8,4,5,12,10,15.0,,,,,,,
game: 70,2,4,12,8,9,13.0,35.0,10.0,,,,,
game: 71,5,3,13,8,31,19.0,24.0,13.0,10.0,,,,
game: 72,1,4,6,14,22,46.0,25.0,,,,,,
game: 73,5,4,5,20,13,13.0,21.0,19.0,,,,,
game: 74,2,3,6,13,16,63.0,23.0,10.0,8.0,,,,
game: 75,2,4,6,17,16,16.0,24.0,,,,,,
game: 76,1,4,4,5,9,13.0,14.0,34.0,,,,,
game: 77,2,4,9,5,14,11.0,15.0,,,,,,
game: 78,2,2,4,5,12,9.0,28.0,27.0,,,,,
game: 79,2,4,7,19,17,15.0,37.0,,,,,,
game: 80,1,4,5,13,12,26.0,13.0,13.0,36.0,37.0,22.0,27.0,
game: 81,5,4,5,7,16,10.0,14.0,26.0,15.0,16.0,5.0,,
game: 82,1,3,6,19,15,11.0,,,,,,,
game: 83,5,3,6,7,7,10.0,,,,,,,
game: 84,2,3,9,3,6,25.0,26.0,11.0,,,,,
game: 85,5,3,6,13,17,,,,,,,,
game: 86,1,3,3,11,39,25.0,14.0,11.0,28.0,27.0,16.0,,
game: 87,5,2,4,7,17,13.0,30.0,30.0,,,,,
game: 88,2,4,8,6,6,16.0,18.0,,,,,,
game: 89,2,4,9,8,20,48.0,,,,,,,
game: 90,1,4,6,20,36,16.0,27.0,16.0,,,,,
game: 91,5,3,5,8,13,,,,,,,,
game: 92,1,4,6,10,14,24.0,38.0,40.0,,,,,
game: 93,8,4,4,15,20,21.0,28.0,22.0,13.0,,,,
game: 94,1,5,15,13,10,17.0,21.0,26.0,11.0,,,,
game: 95,2,4,10,4,7,10.0,,,,,,,
game: 96,1,3,6,13,37,27.0,69.0,,,,,,
game: 97,5,4,6,9,21,51.0,36.0,99.0,206.0,,,,
game: 98,1,4,9,8,10,23.0,27.0,40.0,23.0,16.0,16.0,,
game: 99,2,4,11,5,10,22.0,,,,,,,
