,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10
game: 0,50.0,33.333333333333336,20.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,23.25,,,
game: 1,33.333333333333336,33.333333333333336,33.333333333333336,20.0,16.666666666666668,14.285714285714286,,,,,
game: 2,100.0,20.0,20.0,20.0,16.666666666666668,20.0,16.666666666666668,16.666666666666668,20.0,20.0,33.333333333333336
game: 3,50.0,33.333333333333336,16.666666666666668,14.285714285714286,11.11111111111111,11.11111111111111,14.285714285714286,16.666666666666668,20.0,20.0,25.0
game: 4,100.0,33.333333333333336,25.0,25.0,16.666666666666668,16.666666666666668,14.285714285714286,16.666666666666668,16.666666666666668,,
game: 5,50.0,20.0,20.0,20.0,14.285714285714286,12.5,14.285714285714286,16.666666666666668,25.0,25.0,28.666666666666668
game: 6,100.0,50.0,20.0,16.666666666666668,14.285714285714286,14.285714285714286,16.666666666666668,,,,
game: 7,50.0,33.333333333333336,16.666666666666668,16.666666666666668,14.285714285714286,12.5,14.285714285714286,16.666666666666668,,,
game: 8,50.0,25.0,25.0,20.0,25.0,20.0,20.0,16.666666666666668,25.0,25.0,25.0
game: 9,50.0,25.0,16.666666666666668,16.666666666666668,14.285714285714286,16.666666666666668,16.666666666666668,,,,
