,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 0,1,3,6,6,5,7.0,9.0,10.0,8.0,17.0,,,
game: 1,1,3,6,13,30,17.0,25.0,27.0,,,,,
game: 2,0,3,5,8,10,8.0,10.0,13.0,,,,,
game: 3,3,2,1,4,5,8.0,8.0,,,,,,
game: 4,0,1,6,15,17,10.0,18.0,11.0,,,,,
game: 5,3,2,4,11,9,12.0,12.0,9.0,10.0,,,,
game: 6,1,2,3,5,14,9.0,9.0,8.0,5.0,6.0,,,
game: 7,3,4,8,6,12,11.0,21.0,8.0,,,,,
game: 8,0,2,4,12,12,25.0,28.0,41.0,,,,,
game: 9,1,3,4,6,8,,,,,,,,
game: 10,1,3,6,9,5,4.0,4.0,,,,,,
game: 11,1,1,4,7,18,20.0,21.0,,,,,,
game: 12,0,3,5,12,11,14.0,8.0,5.0,,,,,
game: 13,1,3,4,5,13,,,,,,,,
game: 14,1,3,4,8,16,6.0,10.0,12.0,5.0,15.0,23.0,9.0,3.0
game: 15,3,3,6,7,9,10.0,8.0,,,,,,
game: 16,0,4,6,16,8,5.0,20.0,11.0,9.0,,,,
game: 17,1,1,5,6,9,20.0,,,,,,,
game: 18,0,4,9,9,9,11.0,23.0,,,,,,
game: 19,3,1,2,3,6,9.0,12.0,13.0,18.0,,,,
game: 20,1,2,4,10,9,17.0,10.0,,,,,,
game: 21,1,1,3,5,15,14.0,,,,,,,
game: 22,0,3,4,7,13,13.0,7.0,8.0,16.0,,,,
game: 23,3,2,4,7,14,16.0,22.0,13.0,27.0,,,,
game: 24,1,3,2,4,5,8.0,16.0,11.0,9.0,7.0,3.0,3.0,
game: 25,5,3,7,4,16,13.0,13.0,,,,,,
game: 26,1,3,5,12,17,13.0,8.0,7.0,3.0,3.0,,,
game: 27,3,3,5,7,11,16.0,,,,,,,
game: 28,0,2,3,8,4,7.0,,,,,,,
game: 29,3,2,4,5,4,6.0,10.0,19.0,23.0,,,,
game: 30,0,2,3,7,13,16.0,18.0,,,,,,
game: 31,3,3,5,8,15,13.0,23.0,7.0,6.0,,,,
game: 32,1,3,4,5,11,8.0,6.0,13.0,15.0,7.0,,,
game: 33,1,3,3,5,9,,,,,,,,
game: 34,1,3,2,6,8,15.0,11.0,25.0,,,,,
game: 35,1,3,5,10,15,16.0,,,,,,,
game: 36,1,3,4,8,26,17.0,22.0,,,,,,
game: 37,3,2,3,5,5,11.0,12.0,,,,,,
game: 38,0,2,4,8,8,10.0,15.0,12.0,10.0,,,,
game: 39,1,2,5,3,7,,,,,,,,
game: 40,1,2,7,3,5,12.0,8.0,12.0,12.0,15.0,,,
game: 41,3,2,5,8,12,17.0,27.0,16.0,17.0,,,,
game: 42,1,2,5,13,13,13.0,8.0,9.0,9.0,23.0,22.0,,
game: 43,1,2,5,7,9,11.0,19.0,,,,,,
game: 44,1,4,10,5,5,5.0,7.0,5.0,,,,,
game: 45,1,4,6,15,14,34.0,29.0,11.0,9.0,,,,
game: 46,0,1,2,4,6,6.0,8.0,17.0,10.0,,,,
game: 47,3,1,5,6,8,,,,,,,,
game: 48,1,3,3,6,7,9.0,11.0,20.0,,,,,
game: 49,3,5,4,6,5,10.0,10.0,11.0,15.0,,,,
game: 50,1,3,7,4,6,9.0,9.0,11.0,9.0,3.0,3.0,3.0,3.0
game: 51,3,3,5,8,7,20.0,27.0,18.0,14.0,15.0,,,
game: 52,1,1,3,5,7,11.0,17.0,11.0,19.0,22.0,,,
game: 53,1,2,6,6,9,,,,,,,,
game: 54,1,2,2,4,9,8.0,9.0,13.0,,,,,
game: 55,1,3,3,8,13,,,,,,,,
game: 56,1,3,13,5,7,14.0,6.0,11.0,,,,,
game: 57,1,3,4,7,8,10.0,15.0,16.0,,,,,
game: 58,1,3,5,9,15,17.0,26.0,20.0,,,,,
game: 59,1,4,9,10,12,10.0,19.0,20.0,6.0,3.0,,,
