,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
game: 0,1,4,5,11,14,11,29.0,50.0,20.0,22.0,12.0,39.0,,,,,,,,,,
game: 1,2,4,4,8,12,13,16.0,,,,,,,,,,,,,,,
game: 2,1,4,4,7,6,7,10.0,9.0,18.0,15.0,17.0,11.0,9.0,55.0,17.0,5.0,,,,,,
game: 3,2,5,7,17,20,32,25.0,13.0,,,,,,,,,,,,,,
game: 4,1,4,5,7,13,3,16.0,,,,,,,,,,,,,,,
game: 5,2,4,5,11,13,9,16.0,16.0,37.0,55.0,,,,,,,,,,,,
game: 6,1,4,5,7,14,25,13.0,31.0,16.0,8.0,28.0,6.0,8.0,8.0,23.0,21.0,34.0,8.0,,,,
game: 7,2,3,5,9,14,15,17.0,15.0,34.0,,,,,,,,,,,,,
game: 8,1,3,4,5,7,7,15.0,12.0,20.0,12.0,,,,,,,,,,,,
game: 9,2,3,6,12,16,36,,,,,,,,,,,,,,,,
game: 10,1,3,5,7,7,8,13.0,72.0,20.0,14.0,,,,,,,,,,,,
game: 11,2,4,7,11,15,36,42.0,12.0,8.0,,,,,,,,,,,,,
game: 12,1,4,4,10,15,5,12.0,8.0,11.0,8.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,10.0,2.0,
game: 13,2,4,4,8,16,20,13.0,13.0,,,,,,,,,,,,,,
game: 14,1,5,6,17,14,28,22.0,39.0,45.0,8.0,12.0,,,,,,,,,,,
game: 15,2,4,5,8,11,18,,,,,,,,,,,,,,,,
game: 16,1,3,5,10,9,11,17.0,14.0,13.0,,,,,,,,,,,,,
game: 17,2,5,5,17,17,30,39.0,,,,,,,,,,,,,,,
game: 18,1,4,5,11,17,24,17.0,22.0,17.0,14.0,14.0,,,,,,,,,,,
game: 19,2,4,5,10,10,19,12.0,19.0,,,,,,,,,,,,,,
game: 20,1,5,5,16,17,25,17.0,8.0,16.0,,,,,,,,,,,,,
game: 21,2,4,5,8,9,9,13.0,15.0,15.0,,,,,,,,,,,,,
game: 22,1,5,5,11,13,11,11.0,12.0,19.0,11.0,12.0,8.0,,,,,,,,,,
game: 23,2,5,6,18,10,41,51.0,21.0,,,,,,,,,,,,,,
game: 24,1,4,5,15,16,16,14.0,26.0,20.0,,,,,,,,,,,,,
game: 25,2,4,6,12,12,12,28.0,,,,,,,,,,,,,,,
game: 26,1,4,6,15,17,6,76.0,16.0,11.0,,,,,,,,,,,,,
game: 27,2,4,4,7,8,12,15.0,11.0,17.0,30.0,16.0,12.0,8.0,,,,,,,,,
game: 28,1,3,4,9,6,7,20.0,16.0,14.0,35.0,22.0,15.0,18.0,11.0,28.0,17.0,11.0,,,,,
game: 29,2,4,6,8,12,17,26.0,,,,,,,,,,,,,,,
game: 30,1,3,5,7,13,10,15.0,15.0,,,,,,,,,,,,,,
game: 31,2,3,5,10,14,13,,,,,,,,,,,,,,,,
