,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
game: 0,1,4,5,13,18,15,60.0,154.0,44.0,56.0,22.0,84.0,,,,,,,,,,
game: 1,2,4,4,9,17,24,26.0,,,,,,,,,,,,,,,
game: 2,1,4,4,8,7,9,13.0,11.0,37.0,26.0,26.0,15.0,14.0,367.0,35.0,6.0,,,,,,
game: 3,2,5,7,20,26,47,44.0,18.0,,,,,,,,,,,,,,
game: 4,1,4,5,8,17,3,29.0,,,,,,,,,,,,,,,
game: 5,2,4,5,13,17,12,22.0,23.0,72.0,126.0,,,,,,,,,,,,
game: 6,1,4,5,8,20,48,20.0,77.0,23.0,11.0,90.0,8.0,16.0,16.0,48.0,44.0,94.0,12.0,,,,
game: 7,2,3,5,10,18,21,24.0,22.0,67.0,,,,,,,,,,,,,
game: 8,1,3,4,5,8,9,22.0,16.0,39.0,16.0,,,,,,,,,,,,
game: 9,2,3,6,14,22,52,,,,,,,,,,,,,,,,
game: 10,1,3,5,8,8,10,20.0,208.0,39.0,26.0,,,,,,,,,,,,
game: 11,2,4,7,14,21,86,79.0,17.0,10.0,,,,,,,,,,,,,
game: 12,1,4,4,12,18,6,22.0,11.0,21.0,10.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,16.0,2.0,
game: 13,2,4,4,9,19,30,19.0,19.0,,,,,,,,,,,,,,
game: 14,1,5,6,20,19,44,37.0,98.0,97.0,11.0,23.0,,,,,,,,,,,
game: 15,2,4,5,9,14,28,,,,,,,,,,,,,,,,
game: 16,1,3,5,13,12,16,30.0,30.0,29.0,,,,,,,,,,,,,
game: 17,2,5,5,20,20,45,96.0,,,,,,,,,,,,,,,
game: 18,1,4,5,13,25,37,25.0,45.0,32.0,21.0,29.0,,,,,,,,,,,
game: 19,2,4,5,12,13,33,16.0,37.0,,,,,,,,,,,,,,
game: 20,1,5,5,19,20,38,31.0,10.0,27.0,,,,,,,,,,,,,
game: 21,2,4,5,9,11,12,20.0,23.0,21.0,,,,,,,,,,,,,
game: 22,1,5,5,13,17,15,14.0,22.0,40.0,21.0,27.0,16.0,,,,,,,,,,
game: 23,2,5,6,21,12,79,127.0,31.0,,,,,,,,,,,,,,
game: 24,1,4,5,18,19,25,21.0,52.0,30.0,,,,,,,,,,,,,
game: 25,2,4,6,14,17,16,57.0,,,,,,,,,,,,,,,
game: 26,1,4,6,20,26,7,263.0,22.0,16.0,,,,,,,,,,,,,
