,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
game: 0,0,3,4,10,13,10,28.0,49.0,19.0,21.0,11.0,38.0,,,,,,,,,,
game: 1,1,3,3,7,11,12,15.0,,,,,,,,,,,,,,,
game: 2,0,3,3,6,5,6,9.0,8.0,17.0,14.0,16.0,10.0,8.0,54.0,16.0,4.0,,,,,,
game: 3,1,4,6,16,19,31,24.0,12.0,,,,,,,,,,,,,,
game: 4,0,3,4,6,12,2,15.0,,,,,,,,,,,,,,,
game: 5,1,3,4,10,12,8,15.0,15.0,36.0,54.0,,,,,,,,,,,,
game: 6,0,3,4,6,13,24,12.0,30.0,15.0,7.0,27.0,5.0,7.0,7.0,22.0,20.0,33.0,7.0,,,,
game: 7,1,2,4,8,13,14,16.0,14.0,33.0,,,,,,,,,,,,,
game: 8,0,2,3,4,6,6,14.0,11.0,19.0,11.0,,,,,,,,,,,,
game: 9,1,2,5,11,15,35,,,,,,,,,,,,,,,,
game: 10,0,2,4,6,6,7,12.0,71.0,19.0,13.0,,,,,,,,,,,,
game: 11,1,3,6,10,14,35,41.0,11.0,7.0,,,,,,,,,,,,,
game: 12,0,3,3,9,14,4,11.0,7.0,10.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,9.0,1.0,
game: 13,1,3,3,7,15,19,12.0,12.0,,,,,,,,,,,,,,
game: 14,0,4,5,16,13,27,21.0,38.0,44.0,7.0,11.0,,,,,,,,,,,
game: 15,1,3,4,7,10,17,,,,,,,,,,,,,,,,
game: 16,0,2,4,9,8,10,16.0,13.0,12.0,,,,,,,,,,,,,
game: 17,1,4,4,16,16,29,38.0,,,,,,,,,,,,,,,
game: 18,0,3,4,10,16,23,16.0,21.0,16.0,13.0,13.0,,,,,,,,,,,
game: 19,1,3,4,9,9,18,11.0,18.0,,,,,,,,,,,,,,
game: 20,0,4,4,15,16,24,16.0,7.0,15.0,,,,,,,,,,,,,
game: 21,1,3,4,7,8,8,12.0,14.0,14.0,,,,,,,,,,,,,
game: 22,0,4,4,10,12,10,10.0,11.0,18.0,10.0,11.0,7.0,,,,,,,,,,
game: 23,1,4,5,17,9,40,50.0,20.0,,,,,,,,,,,,,,
game: 24,0,3,4,14,15,15,13.0,25.0,19.0,,,,,,,,,,,,,
game: 25,1,3,5,11,11,11,27.0,,,,,,,,,,,,,,,
game: 26,0,3,5,14,16,5,75.0,15.0,10.0,,,,,,,,,,,,,
game: 27,1,3,3,6,7,11,14.0,10.0,16.0,29.0,15.0,11.0,7.0,,,,,,,,,
game: 28,0,2,3,8,5,6,19.0,15.0,13.0,34.0,21.0,14.0,17.0,10.0,27.0,16.0,10.0,,,,,
game: 29,1,3,5,7,11,16,25.0,,,,,,,,,,,,,,,
game: 30,0,2,4,6,12,9,14.0,14.0,,,,,,,,,,,,,,
game: 31,1,2,4,9,13,12,,,,,,,,,,,,,,,,
game: 32,0,3,3,4,10,6,35.0,7.0,14.0,13.0,7.0,3.0,7.0,6.0,9.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0
game: 33,1,2,4,6,10,12,,,,,,,,,,,,,,,,
game: 34,0,2,4,10,12,6,55.0,7.0,11.0,10.0,7.0,7.0,5.0,,,,,,,,,
game: 35,1,3,4,16,14,36,33.0,14.0,14.0,13.0,,,,,,,,,,,,
game: 36,0,3,4,6,18,20,16.0,26.0,,,,,,,,,,,,,,
game: 37,1,5,5,17,28,34,27.0,,,,,,,,,,,,,,,
game: 38,0,2,3,5,12,8,17.0,11.0,14.0,56.0,,,,,,,,,,,,
game: 39,1,4,3,6,5,6,11.0,37.0,12.0,14.0,,,,,,,,,,,,
game: 40,0,2,5,11,13,16,15.0,16.0,,,,,,,,,,,,,,
game: 41,1,4,6,21,29,42,34.0,24.0,,,,,,,,,,,,,,
game: 42,0,1,3,3,8,4,16.0,13.0,,,,,,,,,,,,,,
game: 43,1,2,4,8,16,9,45.0,41.0,59.0,,,,,,,,,,,,,
game: 44,0,4,4,8,9,5,12.0,13.0,24.0,10.0,29.0,9.0,3.0,,,,,,,,,
game: 45,1,3,5,11,15,36,22.0,13.0,,,,,,,,,,,,,,
game: 46,0,2,4,7,14,45,35.0,27.0,52.0,,,,,,,,,,,,,
game: 47,1,2,4,7,11,16,20.0,27.0,,,,,,,,,,,,,,
game: 48,0,3,4,6,7,43,16.0,51.0,18.0,17.0,,,,,,,,,,,,
