,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,3,6,9,13,23,18,10,32,4,10,4.0,4.0,8.0,32.0,4.0,,,,,,,,,
game: 1,3,8,9,39,14,22,12,4,4,4,4.0,4.0,8.0,10.0,,,,,,,,,,
game: 2,3,8,25,19,30,34,6,4,4,4,6.0,4.0,8.0,10.0,4.0,,,,,,,,,
game: 3,3,6,4,12,16,10,8,4,4,4,4.0,4.0,8.0,10.0,,,,,,,,,,
game: 4,3,8,9,18,18,15,10,4,6,10,18.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,8.0,,,,,
game: 5,3,9,9,33,9,15,8,4,4,8,4.0,6.0,4.0,8.0,8.0,6.0,8.0,4.0,4.0,,,,,
game: 6,3,6,9,13,23,11,8,4,6,4,4.0,4.0,6.0,32.0,8.0,8.0,4.0,4.0,4.0,28.0,6.0,4.0,2.0,2.0
game: 7,3,6,4,13,19,8,8,4,4,4,,,,,,,,,,,,,,
game: 8,3,8,15,13,8,18,15,10,4,4,4.0,4.0,8.0,4.0,4.0,,,,,,,,,
game: 9,3,6,9,19,42,40,10,4,4,10,4.0,4.0,8.0,10.0,4.0,,,,,,,,,
