,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1,5,5,6,5,4,6,6,5,6,6,5.0,4.0,3.0,,,,
game: 1,2,5,6,7,7,7,7,7,6,5,5,5.0,3.0,,,,,
game: 2,1,4,4,5,5,8,7,6,7,6,6,5.0,4.0,3.0,3.0,3.0,4.0,3.0
game: 3,2,3,5,5,5,4,7,7,7,8,6,,,,,,,
game: 4,1,5,5,5,5,5,5,5,5,4,3,3.0,3.0,3.0,4.0,3.0,3.0,
game: 5,2,3,5,5,6,6,7,6,6,6,4,3.0,3.0,,,,,
game: 6,1,4,6,6,6,5,8,8,8,7,6,,,,,,,
game: 7,2,4,5,6,6,6,7,7,6,5,3,4.0,4.0,4.0,3.0,4.0,,
game: 8,1,4,5,5,6,6,6,4,5,5,4,5.0,3.0,4.0,,,,
game: 9,2,4,6,5,5,4,8,8,7,5,5,4.0,3.0,,,,,
