,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,3,6,11,18,43,41,16,65,5,16,5.0,5.0,16.0,65.0,5.0,,,,,,,,,
game: 1,3,8,11,62,19,51,35,5,5,5,5.0,5.0,16.0,16.0,,,,,,,,,,
game: 2,3,8,37,27,66,51,9,5,5,5,9.0,5.0,16.0,16.0,5.0,,,,,,,,,
game: 3,3,6,4,17,35,16,16,5,5,5,5.0,5.0,16.0,16.0,,,,,,,,,,
game: 4,3,8,11,26,39,23,16,5,9,16,35.0,5.0,16.0,5.0,5.0,5.0,5.0,5.0,16.0,,,,,
game: 5,3,9,11,61,11,23,16,5,5,16,5.0,9.0,5.0,16.0,16.0,9.0,16.0,5.0,5.0,,,,,
game: 6,3,6,11,18,43,23,16,5,9,5,5.0,5.0,9.0,65.0,16.0,16.0,5.0,5.0,5.0,90.0,8.0,5.0,2.0,2.0
game: 7,3,6,4,18,39,16,16,5,5,5,,,,,,,,,,,,,,
game: 8,3,8,20,18,11,41,23,16,5,5,5.0,5.0,16.0,5.0,5.0,,,,,,,,,
game: 9,3,6,11,27,87,86,16,5,5,16,5.0,5.0,16.0,16.0,5.0,,,,,,,,,
