,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,6.666666666666667,3.3333333333333335,2.2222222222222223,1.5384615384615385,0.8695652173913043,1.1111111111111112,2.0,0.625,5.0,2.0,5.0,5.0,2.5,0.625,4.5,,,,,,,,,
game: 1,6.666666666666667,2.5,2.2222222222222223,0.5128205128205128,1.4285714285714286,0.9090909090909091,1.6666666666666667,5.0,5.0,5.0,5.0,5.0,2.5,1.2,,,,,,,,,,
game: 2,6.666666666666667,2.5,0.8,1.0526315789473684,0.6666666666666666,0.5882352941176471,3.3333333333333335,5.0,5.0,5.0,3.3333333333333335,5.0,2.5,2.0,1.0,,,,,,,,,
game: 3,6.666666666666667,3.3333333333333335,5.0,1.6666666666666667,1.25,2.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,1.0,,,,,,,,,,
game: 4,6.666666666666667,2.5,2.2222222222222223,1.1111111111111112,1.1111111111111112,1.3333333333333333,2.0,5.0,3.3333333333333335,2.0,1.1111111111111112,5.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,,,,,
game: 5,6.666666666666667,2.2222222222222223,2.2222222222222223,0.6060606060606061,2.2222222222222223,1.3333333333333333,2.5,5.0,5.0,2.5,5.0,3.3333333333333335,5.0,2.5,2.5,3.3333333333333335,2.5,5.0,4.25,,,,,
game: 6,6.666666666666667,3.3333333333333335,2.2222222222222223,1.5384615384615385,0.8695652173913043,1.8181818181818181,2.5,5.0,3.3333333333333335,5.0,5.0,5.0,3.3333333333333335,0.625,2.5,2.5,5.0,5.0,5.0,0.7142857142857143,3.3333333333333335,5.0,7.0,1.0
game: 7,6.666666666666667,3.3333333333333335,5.0,1.5384615384615385,1.0526315789473684,2.5,2.5,5.0,5.0,4.5,,,,,,,,,,,,,,
game: 8,6.666666666666667,2.5,1.3333333333333333,1.5384615384615385,2.5,1.1111111111111112,1.3333333333333333,2.0,5.0,5.0,5.0,5.0,2.5,5.0,5.0,,,,,,,,,
game: 9,6.666666666666667,3.3333333333333335,2.2222222222222223,1.0526315789473684,0.47619047619047616,0.5,2.0,5.0,5.0,2.0,5.0,5.0,2.5,2.0,1.0,,,,,,,,,
