,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,300.0,100.0,75.0,50.0,50.0,50.0,37.5,33.333333333333336,,,,,,
game: 1,150.0,75.0,75.0,100.0,50.0,50.0,42.857142857142854,42.857142857142854,37.5,37.5,50.0,58.6,,
game: 2,300.0,60.0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,48.666666666666664,49.5,59.2,,
game: 3,150.0,75.0,60.0,60.0,60.0,60.0,42.857142857142854,42.857142857142854,42.142857142857146,50.0,60.0,,,
game: 4,300.0,100.0,60.0,60.0,50.0,60.0,60.0,73.25,,,,,,
game: 5,150.0,60.0,50.0,50.0,50.0,75.0,73.5,,,,,,,
game: 6,300.0,75.0,60.0,50.0,42.857142857142854,50.0,42.857142857142854,50.0,50.0,60.0,100.0,75.0,70.0,70.5
game: 7,150.0,100.0,60.0,50.0,37.5,42.857142857142854,42.857142857142854,50.0,75.0,100.0,88.66666666666667,,,
game: 8,300.0,60.0,75.0,75.0,60.0,60.0,49.833333333333336,50.0,46.333333333333336,50.0,,,,
game: 9,150.0,100.0,75.0,50.0,50.0,60.0,60.0,50.0,,,,,,
