,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,3,2,2,2,1,2,2,1,3,2,3.0,3.0,2.0,1.0,3.0,,,,,,,,,
game: 1,3,2,2,1,2,1,2,3,2,2,2.0,2.0,2.0,2.0,,,,,,,,,,
game: 2,3,2,1,2,1,1,2,3,3,2,2.0,2.0,2.0,2.0,1.0,,,,,,,,,
game: 3,3,2,2,2,2,2,2,3,2,2,2.0,2.0,2.0,1.0,,,,,,,,,,
game: 4,3,2,2,2,2,2,2,3,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
game: 5,3,2,2,1,2,2,2,3,2,2,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
game: 6,2,2,2,2,1,2,2,3,2,3,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0
game: 7,3,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,
game: 8,3,2,2,2,2,2,2,2,3,2,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
game: 9,3,2,2,2,1,1,2,3,3,2,3.0,3.0,2.0,2.0,1.0,,,,,,,,,
