,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,0,0,0,0,3,0,0,12,0,0,0.0,0.0,0.0,12.0,0.0,,,,,,,,,
game: 1,0,0,0,19,0,2,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,
game: 2,0,0,5,0,10,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
game: 3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,,
game: 4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 5,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
game: 6,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
game: 7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
game: 8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
game: 9,0,0,0,0,22,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
