,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23,turn 24,turn 25,turn 26,turn 27,turn 28,turn 29,turn 30,turn 31,turn 32
game: 0,1,4,5,7,42,7,7.0,19.0,16.0,8.0,10.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
game: 1,2,2,12,8,4,5,5.0,7.0,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,,
game: 2,2,3,6,5,13,13,12.0,11.0,14.0,96.0,12.0,30.0,6.0,6.0,10.0,8.0,4.0,16.0,4.0,11.0,8.0,8.0,2.0,2.0,,,,,,,,,
game: 3,2,3,8,7,13,10,12.0,26.0,16.0,40.0,20.0,38.0,6.0,7.0,12.0,6.0,,,,,,,,,,,,,,,,,
game: 4,1,4,7,3,4,6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 5,2,3,8,7,12,44,66.0,18.0,14.0,25.0,6.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,
game: 6,1,4,8,5,9,7,10.0,10.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
game: 7,2,3,4,5,9,16,22.0,21.0,10.0,15.0,21.0,6.0,,,,,,,,,,,,,,,,,,,,,
game: 8,1,3,3,5,9,12,9.0,12.0,45.0,17.0,15.0,20.0,8.0,12.0,20.0,,,,,,,,,,,,,,,,,,
game: 9,2,9,5,7,7,5,3.0,6.0,6.0,8.0,40.0,14.0,8.0,4.0,4.0,4.0,4.0,4.0,10.0,9.0,8.0,4.0,8.0,4.0,4.0,4.0,2.0,2.0,,,,,
game: 10,1,4,3,8,5,6,24.0,9.0,5.0,8.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,4.0,,,,,,,,,,,,,
game: 11,2,3,5,4,12,12,13.0,7.0,9.0,21.0,,,,,,,,,,,,,,,,,,,,,,,
game: 12,1,2,4,18,6,15,9.0,17.0,29.0,14.0,12.0,13.0,14.0,21.0,11.0,8.0,6.0,18.0,20.0,10.0,,,,,,,,,,,,,
game: 13,2,2,4,11,12,21,8.0,13.0,27.0,17.0,18.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,
game: 14,1,4,10,26,10,8,5.0,10.0,11.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,
game: 15,2,3,4,6,17,13,18.0,21.0,10.0,29.0,13.0,21.0,11.0,34.0,12.0,7.0,8.0,4.0,,,,,,,,,,,,,,,
game: 16,2,2,4,4,10,19,15.0,9.0,21.0,8.0,6.0,8.0,44.0,8.0,4.0,14.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,,,,,
game: 17,4,8,4,5,5,13,7.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 18,1,3,3,6,6,6,32.0,8.0,19.0,15.0,14.0,6.0,7.0,8.0,4.0,12.0,112.0,8.0,8.0,,,,,,,,,,,,,,
game: 19,2,2,16,9,19,10,17.0,13.0,11.0,8.0,4.0,8.0,4.0,4.0,4.0,4.0,10.0,8.0,6.0,13.0,4.0,,,,,,,,,,,,
game: 20,2,3,2,3,5,32,17.0,15.0,19.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,8.0,4.0,,,,,,,,,,
game: 21,5,3,24,13,13,12,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 22,2,2,4,5,11,13,8.0,24.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 23,5,6,3,4,7,13,12.0,22.0,22.0,54.0,15.0,18.0,,,,,,,,,,,,,,,,,,,,,
game: 24,1,2,4,5,6,8,10.0,24.0,55.0,66.0,22.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,
game: 25,2,18,3,15,7,37,18.0,35.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 26,2,3,3,7,11,17,22.0,19.0,37.0,153.0,46.0,31.0,19.0,,,,,,,,,,,,,,,,,,,,
game: 27,4,5,10,16,13,211,109.0,19.0,8.0,4.0,4.0,4.0,8.0,7.0,8.0,4.0,4.0,4.0,,,,,,,,,,,,,,,
game: 28,1,3,4,7,11,20,14.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 29,2,3,6,4,4,9,10.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 30,2,4,6,6,5,19,11.0,6.0,6.0,6.0,8.0,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
game: 31,5,3,3,15,9,12,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 32,2,3,8,6,7,9,9.0,19.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 33,9,3,2,6,9,9,7.0,15.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 34,1,7,4,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 35,16,3,5,5,12,36,7.0,10.0,9.0,12.0,20.0,,,,,,,,,,,,,,,,,,,,,,
game: 36,1,6,4,7,7,11,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 37,2,3,3,6,12,17,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 38,1,3,3,12,10,26,20.0,17.0,11.0,41.0,8.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15.0,15.0,10.0,4.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
game: 39,2,7,5,7,14,14,53.0,39.0,26.0,35.0,12.0,11.0,6.0,4.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,,,,,,,,
game: 40,1,10,8,9,12,14,8.0,16.0,26.0,40.0,9.0,15.0,8.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,
game: 41,4,3,3,3,6,5,5.0,12.0,12.0,157.0,12.0,17.0,11.0,6.0,20.0,4.0,4.0,4.0,20.0,40.0,29.0,6.0,4.0,2.0,,,,,,,,,
game: 42,1,3,4,13,23,13,8.0,9.0,57.0,10.0,4.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,
game: 43,4,4,5,6,5,6,10.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 44,1,3,26,4,7,7,6.0,15.0,22.0,34.0,17.0,13.0,10.0,21.0,,,,,,,,,,,,,,,,,,,
game: 45,2,3,7,7,6,8,10.0,24.0,46.0,56.0,26.0,19.0,10.0,,,,,,,,,,,,,,,,,,,,
game: 46,1,2,4,4,7,10,11.0,26.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 47,10,2,5,12,7,8,15.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 48,1,4,9,24,3,11,7.0,35.0,28.0,61.0,,,,,,,,,,,,,,,,,,,,,,,
game: 49,5,2,4,7,8,8,9.0,19.0,5.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,
game: 50,1,3,2,7,7,13,26.0,20.0,46.0,17.0,12.0,32.0,125.0,10.0,4.0,2.0,8.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,,,,,,,
game: 51,2,2,6,18,9,9,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 52,1,7,10,6,46,18,21.0,25.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 53,4,10,8,7,9,13,9.0,48.0,11.0,10.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
game: 54,2,2,12,6,3,4,4.0,3.0,11.0,20.0,14.0,8.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
game: 55,5,4,5,15,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 56,1,2,4,6,22,60,15.0,38.0,15.0,8.0,9.0,12.0,6.0,8.0,7.0,8.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,15.0,10.0,,,,,,,,
game: 57,2,2,7,10,13,8,22.0,11.0,18.0,11.0,14.0,11.0,8.0,7.0,,,,,,,,,,,,,,,,,,,
game: 58,2,3,12,6,15,8,8.0,15.0,14.0,10.0,12.0,7.0,8.0,7.0,8.0,4.0,,,,,,,,,,,,,,,,,
game: 59,2,5,12,37,38,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 60,1,3,21,11,7,9,8.0,14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 61,5,6,3,4,40,8,4.0,10.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
game: 62,2,2,3,5,9,16,11.0,14.0,62.0,22.0,14.0,11.0,20.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,
game: 63,5,4,3,6,21,9,16.0,19.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 64,1,3,2,5,5,16,11.0,31.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 65,4,6,8,10,11,20,10.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 66,2,3,3,6,9,8,4.0,4.0,4.0,8.0,4.0,4.0,4.0,6.0,7.0,8.0,4.0,,,,,,,,,,,,,,,,
game: 67,2,4,9,7,3,4,12.0,43.0,11.0,14.0,8.0,6.0,8.0,4.0,10.0,18.0,,,,,,,,,,,,,,,,,
game: 68,1,3,4,3,10,5,8.0,10.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 69,4,6,4,9,19,10,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 70,2,4,3,4,10,11,7.0,8.0,12.0,16.0,162.0,138.0,19.0,8.0,9.0,,,,,,,,,,,,,,,,,,
game: 71,4,4,4,28,9,31,13.0,16.0,20.0,20.0,14.0,,,,,,,,,,,,,,,,,,,,,,
game: 72,1,4,3,6,6,14,20.0,28.0,16.0,11.0,14.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,4.0,4.0,4.0,,,,,,,,,
game: 73,5,4,9,9,6,11,10.0,17.0,22.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
game: 74,2,2,3,8,5,11,19.0,52.0,23.0,11.0,4.0,20.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
game: 75,4,5,6,14,20,16,17.0,13.0,7.0,7.0,8.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
game: 76,1,3,10,4,3,4,4.0,5.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,
game: 77,4,4,5,13,10,9,12.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 78,1,7,5,5,6,10,6.0,5.0,4.0,7.0,28.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,
game: 79,5,3,3,4,7,8,9.0,18.0,9.0,21.0,75.0,27.0,28.0,4.0,14.0,6.0,,,,,,,,,,,,,,,,,
game: 80,1,3,4,4,10,16,18.0,29.0,82.0,49.0,39.0,9.0,15.0,,,,,,,,,,,,,,,,,,,,
game: 81,2,3,4,11,6,12,10.0,60.0,11.0,24.0,18.0,11.0,,,,,,,,,,,,,,,,,,,,,
game: 82,4,7,4,6,9,19,17.0,22.0,39.0,44.0,8.0,4.0,8.0,7.0,10.0,6.0,6.0,,,,,,,,,,,,,,,,
game: 83,4,2,3,4,6,21,12.0,11.0,16.0,14.0,9.0,22.0,110.0,,,,,,,,,,,,,,,,,,,,
