,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,1,3,3,5,6,6,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
game: 1,3,6,7,9,9,10,9.0,,,,,,,,,,,,,,,,,
game: 2,1,2,3,7,7,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,,,,,,,,,
game: 3,3,5,6,6,6,7,7.0,8.0,9.0,10.0,11.0,,,,,,,,,,,,,
game: 4,1,3,3,5,7,7,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,
game: 5,2,4,5,7,7,8,8.0,9.0,9.0,,,,,,,,,,,,,,,
game: 6,1,3,6,7,9,9,9.0,9.0,9.0,,,,,,,,,,,,,,,
game: 7,2,8,7,6,7,9,,,,,,,,,,,,,,,,,,
game: 8,1,2,3,5,5,6,8.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,
game: 9,2,6,7,8,8,10,10.0,11.0,,,,,,,,,,,,,,,,
game: 10,1,4,5,6,6,7,9.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
game: 11,3,7,6,7,8,8,8.0,8.0,,,,,,,,,,,,,,,,
game: 12,1,4,4,7,9,10,11.0,11.0,,,,,,,,,,,,,,,,
game: 13,3,4,7,9,9,9,9.0,,,,,,,,,,,,,,,,,
game: 14,2,2,3,4,4,4,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0
game: 15,2,4,6,7,9,10,,,,,,,,,,,,,,,,,,
game: 16,1,5,6,7,9,9,,,,,,,,,,,,,,,,,,
game: 17,4,4,5,6,6,7,7.0,8.0,8.0,,,,,,,,,,,,,,,
game: 18,1,3,4,7,8,9,9.0,10.0,11.0,11.0,11.0,,,,,,,,,,,,,
game: 19,2,5,5,5,6,9,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,
game: 20,1,3,5,7,7,9,9.0,9.0,9.0,,,,,,,,,,,,,,,
game: 21,3,6,7,9,9,9,9.0,,,,,,,,,,,,,,,,,
game: 22,1,3,5,6,8,10,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,
game: 23,3,4,5,7,7,9,10.0,,,,,,,,,,,,,,,,,
game: 24,1,3,3,3,5,7,7.0,9.0,9.0,,,,,,,,,,,,,,,
game: 25,4,7,8,9,11,11,11.0,11.0,,,,,,,,,,,,,,,,
game: 26,2,5,6,7,6,7,7.0,,,,,,,,,,,,,,,,,
game: 27,2,5,5,7,8,10,10.0,10.0,10.0,,,,,,,,,,,,,,,
game: 28,1,3,3,5,6,7,7.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,
game: 29,2,3,5,6,6,7,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,
game: 30,1,3,5,7,8,9,10.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,
game: 31,3,5,6,7,7,9,9.0,9.0,9.0,,,,,,,,,,,,,,,
game: 32,1,3,5,6,7,9,9.0,10.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,
game: 33,2,5,7,8,8,9,9.0,10.0,10.0,10.0,,,,,,,,,,,,,,
game: 34,1,3,3,4,5,5,6.0,7.0,8.0,9.0,10.0,,,,,,,,,,,,,
game: 35,3,5,4,5,6,7,7.0,9.0,9.0,,,,,,,,,,,,,,,
game: 36,1,3,4,5,5,5,5.0,6.0,6.0,6.0,,,,,,,,,,,,,,
game: 37,2,4,7,8,9,11,11.0,,,,,,,,,,,,,,,,,
game: 38,2,4,6,7,8,9,9.0,9.0,9.0,11.0,11.0,11.0,11.0,,,,,,,,,,,
game: 39,2,4,4,6,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,,,,,,,
game: 40,3,6,7,8,8,10,10.0,11.0,,,,,,,,,,,,,,,,
game: 41,3,4,5,6,6,9,10.0,,,,,,,,,,,,,,,,,
game: 42,2,3,3,5,5,5,8.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,
game: 43,2,4,6,7,9,11,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,
game: 44,1,2,4,5,5,6,6.0,6.0,6.0,,,,,,,,,,,,,,,
game: 45,4,5,6,8,9,11,,,,,,,,,,,,,,,,,,
game: 46,1,3,4,6,7,10,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,
game: 47,2,5,4,4,6,8,8.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,,,,,,,,
game: 48,1,2,4,6,6,8,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,
game: 49,1,3,4,4,5,7,7.0,7.0,7.0,7.0,7.0,7.0,8.0,,,,,,,,,,,
game: 50,1,3,5,6,8,9,10.0,,,,,,,,,,,,,,,,,
game: 51,1,4,4,6,6,7,7.0,8.0,9.0,,,,,,,,,,,,,,,
game: 52,1,2,4,5,6,6,6.0,8.0,9.0,10.0,,,,,,,,,,,,,,
game: 53,3,5,7,6,8,8,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,
game: 54,1,3,5,5,7,7,7.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,
game: 55,1,2,3,6,6,7,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,,,,,,,,,,
game: 56,1,2,3,3,5,6,6.0,6.0,6.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,
game: 57,1,4,4,7,8,9,9.0,,,,,,,,,,,,,,,,,
game: 58,1,2,3,4,4,6,6.0,8.0,8.0,8.0,,,,,,,,,,,,,,
game: 59,4,4,6,6,6,7,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,,,,,,,,,,
game: 60,1,2,3,6,7,10,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,
game: 61,3,5,6,7,6,7,7.0,7.0,7.0,,,,,,,,,,,,,,,
game: 62,1,3,4,6,6,6,6.0,6.0,6.0,7.0,8.0,,,,,,,,,,,,,
game: 63,4,5,5,7,7,8,8.0,8.0,8.0,,,,,,,,,,,,,,,
game: 64,1,4,5,8,9,11,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,
game: 65,3,5,7,8,8,9,9.0,9.0,,,,,,,,,,,,,,,,
game: 66,2,3,2,2,4,7,7.0,7.0,7.0,8.0,8.0,10.0,10.0,10.0,,,,,,,,,,
game: 67,3,5,6,8,8,10,11.0,11.0,,,,,,,,,,,,,,,,
game: 68,1,3,6,7,7,7,7.0,7.0,9.0,9.0,10.0,11.0,,,,,,,,,,,,
game: 69,4,5,9,9,9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,
game: 70,1,2,5,5,6,7,7.0,7.0,7.0,7.0,8.0,,,,,,,,,,,,,
game: 71,2,4,5,5,6,8,8.0,8.0,8.0,,,,,,,,,,,,,,,
game: 72,1,6,6,9,10,11,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,
game: 73,2,3,4,6,7,7,7.0,7.0,,,,,,,,,,,,,,,,
game: 74,1,2,2,4,6,7,7.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,11.0,,,,,,,
game: 75,1,3,5,7,8,9,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,
game: 76,1,3,3,6,7,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,,,,,,
game: 77,3,6,6,8,8,8,8.0,,,,,,,,,,,,,,,,,
game: 78,1,2,4,6,7,7,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,
game: 79,3,3,4,5,6,7,8.0,8.0,,,,,,,,,,,,,,,,
game: 80,1,3,5,6,8,8,8.0,8.0,,,,,,,,,,,,,,,,
game: 81,3,4,6,7,9,9,,,,,,,,,,,,,,,,,,
game: 82,1,4,5,5,6,7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,,,,,,,,,,
game: 83,2,6,8,9,10,10,10.0,,,,,,,,,,,,,,,,,
game: 84,1,1,3,5,5,6,6.0,7.0,7.0,8.0,,,,,,,,,,,,,,
game: 85,3,4,4,5,6,7,8.0,9.0,9.0,10.0,,,,,,,,,,,,,,
game: 86,1,4,4,5,5,7,7.0,,,,,,,,,,,,,,,,,
game: 87,2,3,3,6,7,9,9.0,10.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,
game: 88,2,3,3,5,5,5,5.0,7.0,7.0,8.0,8.0,,,,,,,,,,,,,
game: 89,2,5,5,5,6,8,8.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,
game: 90,2,3,5,5,5,5,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,
game: 91,2,4,5,6,7,8,8.0,10.0,10.0,,,,,,,,,,,,,,,
game: 92,2,2,3,4,4,6,6.0,6.0,6.0,6.0,8.0,8.0,,,,,,,,,,,,
game: 93,3,4,5,5,4,8,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,,,,,,,
game: 94,1,3,5,7,7,8,9.0,11.0,11.0,11.0,,,,,,,,,,,,,,
game: 95,2,6,6,7,9,9,9.0,9.0,9.0,,,,,,,,,,,,,,,
game: 96,1,4,5,7,7,6,6.0,7.0,7.0,,,,,,,,,,,,,,,
game: 97,2,5,7,8,9,11,11.0,11.0,,,,,,,,,,,,,,,,
game: 98,1,3,5,8,8,8,9.0,10.0,11.0,,,,,,,,,,,,,,,
game: 99,1,2,4,5,6,8,8.0,9.0,9.0,10.0,10.0,,,,,,,,,,,,,
