,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23,turn 24,turn 25,turn 26,turn 27,turn 28,turn 29,turn 30,turn 31,turn 32
game: 0,1,4,5,8,133,9,9.0,34.0,27.0,10.0,16.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,
game: 1,2,2,19,11,4,6,6.0,9.0,11.0,42.0,,,,,,,,,,,,,,,,,,,,,,,
game: 2,2,3,8,6,20,17,16.0,15.0,21.0,281.0,23.0,98.0,8.0,8.0,16.0,16.0,5.0,23.0,5.0,21.0,16.0,16.0,2.0,2.0,,,,,,,,,
game: 3,2,3,9,8,17,12,17.0,56.0,21.0,133.0,48.0,72.0,8.0,10.0,21.0,8.0,,,,,,,,,,,,,,,,,
game: 4,1,4,8,3,5,7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 5,2,3,9,8,17,103,247.0,41.0,30.0,43.0,8.0,16.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,
game: 6,1,4,9,5,13,10,15.0,19.0,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
game: 7,2,3,5,5,11,33,57.0,37.0,14.0,32.0,40.0,8.0,,,,,,,,,,,,,,,,,,,,,
game: 8,1,3,3,5,12,17,12.0,15.0,141.0,35.0,29.0,46.0,11.0,27.0,65.0,,,,,,,,,,,,,,,,,,
game: 9,2,11,6,9,8,6,3.0,8.0,8.0,16.0,93.0,23.0,16.0,5.0,5.0,5.0,5.0,5.0,15.0,14.0,16.0,5.0,16.0,5.0,5.0,5.0,2.0,2.0,,,,,
game: 10,1,4,3,10,5,8,35.0,17.0,6.0,16.0,5.0,16.0,5.0,5.0,5.0,5.0,5.0,5.0,65.0,5.0,,,,,,,,,,,,,
game: 11,2,3,6,4,23,16,19.0,9.0,17.0,46.0,,,,,,,,,,,,,,,,,,,,,,,
game: 12,1,2,4,30,7,22,12.0,26.0,61.0,26.0,19.0,23.0,23.0,40.0,21.0,10.0,8.0,29.0,65.0,16.0,,,,,,,,,,,,,
game: 13,2,2,4,14,20,47,11.0,22.0,57.0,32.0,38.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,
game: 14,1,4,11,38,19,10,6.0,19.0,15.0,34.0,19.0,,,,,,,,,,,,,,,,,,,,,,
game: 15,2,3,4,7,33,17,31.0,36.0,14.0,61.0,18.0,46.0,21.0,118.0,21.0,10.0,16.0,5.0,,,,,,,,,,,,,,,
game: 16,2,2,4,4,13,30,41.0,11.0,66.0,10.0,8.0,16.0,182.0,16.0,5.0,35.0,10.0,16.0,16.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,,,,,
game: 17,5,11,4,6,6,22,9.0,24.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 18,1,3,3,8,7,7,73.0,11.0,34.0,26.0,27.0,8.0,10.0,16.0,5.0,35.0,973.0,16.0,16.0,,,,,,,,,,,,,,
game: 19,2,2,23,11,38,13,29.0,18.0,21.0,16.0,5.0,16.0,5.0,5.0,5.0,5.0,16.0,12.0,8.0,21.0,5.0,,,,,,,,,,,,
game: 20,2,3,2,3,5,49,24.0,29.0,38.0,8.0,16.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,16.0,5.0,,,,,,,,,,
game: 21,5,3,61,19,19,16,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 22,2,2,5,5,14,17,10.0,42.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 23,5,8,3,5,8,18,17.0,45.0,41.0,136.0,22.0,38.0,,,,,,,,,,,,,,,,,,,,,
game: 24,1,2,4,6,7,9,13.0,49.0,163.0,198.0,34.0,27.0,16.0,,,,,,,,,,,,,,,,,,,,
game: 25,2,35,3,22,8,81,31.0,76.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 26,2,3,3,9,14,23,31.0,27.0,72.0,680.0,120.0,73.0,42.0,,,,,,,,,,,,,,,,,,,,
game: 27,5,5,12,22,19,526,576.0,39.0,16.0,5.0,5.0,5.0,16.0,10.0,16.0,5.0,5.0,5.0,,,,,,,,,,,,,,,
game: 28,1,3,4,8,16,33,20.0,670.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 29,2,3,7,4,5,11,19.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 30,2,5,8,8,6,38,19.0,8.0,8.0,8.0,10.0,16.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
game: 31,5,3,3,22,11,16,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 32,2,3,9,7,9,12,12.0,35.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 33,9,3,2,7,11,11,9.0,22.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 34,1,8,5,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 35,16,3,5,6,18,71,9.0,13.0,13.0,27.0,65.0,,,,,,,,,,,,,,,,,,,,,,
game: 36,1,8,4,8,8,15,19.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 37,2,3,3,7,15,33,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
