,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23,turn 24,turn 25,turn 26,turn 27,turn 28,turn 29,turn 30,turn 31,turn 32
game: 0,0,3,4,6,41,6,6.0,18.0,15.0,7.0,9.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
game: 1,1,1,11,7,3,4,4.0,6.0,7.0,21.0,,,,,,,,,,,,,,,,,,,,,,,
game: 2,1,2,5,4,12,12,11.0,10.0,13.0,95.0,11.0,29.0,5.0,5.0,9.0,7.0,3.0,15.0,3.0,10.0,7.0,7.0,1.0,1.0,,,,,,,,,
game: 3,1,2,7,6,12,9,11.0,25.0,15.0,39.0,19.0,37.0,5.0,6.0,11.0,5.0,,,,,,,,,,,,,,,,,
game: 4,0,3,6,2,3,5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 5,1,2,7,6,11,43,65.0,17.0,13.0,24.0,5.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,
game: 6,0,3,7,4,8,6,9.0,9.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
game: 7,1,2,3,4,8,15,21.0,20.0,9.0,14.0,20.0,5.0,,,,,,,,,,,,,,,,,,,,,
game: 8,0,2,2,4,8,11,8.0,11.0,44.0,16.0,14.0,19.0,7.0,11.0,19.0,,,,,,,,,,,,,,,,,,
game: 9,1,8,4,6,6,4,2.0,5.0,5.0,7.0,39.0,13.0,7.0,3.0,3.0,3.0,3.0,3.0,9.0,8.0,7.0,3.0,7.0,3.0,3.0,3.0,1.0,1.0,,,,,
game: 10,0,3,2,7,4,5,23.0,8.0,4.0,7.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,19.0,3.0,,,,,,,,,,,,,
game: 11,1,2,4,3,11,11,12.0,6.0,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,
game: 12,0,1,3,17,5,14,8.0,16.0,28.0,13.0,11.0,12.0,13.0,20.0,10.0,7.0,5.0,17.0,19.0,9.0,,,,,,,,,,,,,
game: 13,1,1,3,10,11,20,7.0,12.0,26.0,16.0,17.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,
game: 14,0,3,9,25,9,7,4.0,9.0,10.0,17.0,9.0,,,,,,,,,,,,,,,,,,,,,,
game: 15,1,2,3,5,16,12,17.0,20.0,9.0,28.0,12.0,20.0,10.0,33.0,11.0,6.0,7.0,3.0,,,,,,,,,,,,,,,
game: 16,1,1,3,3,9,18,14.0,8.0,20.0,7.0,5.0,7.0,43.0,7.0,3.0,13.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,,,,,
game: 17,3,7,3,4,4,12,6.0,15.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 18,0,2,2,5,5,5,31.0,7.0,18.0,14.0,13.0,5.0,6.0,7.0,3.0,11.0,111.0,7.0,7.0,,,,,,,,,,,,,,
game: 19,1,1,15,8,18,9,16.0,12.0,10.0,7.0,3.0,7.0,3.0,3.0,3.0,3.0,9.0,7.0,5.0,12.0,3.0,,,,,,,,,,,,
game: 20,1,2,1,2,4,31,16.0,14.0,18.0,5.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,7.0,3.0,,,,,,,,,,
game: 21,4,2,23,12,12,11,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 22,1,1,3,4,10,12,7.0,23.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 23,4,5,2,3,6,12,11.0,21.0,21.0,53.0,14.0,17.0,,,,,,,,,,,,,,,,,,,,,
game: 24,0,1,3,4,5,7,9.0,23.0,54.0,65.0,21.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,
game: 25,1,17,2,14,6,36,17.0,34.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 26,1,2,2,6,10,16,21.0,18.0,36.0,152.0,45.0,30.0,18.0,,,,,,,,,,,,,,,,,,,,
game: 27,3,4,9,15,12,210,108.0,18.0,7.0,3.0,3.0,3.0,7.0,6.0,7.0,3.0,3.0,3.0,,,,,,,,,,,,,,,
game: 28,0,2,3,6,10,19,13.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 29,1,2,5,3,3,8,9.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 30,1,3,5,5,4,18,10.0,5.0,5.0,5.0,7.0,7.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
game: 31,4,2,2,14,8,11,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 32,1,2,7,5,6,8,8.0,18.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 33,8,2,1,5,8,8,6.0,14.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 34,0,6,3,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 35,15,2,4,4,11,35,6.0,9.0,8.0,11.0,19.0,,,,,,,,,,,,,,,,,,,,,,
game: 36,0,5,3,6,6,10,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 37,1,2,2,5,11,16,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 38,0,2,2,11,9,25,19.0,16.0,10.0,40.0,7.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,14.0,9.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
game: 39,1,6,4,6,13,13,52.0,38.0,25.0,34.0,11.0,10.0,5.0,3.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,,
game: 40,0,9,7,8,11,13,7.0,15.0,25.0,39.0,8.0,14.0,7.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
game: 41,3,2,2,2,5,4,4.0,11.0,11.0,156.0,11.0,16.0,10.0,5.0,19.0,3.0,3.0,3.0,19.0,39.0,28.0,5.0,3.0,1.0,,,,,,,,,
game: 42,0,2,3,12,22,12,7.0,8.0,56.0,9.0,3.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,
game: 43,3,3,4,5,4,5,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 44,0,2,25,3,6,6,5.0,14.0,21.0,33.0,16.0,12.0,9.0,20.0,,,,,,,,,,,,,,,,,,,
game: 45,1,2,6,6,5,7,9.0,23.0,45.0,55.0,25.0,18.0,9.0,,,,,,,,,,,,,,,,,,,,
game: 46,0,1,3,3,6,9,10.0,25.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 47,9,1,4,11,6,7,14.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 48,0,3,8,23,2,10,6.0,34.0,27.0,60.0,,,,,,,,,,,,,,,,,,,,,,,
game: 49,4,1,3,6,7,7,8.0,18.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,
game: 50,0,2,1,6,6,12,25.0,19.0,45.0,16.0,11.0,31.0,124.0,9.0,3.0,1.0,7.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,
game: 51,1,1,5,17,8,8,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 52,0,6,9,5,45,17,20.0,24.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 53,3,9,7,6,8,12,8.0,47.0,10.0,9.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
