,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,0,2,2,4,5,5,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,
game: 1,2,5,6,8,8,9,8.0,,,,,,,,,,,,,,,,,
game: 2,0,1,2,6,6,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,,,,,,,,,
game: 3,2,4,5,5,5,6,6.0,7.0,8.0,9.0,10.0,,,,,,,,,,,,,
game: 4,0,2,2,4,6,6,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,
game: 5,1,3,4,6,6,7,7.0,8.0,8.0,,,,,,,,,,,,,,,
game: 6,0,2,5,6,8,8,8.0,8.0,8.0,,,,,,,,,,,,,,,
game: 7,1,7,6,5,6,8,,,,,,,,,,,,,,,,,,
game: 8,0,1,2,4,4,5,7.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,
game: 9,1,5,6,7,7,9,9.0,10.0,,,,,,,,,,,,,,,,
game: 10,0,3,4,5,5,6,8.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,
game: 11,2,6,5,6,7,7,7.0,7.0,,,,,,,,,,,,,,,,
game: 12,0,3,3,6,8,9,10.0,10.0,,,,,,,,,,,,,,,,
game: 13,2,3,6,8,8,8,8.0,,,,,,,,,,,,,,,,,
game: 14,1,1,2,3,3,3,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0
game: 15,1,3,5,6,8,9,,,,,,,,,,,,,,,,,,
game: 16,0,4,5,6,8,8,,,,,,,,,,,,,,,,,,
game: 17,3,3,4,5,5,6,6.0,7.0,7.0,,,,,,,,,,,,,,,
game: 18,0,2,3,6,7,8,8.0,9.0,10.0,10.0,10.0,,,,,,,,,,,,,
game: 19,1,4,4,4,5,8,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,
game: 20,0,2,4,6,6,8,8.0,8.0,8.0,,,,,,,,,,,,,,,
game: 21,2,5,6,8,8,8,8.0,,,,,,,,,,,,,,,,,
game: 22,0,2,4,5,7,9,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,
game: 23,2,3,4,6,6,8,9.0,,,,,,,,,,,,,,,,,
game: 24,0,2,2,2,4,6,6.0,8.0,8.0,,,,,,,,,,,,,,,
game: 25,3,6,7,8,10,10,10.0,10.0,,,,,,,,,,,,,,,,
game: 26,1,4,5,6,5,6,6.0,,,,,,,,,,,,,,,,,
game: 27,1,4,4,6,7,9,9.0,9.0,9.0,,,,,,,,,,,,,,,
game: 28,0,2,2,4,5,6,6.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,
game: 29,1,2,4,5,5,6,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,
game: 30,0,2,4,6,7,8,9.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
game: 31,2,4,5,6,6,8,8.0,8.0,8.0,,,,,,,,,,,,,,,
game: 32,0,2,4,5,6,8,8.0,9.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,
game: 33,1,4,6,7,7,8,8.0,9.0,9.0,9.0,,,,,,,,,,,,,,
game: 34,0,2,2,3,4,4,5.0,6.0,7.0,8.0,9.0,,,,,,,,,,,,,
game: 35,2,4,3,4,5,6,6.0,8.0,8.0,,,,,,,,,,,,,,,
game: 36,0,2,3,4,4,4,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,
game: 37,1,3,6,7,8,10,10.0,,,,,,,,,,,,,,,,,
game: 38,1,3,5,6,7,8,8.0,8.0,8.0,10.0,10.0,10.0,10.0,,,,,,,,,,,
game: 39,1,3,3,5,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,10.0,,,,,,,
game: 40,2,5,6,7,7,9,9.0,10.0,,,,,,,,,,,,,,,,
game: 41,2,3,4,5,5,8,9.0,,,,,,,,,,,,,,,,,
game: 42,1,2,2,4,4,4,7.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
game: 43,1,3,5,6,8,10,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,
game: 44,0,1,3,4,4,5,5.0,5.0,5.0,,,,,,,,,,,,,,,
game: 45,3,4,5,7,8,10,,,,,,,,,,,,,,,,,,
game: 46,0,2,3,5,6,9,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
game: 47,1,4,3,3,5,7,7.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,,,,,,,,
game: 48,0,1,3,5,5,7,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,
game: 49,0,2,3,3,4,6,6.0,6.0,6.0,6.0,6.0,6.0,7.0,,,,,,,,,,,
game: 50,0,2,4,5,7,8,9.0,,,,,,,,,,,,,,,,,
game: 51,0,3,3,5,5,6,6.0,7.0,8.0,,,,,,,,,,,,,,,
game: 52,0,1,3,4,5,5,5.0,7.0,8.0,9.0,,,,,,,,,,,,,,
game: 53,2,4,6,5,7,7,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,
game: 54,0,2,4,4,6,6,6.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,
game: 55,0,1,2,5,5,6,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,,,,,,,,,,
game: 56,0,1,2,2,4,5,5.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,
game: 57,0,3,3,6,7,8,8.0,,,,,,,,,,,,,,,,,
game: 58,0,1,2,3,3,5,5.0,7.0,7.0,7.0,,,,,,,,,,,,,,
game: 59,3,3,5,5,5,6,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,,,,,,,,,,
game: 60,0,1,2,5,6,9,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,
