,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 0,1,4,5,6,6,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
game: 1,3,4,5,4,6,7.0,,,,,,,,,,,
game: 2,1,3,4,6,7,7.0,,,,,,,,,,,
game: 3,2,3,4,5,7,5.0,5.0,5.0,5.0,5.0,3.0,3.0,,,,,
game: 4,2,3,4,5,6,6.0,6.0,,,,,,,,,,
game: 5,2,4,4,5,8,8.0,6.0,,,,,,,,,,
game: 6,2,4,6,6,5,,,,,,,,,,,,
game: 7,3,4,5,5,6,,,,,,,,,,,,
game: 8,1,2,3,4,6,8.0,8.0,7.0,,,,,,,,,
game: 9,3,4,7,7,5,6.0,6.0,5.0,4.0,3.0,3.0,3.0,,,,,
