,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1,4,7,5,9,8.0,19.0,14.0,,,,,,,,,,
game: 1,2,5,14,15,9,7.0,13.0,16.0,,,,,,,,,,
game: 2,2,4,5,10,8,11.0,7.0,8.0,6.0,7.0,,,,,,,,
game: 3,4,2,4,5,10,12.0,25.0,8.0,,,,,,,,,,
game: 4,2,3,3,4,5,12.0,8.0,9.0,14.0,10.0,8.0,4.0,4.0,4.0,,,,
game: 5,4,2,4,5,6,8.0,15.0,,,,,,,,,,,
game: 6,2,4,4,4,4,5.0,8.0,11.0,10.0,15.0,,,,,,,,
game: 7,4,2,4,6,7,10.0,,,,,,,,,,,,
game: 8,1,3,5,5,10,14.0,9.0,,,,,,,,,,,
game: 9,6,4,5,6,12,13.0,15.0,,,,,,,,,,,
game: 10,1,2,6,6,8,9.0,12.0,20.0,20.0,,,,,,,,,
game: 11,6,6,3,5,6,7.0,12.0,11.0,14.0,8.0,4.0,,,,,,,
game: 12,2,4,4,5,6,10.0,8.0,14.0,,,,,,,,,,
game: 13,4,3,4,8,6,10.0,11.0,,,,,,,,,,,
game: 14,1,3,5,4,10,10.0,13.0,16.0,13.0,13.0,13.0,,,,,,,
game: 15,2,4,4,6,7,14.0,13.0,16.0,24.0,17.0,,,,,,,,
game: 16,2,2,5,7,13,21.0,16.0,8.0,10.0,13.0,,,,,,,,
game: 17,4,2,6,6,15,15.0,10.0,8.0,,,,,,,,,,
game: 18,1,2,7,8,10,16.0,20.0,12.0,17.0,,,,,,,,,
game: 19,4,3,4,5,7,11.0,9.0,,,,,,,,,,,
game: 20,2,3,4,8,9,8.0,11.0,8.0,,,,,,,,,,
game: 21,2,3,5,6,9,13.0,14.0,,,,,,,,,,,
game: 22,1,4,10,8,10,11.0,23.0,16.0,29.0,,,,,,,,,
game: 23,6,6,2,5,8,8.0,12.0,,,,,,,,,,,
game: 24,1,3,5,11,10,12.0,7.0,10.0,6.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
game: 25,4,4,4,9,9,12.0,25.0,14.0,,,,,,,,,,
game: 26,2,2,4,4,6,8.0,9.0,12.0,,,,,,,,,,
game: 27,4,3,4,5,7,9.0,11.0,,,,,,,,,,,
game: 28,1,2,3,5,7,11.0,20.0,17.0,16.0,,,,,,,,,
game: 29,4,3,3,3,6,7.0,7.0,,,,,,,,,,,
game: 30,1,2,3,5,9,8.0,12.0,15.0,8.0,14.0,,,,,,,,
game: 31,2,4,5,12,14,14.0,23.0,,,,,,,,,,,
game: 32,1,4,4,9,14,15.0,14.0,17.0,,,,,,,,,,
game: 33,2,4,5,7,7,14.0,11.0,,,,,,,,,,,
game: 34,2,4,4,6,7,5.0,5.0,,,,,,,,,,,
game: 35,4,2,4,5,9,17.0,9.0,13.0,19.0,19.0,7.0,6.0,,,,,,
game: 36,2,5,8,5,5,5.0,7.0,8.0,12.0,7.0,8.0,4.0,4.0,4.0,4.0,4.0,,
game: 37,2,4,8,6,8,,,,,,,,,,,,,
