,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,3,4,4,5,7,7,9.0,14.0,20.0,18.0,4.0,,,
game: 1,2,7,4,9,7,12,25.0,,,,,,,
game: 2,1,3,4,9,7,13,6.0,15.0,6.0,10.0,4.0,4.0,8.0,4.0
game: 3,4,7,12,10,7,13,9.0,15.0,8.0,14.0,8.0,4.0,4.0,
game: 4,2,3,6,7,9,7,9.0,12.0,10.0,14.0,8.0,4.0,4.0,
game: 5,4,9,4,4,6,7,13.0,12.0,6.0,8.0,7.0,7.0,4.0,
game: 6,2,2,6,14,9,22,9.0,10.0,13.0,,,,,
game: 7,4,3,4,4,6,7,,,,,,,,
game: 8,2,4,5,6,7,11,5.0,8.0,10.0,,,,,
game: 9,2,4,5,6,8,9,24.0,,,,,,,
