,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,0.0,0.0,0.0,16.666666666666664,12.5,12.5,25.0,30.000000000000004,52.38095238095239,56.09756097560976,19.999999999999996,,,
game: 1,0.0,12.5,0.0,9.999999999999998,12.5,29.411764705882348,50.98039215686274,,,,,,,
game: 2,0.0,0.0,0.0,25.0,12.5,27.77777777777778,25.0,48.275862068965516,25.0,37.5,19.999999999999996,19.999999999999996,50.0,19.999999999999996
game: 3,19.999999999999996,0.0,25.0,16.666666666666664,12.5,23.529411764705888,25.0,53.125,27.27272727272727,48.14814814814815,50.0,19.999999999999996,19.999999999999996,
game: 4,0.0,0.0,14.28571428571429,12.5,25.0,12.5,25.0,33.333333333333336,23.076923076923073,17.647058823529417,50.0,19.999999999999996,19.999999999999996,
game: 5,19.999999999999996,18.181818181818176,0.0,19.999999999999996,14.28571428571429,12.5,27.77777777777778,42.85714285714286,25.0,19.999999999999996,30.000000000000004,30.000000000000004,19.999999999999996,
game: 6,0.0,0.0,14.28571428571429,6.666666666666665,18.181818181818176,37.142857142857146,25.0,28.57142857142857,35.0,,,,,
game: 7,19.999999999999996,0.0,0.0,0.0,14.28571428571429,12.5,,,,,,,,
game: 8,0.0,0.0,0.0,14.28571428571429,30.000000000000004,35.29411764705882,16.666666666666664,19.999999999999996,37.5,,,,,
game: 9,0.0,0.0,0.0,14.28571428571429,19.999999999999996,18.181818181818176,42.85714285714286,,,,,,,
