,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1,4,8,6,10,10.0,33.0,20.0,,,,,,,,,,
game: 1,2,5,16,20,12,8.0,20.0,38.0,,,,,,,,,,
game: 2,2,4,5,13,11,20.0,9.0,11.0,8.0,9.0,,,,,,,,
game: 3,5,2,4,5,13,17.0,49.0,11.0,,,,,,,,,,
game: 4,2,3,3,4,5,16.0,11.0,12.0,22.0,15.0,16.0,5.0,5.0,5.0,,,,
game: 5,5,2,4,5,6,10.0,21.0,,,,,,,,,,,
game: 6,2,4,5,5,4,5.0,10.0,16.0,15.0,41.0,,,,,,,,
game: 7,5,2,4,7,8,13.0,,,,,,,,,,,,
game: 8,1,3,5,5,13,25.0,12.0,,,,,,,,,,,
game: 9,8,4,5,7,17,19.0,27.0,,,,,,,,,,,
game: 10,1,2,7,7,10,11.0,17.0,37.0,42.0,,,,,,,,,
game: 11,8,6,3,6,7,8.0,16.0,15.0,29.0,16.0,5.0,,,,,,,
game: 12,2,4,5,6,7,13.0,11.0,20.0,,,,,,,,,,
game: 13,5,3,4,11,7,14.0,16.0,,,,,,,,,,,
game: 14,1,3,6,4,13,13.0,19.0,24.0,20.0,18.0,29.0,,,,,,,
game: 15,2,4,4,7,8,18.0,18.0,23.0,35.0,27.0,,,,,,,,
game: 16,2,2,5,8,17,37.0,28.0,11.0,15.0,29.0,,,,,,,,
game: 17,5,2,6,6,20,27.0,14.0,11.0,,,,,,,,,,
game: 18,1,2,8,9,13,22.0,37.0,18.0,28.0,,,,,,,,,
game: 19,5,3,4,6,9,13.0,12.0,,,,,,,,,,,
game: 20,2,3,4,11,12,10.0,16.0,11.0,,,,,,,,,,
game: 21,2,3,6,7,11,18.0,21.0,,,,,,,,,,,
game: 22,1,4,12,11,13,14.0,38.0,25.0,91.0,,,,,,,,,
game: 23,8,6,2,5,9,10.0,16.0,,,,,,,,,,,
game: 24,1,3,5,12,12,16.0,9.0,13.0,8.0,16.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
game: 25,5,4,4,12,12,17.0,51.0,26.0,,,,,,,,,,
game: 26,2,2,5,4,7,10.0,12.0,18.0,,,,,,,,,,
game: 27,5,3,4,6,9,12.0,14.0,,,,,,,,,,,
game: 28,1,2,3,6,7,14.0,26.0,31.0,38.0,,,,,,,,,
game: 29,5,3,3,3,7,8.0,9.0,,,,,,,,,,,
game: 30,1,2,3,6,10,9.0,17.0,26.0,11.0,20.0,,,,,,,,
game: 31,2,4,5,15,18,18.0,40.0,,,,,,,,,,,
game: 32,1,4,4,12,23,20.0,20.0,26.0,,,,,,,,,,
game: 33,2,4,6,8,8,19.0,15.0,,,,,,,,,,,
game: 34,2,4,4,7,8,6.0,6.0,,,,,,,,,,,
game: 35,5,2,4,6,11,26.0,12.0,18.0,42.0,42.0,10.0,8.0,,,,,,
game: 36,2,5,9,6,6,5.0,9.0,11.0,27.0,10.0,16.0,5.0,5.0,5.0,5.0,5.0,,
game: 37,2,4,10,7,10,,,,,,,,,,,,,
game: 38,2,3,5,6,7,11.0,27.0,20.0,34.0,21.0,10.0,5.0,,,,,,
game: 39,2,3,4,5,8,14.0,42.0,,,,,,,,,,,
game: 40,1,3,6,8,13,22.0,14.0,34.0,27.0,27.0,10.0,,,,,,,
game: 41,5,3,3,6,7,11.0,10.0,31.0,14.0,40.0,9.0,27.0,,,,,,
game: 42,2,3,7,12,9,15.0,11.0,11.0,23.0,16.0,,,,,,,,
game: 43,5,3,3,4,8,,,,,,,,,,,,,
game: 44,2,4,8,6,7,10.0,14.0,26.0,27.0,10.0,10.0,10.0,8.0,8.0,10.0,16.0,5.0,
game: 45,2,3,3,3,8,18.0,16.0,48.0,25.0,63.0,42.0,21.0,10.0,5.0,5.0,5.0,,
game: 46,1,2,4,4,10,9.0,13.0,21.0,67.0,,,,,,,,,
game: 47,8,3,3,3,6,13.0,28.0,41.0,,,,,,,,,,
game: 48,1,3,2,7,12,11.0,13.0,21.0,75.0,27.0,,,,,,,,
game: 49,5,3,3,5,8,9.0,15.0,23.0,43.0,40.0,27.0,16.0,5.0,,,,,
game: 50,1,4,12,11,24,7.0,11.0,30.0,11.0,27.0,10.0,16.0,5.0,5.0,5.0,5.0,,
game: 51,2,3,4,6,8,11.0,21.0,23.0,20.0,40.0,27.0,8.0,16.0,5.0,,,,
game: 52,2,3,4,4,10,17.0,49.0,18.0,,,,,,,,,,
game: 53,5,3,3,5,9,17.0,20.0,,,,,,,,,,,
game: 54,1,2,4,8,20,35.0,11.0,27.0,8.0,9.0,17.0,,,,,,,
game: 55,8,4,4,13,22,15.0,10.0,5.0,5.0,5.0,5.0,5.0,,,,,,
game: 56,2,2,3,4,5,10.0,24.0,26.0,11.0,,,,,,,,,
game: 57,5,3,9,4,10,8.0,16.0,20.0,,,,,,,,,,
game: 58,2,3,9,6,12,23.0,12.0,20.0,,,,,,,,,,
game: 59,8,5,15,29,3,7.0,7.0,11.0,15.0,27.0,10.0,,,,,,,
game: 60,2,3,5,7,8,9.0,13.0,36.0,29.0,10.0,16.0,5.0,,,,,,
game: 61,2,3,3,5,6,12.0,26.0,43.0,11.0,34.0,27.0,,,,,,,
game: 62,1,3,4,7,13,7.0,11.0,30.0,11.0,17.0,16.0,5.0,,,,,,
game: 63,5,3,3,7,14,11.0,6.0,21.0,10.0,8.0,,,,,,,,
game: 64,2,4,5,7,7,15.0,29.0,18.0,21.0,8.0,10.0,8.0,8.0,,,,,
game: 65,2,3,6,7,18,12.0,35.0,16.0,18.0,,,,,,,,,
game: 66,3,4,3,4,7,10.0,14.0,13.0,29.0,,,,,,,,,
game: 67,5,3,4,8,11,21.0,,,,,,,,,,,,
game: 68,2,3,5,13,23,10.0,11.0,21.0,10.0,27.0,6.0,10.0,,,,,,
game: 69,2,3,6,8,8,,,,,,,,,,,,,
game: 70,1,3,4,4,11,28.0,15.0,23.0,55.0,68.0,35.0,5.0,,,,,,
game: 71,8,4,3,11,13,30.0,,,,,,,,,,,,
game: 72,1,4,5,6,17,16.0,42.0,23.0,,,,,,,,,,
game: 73,2,2,4,7,11,19.0,32.0,17.0,43.0,40.0,21.0,,,,,,,
game: 74,2,3,4,14,12,12.0,26.0,13.0,,,,,,,,,,
game: 75,5,6,3,3,5,12.0,9.0,21.0,,,,,,,,,,
game: 76,2,2,4,4,9,14.0,22.0,66.0,,,,,,,,,,
game: 77,2,2,6,6,8,28.0,29.0,14.0,30.0,,,,,,,,,
game: 78,1,2,6,14,14,20.0,14.0,20.0,38.0,30.0,17.0,10.0,8.0,16.0,5.0,5.0,5.0,
game: 79,5,3,9,7,8,14.0,13.0,,,,,,,,,,,
game: 80,1,4,7,13,26,17.0,35.0,,,,,,,,,,,
game: 81,2,4,6,16,11,15.0,14.0,14.0,,,,,,,,,,
game: 82,3,4,8,6,5,10.0,12.0,18.0,,,,,,,,,,
game: 83,5,3,5,12,7,10.0,,,,,,,,,,,,
game: 84,1,4,11,12,7,14.0,9.0,13.0,23.0,16.0,5.0,5.0,5.0,,,,,
game: 85,8,4,5,8,17,16.0,21.0,10.0,8.0,,,,,,,,,
game: 86,2,4,4,7,9,19.0,8.0,10.0,8.0,,,,,,,,,
game: 87,2,3,5,14,35,,,,,,,,,,,,,
game: 88,1,4,5,7,10,25.0,24.0,15.0,8.0,16.0,5.0,5.0,,,,,,
game: 89,5,4,5,11,21,8.0,12.0,18.0,30.0,18.0,,,,,,,,
game: 90,2,2,3,4,8,8.0,20.0,14.0,38.0,18.0,9.0,27.0,16.0,,,,,
game: 91,8,4,4,11,13,29.0,20.0,15.0,,,,,,,,,,
game: 92,1,5,9,8,12,7.0,11.0,13.0,23.0,10.0,,,,,,,,
game: 93,8,7,3,4,7,9.0,14.0,28.0,,,,,,,,,,
game: 94,2,2,5,4,7,8.0,10.0,26.0,38.0,13.0,27.0,,,,,,,
game: 95,2,4,5,5,14,12.0,,,,,,,,,,,,
game: 96,1,4,9,5,8,12.0,33.0,26.0,8.0,29.0,16.0,5.0,5.0,,,,,
game: 97,2,3,6,6,7,9.0,17.0,,,,,,,,,,,
game: 98,2,3,6,5,12,32.0,13.0,13.0,27.0,8.0,10.0,16.0,,,,,,
game: 99,8,5,5,4,7,8.0,16.0,,,,,,,,,,,
