,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,3,4,4,6,8,8,12.0,20.0,42.0,41.0,5.0,,,
game: 1,2,8,4,10,8,17,51.0,,,,,,,
game: 2,1,3,4,12,8,18,8.0,29.0,8.0,16.0,5.0,5.0,16.0,5.0
game: 3,5,7,16,12,8,17,12.0,32.0,11.0,27.0,16.0,5.0,5.0,
game: 4,2,3,7,8,12,8,12.0,18.0,13.0,17.0,16.0,5.0,5.0,
game: 5,5,11,4,5,7,8,18.0,21.0,8.0,10.0,10.0,10.0,5.0,
game: 6,2,2,7,15,11,35,12.0,14.0,20.0,,,,,
game: 7,5,3,4,4,7,8,,,,,,,,
game: 8,2,4,5,7,10,17,6.0,10.0,16.0,,,,,
game: 9,2,4,5,7,10,11,42.0,,,,,,,
