,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 0,100.0,25.0,20.0,16.666666666666668,16.666666666666668,16.666666666666668,20.0,25.0,23.75,24.5,33.333333333333336,33.333333333333336,32.333333333333336,28.0,31.666666666666668,33.333333333333336,32.0
game: 1,33.333333333333336,25.0,20.0,25.0,16.666666666666668,14.142857142857142,,,,,,,,,,,
game: 2,100.0,33.333333333333336,25.0,16.666666666666668,14.285714285714286,14.285714285714286,,,,,,,,,,,
game: 3,50.0,33.333333333333336,25.0,20.0,14.285714285714286,20.0,20.0,20.0,18.4,19.2,33.333333333333336,31.0,,,,,
game: 4,50.0,33.333333333333336,25.0,20.0,16.666666666666668,16.666666666666668,16.666666666666668,,,,,,,,,,
game: 5,50.0,25.0,25.0,20.0,12.5,12.5,16.166666666666668,,,,,,,,,,
game: 6,50.0,25.0,16.666666666666668,16.666666666666668,20.0,,,,,,,,,,,,
game: 7,33.333333333333336,25.0,20.0,20.0,16.666666666666668,,,,,,,,,,,,
game: 8,100.0,50.0,33.333333333333336,25.0,16.666666666666668,12.5,12.5,14.285714285714286,,,,,,,,,
game: 9,33.333333333333336,25.0,14.285714285714286,14.285714285714286,20.0,16.666666666666668,16.666666666666668,20.0,25.0,33.333333333333336,32.0,30.666666666666668,,,,,
