,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,1.0,0.25,0.14285714285714285,0.2,0.1111111111111111,0.125,0.05263157894736842,0.07142857142857142,,,,,,,,,,
game: 1,0.5,0.2,0.07142857142857142,0.06666666666666667,0.1111111111111111,0.14285714285714285,0.07692307692307693,0.0625,,,,,,,,,,
game: 2,0.5,0.25,0.2,0.1,0.125,0.09090909090909091,0.14285714285714285,0.125,0.16666666666666666,0.14285714285714285,,,,,,,,
game: 3,0.25,0.5,0.25,0.2,0.1,0.08333333333333333,0.04,0.125,,,,,,,,,,
game: 4,0.5,0.3333333333333333,0.3333333333333333,0.25,0.2,0.08333333333333333,0.125,0.1111111111111111,0.07142857142857142,0.1,0.125,0.25,0.25,0.25,,,,
game: 5,0.25,0.5,0.25,0.2,0.16666666666666666,0.125,0.06666666666666667,,,,,,,,,,,
game: 6,0.5,0.25,0.25,0.25,0.25,0.2,0.125,0.09090909090909091,0.1,0.06666666666666667,,,,,,,,
game: 7,0.25,0.5,0.25,0.16666666666666666,0.14285714285714285,0.1,,,,,,,,,,,,
game: 8,1.0,0.3333333333333333,0.2,0.2,0.1,0.07142857142857142,0.1111111111111111,,,,,,,,,,,
game: 9,0.16666666666666666,0.25,0.2,0.16666666666666666,0.08333333333333333,0.07692307692307693,0.06666666666666667,,,,,,,,,,,
game: 10,1.0,0.5,0.16666666666666666,0.16666666666666666,0.125,0.1111111111111111,0.08333333333333333,0.05,0.05,,,,,,,,,
game: 11,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.16666666666666666,0.14285714285714285,0.08333333333333333,0.09090909090909091,0.07142857142857142,0.125,0.25,,,,,,,
game: 12,0.5,0.25,0.25,0.2,0.16666666666666666,0.1,0.125,0.07142857142857142,,,,,,,,,,
game: 13,0.25,0.3333333333333333,0.25,0.125,0.16666666666666666,0.1,0.09090909090909091,,,,,,,,,,,
game: 14,1.0,0.3333333333333333,0.2,0.25,0.1,0.1,0.07692307692307693,0.0625,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,
game: 15,0.5,0.25,0.25,0.16666666666666666,0.14285714285714285,0.07142857142857142,0.07692307692307693,0.0625,0.041666666666666664,0.058823529411764705,,,,,,,,
game: 16,0.5,0.5,0.2,0.14285714285714285,0.07692307692307693,0.047619047619047616,0.0625,0.125,0.1,0.07692307692307693,,,,,,,,
game: 17,0.25,0.5,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.1,0.125,,,,,,,,,,
game: 18,1.0,0.5,0.14285714285714285,0.125,0.1,0.0625,0.05,0.08333333333333333,0.058823529411764705,,,,,,,,,
game: 19,0.25,0.3333333333333333,0.25,0.2,0.14285714285714285,0.09090909090909091,0.1111111111111111,,,,,,,,,,,
game: 20,0.5,0.3333333333333333,0.25,0.125,0.1111111111111111,0.125,0.09090909090909091,0.125,,,,,,,,,,
game: 21,0.5,0.3333333333333333,0.2,0.16666666666666666,0.1111111111111111,0.07692307692307693,0.07142857142857142,,,,,,,,,,,
game: 22,1.0,0.25,0.1,0.125,0.1,0.09090909090909091,0.043478260869565216,0.0625,0.034482758620689655,,,,,,,,,
game: 23,0.16666666666666666,0.16666666666666666,0.5,0.2,0.125,0.125,0.08333333333333333,,,,,,,,,,,
game: 24,1.0,0.3333333333333333,0.2,0.09090909090909091,0.1,0.08333333333333333,0.14285714285714285,0.1,0.16666666666666666,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
game: 25,0.25,0.25,0.25,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.04,0.07142857142857142,,,,,,,,,,
game: 26,0.5,0.5,0.25,0.25,0.16666666666666666,0.125,0.1111111111111111,0.08333333333333333,,,,,,,,,,
game: 27,0.25,0.3333333333333333,0.25,0.2,0.14285714285714285,0.1111111111111111,0.09090909090909091,,,,,,,,,,,
game: 28,1.0,0.5,0.3333333333333333,0.2,0.14285714285714285,0.09090909090909091,0.05,0.058823529411764705,0.0625,,,,,,,,,
game: 29,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.14285714285714285,,,,,,,,,,,
game: 30,1.0,0.5,0.3333333333333333,0.2,0.1111111111111111,0.125,0.08333333333333333,0.06666666666666667,0.125,0.07142857142857142,,,,,,,,
game: 31,0.5,0.25,0.2,0.08333333333333333,0.07142857142857142,0.07142857142857142,0.043478260869565216,,,,,,,,,,,
game: 32,1.0,0.25,0.25,0.1111111111111111,0.07142857142857142,0.06666666666666667,0.07142857142857142,0.058823529411764705,,,,,,,,,,
game: 33,0.5,0.25,0.2,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.09090909090909091,,,,,,,,,,,
game: 34,0.5,0.25,0.25,0.16666666666666666,0.14285714285714285,0.2,0.2,,,,,,,,,,,
game: 35,0.25,0.5,0.25,0.2,0.1111111111111111,0.058823529411764705,0.1111111111111111,0.07692307692307693,0.05263157894736842,0.05263157894736842,0.14285714285714285,0.16666666666666666,,,,,,
game: 36,0.5,0.2,0.125,0.2,0.2,0.2,0.14285714285714285,0.125,0.08333333333333333,0.14285714285714285,0.125,0.25,0.25,0.25,0.25,0.25,,
game: 37,0.5,0.25,0.125,0.16666666666666666,0.125,,,,,,,,,,,,,
game: 38,0.5,0.3333333333333333,0.2,0.2,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.07142857142857142,0.05263157894736842,0.09090909090909091,0.125,0.25,,,,,,
game: 39,0.5,0.3333333333333333,0.25,0.2,0.14285714285714285,0.09090909090909091,0.041666666666666664,,,,,,,,,,,
game: 40,1.0,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.1,0.0625,0.1,0.058823529411764705,0.07142857142857142,0.07142857142857142,0.14285714285714285,,,,,,,
game: 41,0.25,0.3333333333333333,0.3333333333333333,0.2,0.16666666666666666,0.1111111111111111,0.125,0.05555555555555555,0.1,0.058823529411764705,0.14285714285714285,0.08333333333333333,,,,,,
game: 42,0.5,0.3333333333333333,0.16666666666666666,0.1,0.14285714285714285,0.09090909090909091,0.125,0.125,0.07142857142857142,0.125,,,,,,,,
game: 43,0.25,0.3333333333333333,0.3333333333333333,0.25,0.14285714285714285,,,,,,,,,,,,,
game: 44,0.5,0.25,0.14285714285714285,0.2,0.16666666666666666,0.125,0.09090909090909091,0.05555555555555555,0.0625,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.1,0.25,
game: 45,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.07142857142857142,0.08333333333333333,0.04,0.058823529411764705,0.037037037037037035,0.05,0.09090909090909091,0.125,0.25,0.25,0.25,,
game: 46,1.0,0.5,0.25,0.25,0.125,0.125,0.1,0.07142857142857142,0.034482758620689655,,,,,,,,,
