,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,3,3,3,3,2,2,2.0,2.0,1.0,2.0,1.0,,,
game: 1,3,2,3,2,2,2,1.0,,,,,,,
game: 2,4,3,2,2,2,2,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0
game: 3,3,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,
game: 4,3,3,2,2,2,2,2.0,2.0,2.0,2.0,2.0,3.0,3.0,
game: 5,3,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,
game: 6,4,3,2,2,2,1,2.0,2.0,2.0,,,,,
game: 7,3,3,3,2,2,2,,,,,,,,
game: 8,3,3,2,2,2,2,2.0,2.0,2.0,,,,,
game: 9,3,2,2,2,2,2,1.0,,,,,,,
