,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 0,0,3,6,4,8,7.0,18.0,13.0,,,,,,,,,,
game: 1,1,4,13,14,8,6.0,12.0,15.0,,,,,,,,,,
game: 2,1,3,4,9,7,10.0,6.0,7.0,5.0,6.0,,,,,,,,
game: 3,3,1,3,4,9,11.0,24.0,7.0,,,,,,,,,,
game: 4,1,2,2,3,4,11.0,7.0,8.0,13.0,9.0,7.0,3.0,3.0,3.0,,,,
game: 5,3,1,3,4,5,7.0,14.0,,,,,,,,,,,
game: 6,1,3,3,3,3,4.0,7.0,10.0,9.0,14.0,,,,,,,,
game: 7,3,1,3,5,6,9.0,,,,,,,,,,,,
game: 8,0,2,4,4,9,13.0,8.0,,,,,,,,,,,
game: 9,5,3,4,5,11,12.0,14.0,,,,,,,,,,,
game: 10,0,1,5,5,7,8.0,11.0,19.0,19.0,,,,,,,,,
game: 11,5,5,2,4,5,6.0,11.0,10.0,13.0,7.0,3.0,,,,,,,
game: 12,1,3,3,4,5,9.0,7.0,13.0,,,,,,,,,,
game: 13,3,2,3,7,5,9.0,10.0,,,,,,,,,,,
game: 14,0,2,4,3,9,9.0,12.0,15.0,12.0,12.0,12.0,,,,,,,
game: 15,1,3,3,5,6,13.0,12.0,15.0,23.0,16.0,,,,,,,,
game: 16,1,1,4,6,12,20.0,15.0,7.0,9.0,12.0,,,,,,,,
game: 17,3,1,5,5,14,14.0,9.0,7.0,,,,,,,,,,
game: 18,0,1,6,7,9,15.0,19.0,11.0,16.0,,,,,,,,,
game: 19,3,2,3,4,6,10.0,8.0,,,,,,,,,,,
game: 20,1,2,3,7,8,7.0,10.0,7.0,,,,,,,,,,
game: 21,1,2,4,5,8,12.0,13.0,,,,,,,,,,,
game: 22,0,3,9,7,9,10.0,22.0,15.0,28.0,,,,,,,,,
game: 23,5,5,1,4,7,7.0,11.0,,,,,,,,,,,
game: 24,0,2,4,10,9,11.0,6.0,9.0,5.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
game: 25,3,3,3,8,8,11.0,24.0,13.0,,,,,,,,,,
game: 26,1,1,3,3,5,7.0,8.0,11.0,,,,,,,,,,
game: 27,3,2,3,4,6,8.0,10.0,,,,,,,,,,,
game: 28,0,1,2,4,6,10.0,19.0,16.0,15.0,,,,,,,,,
game: 29,3,2,2,2,5,6.0,6.0,,,,,,,,,,,
game: 30,0,1,2,4,8,7.0,11.0,14.0,7.0,13.0,,,,,,,,
game: 31,1,3,4,11,13,13.0,22.0,,,,,,,,,,,
game: 32,0,3,3,8,13,14.0,13.0,16.0,,,,,,,,,,
game: 33,1,3,4,6,6,13.0,10.0,,,,,,,,,,,
game: 34,1,3,3,5,6,4.0,4.0,,,,,,,,,,,
game: 35,3,1,3,4,8,16.0,8.0,12.0,18.0,18.0,6.0,5.0,,,,,,
game: 36,1,4,7,4,4,4.0,6.0,7.0,11.0,6.0,7.0,3.0,3.0,3.0,3.0,3.0,,
game: 37,1,3,7,5,7,,,,,,,,,,,,,
game: 38,1,2,4,4,5,8.0,17.0,13.0,18.0,10.0,7.0,3.0,,,,,,
game: 39,1,2,3,4,6,10.0,23.0,,,,,,,,,,,
game: 40,0,2,5,6,9,15.0,9.0,16.0,13.0,13.0,6.0,,,,,,,
game: 41,3,2,2,4,5,8.0,7.0,17.0,9.0,16.0,6.0,11.0,,,,,,
game: 42,1,2,5,9,6,10.0,7.0,7.0,13.0,7.0,,,,,,,,
game: 43,3,2,2,3,6,,,,,,,,,,,,,
game: 44,1,3,6,4,5,7.0,10.0,17.0,15.0,6.0,6.0,6.0,5.0,5.0,6.0,9.0,3.0,
game: 45,1,2,2,2,6,13.0,11.0,24.0,16.0,26.0,19.0,10.0,7.0,3.0,3.0,3.0,,
game: 46,0,1,3,3,7,7.0,9.0,13.0,28.0,,,,,,,,,
game: 47,5,2,2,2,5,9.0,18.0,19.0,,,,,,,,,,
game: 48,0,2,1,5,9,8.0,9.0,14.0,38.0,11.0,,,,,,,,
game: 49,3,2,2,3,6,7.0,10.0,14.0,18.0,16.0,11.0,7.0,3.0,,,,,
game: 50,0,3,9,7,13,5.0,7.0,16.0,7.0,11.0,6.0,7.0,3.0,3.0,3.0,3.0,,
game: 51,1,2,3,5,6,8.0,14.0,15.0,12.0,16.0,11.0,5.0,7.0,3.0,,,,
game: 52,1,2,3,3,7,12.0,23.0,12.0,,,,,,,,,,
game: 53,3,2,2,4,7,12.0,13.0,,,,,,,,,,,
game: 54,0,1,3,6,16,21.0,7.0,11.0,5.0,6.0,8.0,,,,,,,
game: 55,5,3,3,9,12,10.0,6.0,3.0,3.0,3.0,3.0,3.0,,,,,,
game: 56,1,1,2,3,4,7.0,15.0,16.0,7.0,,,,,,,,,
game: 57,3,2,7,3,7,6.0,10.0,12.0,,,,,,,,,,
game: 58,1,2,7,4,9,14.0,8.0,12.0,,,,,,,,,,
game: 59,5,4,12,21,2,5.0,5.0,7.0,9.0,15.0,6.0,,,,,,,
game: 60,1,2,3,5,6,6.0,9.0,21.0,14.0,7.0,7.0,3.0,,,,,,
game: 61,1,2,2,3,5,9.0,19.0,19.0,7.0,16.0,13.0,,,,,,,
game: 62,0,2,3,5,10,5.0,7.0,17.0,7.0,13.0,7.0,3.0,,,,,,
game: 63,3,2,2,5,10,7.0,4.0,10.0,6.0,5.0,,,,,,,,
game: 64,1,3,4,5,5,10.0,15.0,11.0,13.0,5.0,6.0,5.0,5.0,,,,,
game: 65,1,2,5,6,13,8.0,19.0,10.0,12.0,,,,,,,,,
game: 66,2,3,2,3,5,7.0,10.0,8.0,12.0,,,,,,,,,
game: 67,3,2,3,6,8,15.0,,,,,,,,,,,,
game: 68,1,2,4,9,13,7.0,7.0,10.0,6.0,11.0,4.0,6.0,,,,,,
game: 69,1,2,4,5,6,,,,,,,,,,,,,
game: 70,0,2,3,3,8,17.0,10.0,14.0,22.0,26.0,13.0,3.0,,,,,,
game: 71,5,3,2,8,9,17.0,,,,,,,,,,,,
game: 72,0,3,4,5,13,10.0,17.0,11.0,,,,,,,,,,
game: 73,1,1,3,5,8,14.0,18.0,11.0,18.0,16.0,10.0,,,,,,,
game: 74,1,2,3,9,8,8.0,14.0,8.0,,,,,,,,,,
game: 75,3,5,2,2,4,8.0,6.0,11.0,,,,,,,,,,
game: 76,1,1,3,3,7,10.0,15.0,37.0,,,,,,,,,,
game: 77,1,1,4,4,6,18.0,18.0,9.0,17.0,,,,,,,,,
game: 78,0,1,5,11,10,13.0,9.0,12.0,15.0,13.0,10.0,6.0,5.0,9.0,3.0,3.0,3.0,
game: 79,3,2,7,5,6,10.0,9.0,,,,,,,,,,,
game: 80,0,3,6,9,17,11.0,16.0,,,,,,,,,,,
game: 81,1,3,5,12,8,10.0,9.0,9.0,,,,,,,,,,
game: 82,2,3,5,4,4,7.0,8.0,12.0,,,,,,,,,,
game: 83,3,2,4,9,5,7.0,,,,,,,,,,,,
game: 84,0,3,8,9,5,9.0,6.0,9.0,13.0,9.0,3.0,3.0,3.0,,,,,
game: 85,5,3,4,6,12,10.0,10.0,6.0,5.0,,,,,,,,,
game: 86,1,3,3,5,6,11.0,5.0,6.0,5.0,,,,,,,,,
game: 87,1,2,4,10,21,,,,,,,,,,,,,
game: 88,0,3,4,5,7,14.0,14.0,9.0,5.0,7.0,3.0,3.0,,,,,,
game: 89,3,3,4,7,11,6.0,8.0,12.0,16.0,12.0,,,,,,,,
game: 90,1,1,2,3,6,6.0,12.0,9.0,19.0,11.0,6.0,11.0,7.0,,,,,
game: 91,5,3,3,7,9,16.0,14.0,9.0,,,,,,,,,,
game: 92,0,4,7,6,9,5.0,7.0,8.0,11.0,7.0,,,,,,,,
game: 93,5,6,2,3,5,6.0,9.0,17.0,,,,,,,,,,
game: 94,1,1,4,3,5,6.0,7.0,14.0,17.0,8.0,11.0,,,,,,,
game: 95,1,3,4,4,10,8.0,,,,,,,,,,,,
game: 96,0,3,7,4,6,8.0,18.0,15.0,5.0,12.0,7.0,3.0,3.0,,,,,
game: 97,1,2,4,4,5,7.0,11.0,,,,,,,,,,,
game: 98,1,2,5,4,8,16.0,8.0,8.0,11.0,5.0,6.0,9.0,,,,,,
game: 99,5,4,4,3,5,6.0,11.0,,,,,,,,,,,
