,game 0,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,game 11,game 12,game 13,game 14,game 15,game 16,game 17,game 18,game 19,game 20,game 21,game 22,game 23,game 24,game 25,game 26,game 27,game 28,game 29,game 30,game 31,game 32,game 33,game 34,game 35,game 36,game 37,game 38,game 39,game 40,game 41,game 42,game 43,game 44,game 45,game 46,game 47,game 48,game 49,game 50,game 51,game 52,game 53,game 54,game 55,game 56,game 57,game 58,game 59,game 60,game 61,game 62,game 63,game 64,game 65,game 66,game 67,game 68,game 69,game 70,game 71,game 72,game 73,game 74,game 75,game 76,game 77,game 78,game 79,game 80,game 81,game 82,game 83,game 84,game 85,game 86,game 87,game 88,game 89,game 90,game 91,game 92,game 93,game 94,game 95,game 96,game 97,game 98,game 99
itr: 1,26,30,22,15,16,17,25,15,23,18,22,23,18,19,29,21,32,22,18,15,22,17,16,22,31,14,21,14,25,13,26,22,22,20,24,13,22,18,31,26,27,13,25,13,32,21,27,19,25,13,25,27,18,13,24,15,22,17,27,17,22,27,27,25,27,11,20,22,14,34,31,15,21,17,20,17,15,26,16,12,17,17,27,22,25,19,19,26,23,15,23,14,35,18,12,19,17,24,29,17
itr: 10,21,29,27,24,18,25,21,23,26,30,16,15,18,15,17,30,27,21,24,16,26,20,25,17,25,31,23,15,26,14,31,15,29,24,33,28,28,14,24,28,27,36,27,19,20,15,25,26,18,28,17,24,18,17,15,27,23,14,23,21,29,15,20,17,30,15,25,27,28,27,21,13,18,19,26,17,28,13,29,17,22,15,18,28,28,15,24,19,26,19,24,17,27,22,22,24,30,11,28,13
itr: 25,24,30,25,19,18,15,25,19,21,26,30,26,32,27,15,21,31,26,29,23,26,27,27,14,28,13,21,15,23,15,34,23,20,25,22,15,22,32,31,25,18,23,31,16,21,24,16,18,29,28,15,27,32,31,26,21,19,23,24,21,34,20,15,21,29,28,26,25,31,17,25,15,27,14,23,24,27,15,24,17,33,23,39,14,31,30,27,13,17,30,30,21,19,19,12,31,19,27,26,38
itr: 50,28,22,31,26,25,26,22,27,26,21,36,28,28,26,15,19,25,26,26,20,23,26,24,31,29,19,28,20,19,27,19,24,26,21,25,15,28,20,31,32,28,26,31,30,22,31,22,27,27,14,25,17,25,23,28,24,24,26,15,20,39,30,21,26,24,13,20,33,34,34,34,16,30,24,35,26,23,15,21,32,31,28,22,32,29,26,20,31,30,13,25,28,25,13,27,28,26,29,23,19
itr: 100,38,19,19,23,19,40,25,28,22,30,31,19,33,21,15,16,23,23,22,19,29,32,33,17,23,30,33,25,19,23,26,26,23,27,23,31,30,27,21,27,32,26,22,29,29,18,31,26,15,24,32,24,21,26,15,32,27,17,19,33,23,28,33,27,35,17,26,40,33,25,22,24,18,21,17,19,15,28,21,29,27,17,29,19,28,26,25,17,27,28,27,20,29,25,25,28,31,36,21,21
itr: 200,28,21,17,39,24,18,23,18,25,28,21,16,27,29,27,26,27,20,29,28,17,28,20,11,20,24,29,26,23,30,33,30,15,21,29,18,21,31,21,21,27,27,26,25,21,15,25,26,25,32,29,23,15,24,24,34,35,27,26,32,27,22,26,24,17,14,13,22,25,28,17,26,17,24,16,32,23,17,20,16,21,30,31,30,19,26,29,26,19,32,29,24,25,21,29,18,15,26,20,34
itr: 300,19,26,25,24,19,26,23,17,29,24,31,24,23,18,31,34,25,24,32,25,30,28,19,30,32,24,32,24,13,20,21,16,26,25,21,17,23,26,14,31,25,30,22,28,27,30,17,33,37,28,17,25,23,35,31,25,18,13,24,22,28,23,27,26,15,32,27,23,19,28,29,26,13,22,27,22,13,32,19,25,21,28,27,28,25,25,21,21,13,26,26,23,21,28,21,16,15,27,19,26
itr: 400,25,23,29,36,17,21,13,27,15,30,27,30,37,27,23,18,17,30,21,25,27,19,31,28,27,24,15,25,31,19,26,19,21,20,17,18,17,24,19,30,17,18,17,26,17,29,39,26,13,38,28,29,29,33,17,30,27,25,13,15,17,29,24,32,29,25,23,34,17,18,28,30,25,31,29,22,25,28,24,28,31,32,17,19,25,20,17,30,13,28,17,23,23,19,13,32,27,37,25,26
itr: 500,27,24,24,16,20,30,31,20,15,26,25,24,17,32,13,26,24,28,15,24,16,24,33,17,22,26,15,28,15,26,17,24,13,17,13,27,20,28,23,30,24,14,25,32,25,43,29,25,20,27,15,26,26,27,36,26,25,30,21,19,21,26,25,18,29,26,24,24,25,32,29,24,15,21,15,15,21,15,23,26,13,27,19,30,19,25,19,18,26,27,21,22,22,26,19,24,19,25,19,25
itr: 800,24,30,21,16,32,26,23,24,17,22,23,24,17,24,24,26,17,20,32,28,17,24,15,31,23,26,21,34,30,15,13,26,29,30,13,26,19,18,15,14,23,26,21,25,15,26,17,21,15,25,17,14,17,20,24,31,22,14,17,30,17,30,17,25,23,27,22,18,21,18,15,24,19,18,17,22,15,20,15,32,25,18,29,18,19,24,19,32,19,18,21,26,19,20,29,30,38,30,27,24
itr: 1000,13,22,19,14,29,22,17,20,15,28,30,26,29,26,29,30,15,26,17,22,21,28,17,26,21,38,23,29,17,31,23,27,23,26,28,22,21,26,15,34,29,18,22,29,21,20,25,23,19,24,24,16,19,21,22,18,29,22,19,33,28,23,29,26,23,23,17,28,21,24,24,32,17,18,15,20,15,31,35,16,25,22,25,19,13,24,15,18,21,24,15,26,31,21,15,21,15,16,29,14
