,game 0,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,game 11,game 12,game 13,game 14,game 15,game 16,game 17,game 18,game 19,game 20,game 21,game 22,game 23,game 24,game 25,game 26,game 27,game 28,game 29,game 30,game 31,game 32,game 33,game 34,game 35,game 36,game 37,game 38,game 39,game 40,game 41,game 42,game 43,game 44,game 45,game 46,game 47,game 48,game 49,game 50,game 51,game 52,game 53,game 54,game 55,game 56,game 57,game 58,game 59,game 60,game 61,game 62,game 63,game 64,game 65,game 66,game 67,game 68,game 69,game 70,game 71,game 72,game 73,game 74,game 75,game 76,game 77,game 78,game 79,game 80,game 81,game 82,game 83,game 84,game 85,game 86,game 87,game 88,game 89,game 90,game 91,game 92,game 93,game 94,game 95,game 96,game 97,game 98,game 99
itr: 1,12,11,19,13,12,21,20,13,22,27,18,13,16,15,16,11,12,11,16,13,18,13,24,11,16,17,12,11,16,11,18,17,18,15,17,15,20,13,17,17,16,13,19,15,14,15,16,17,14,13,17,15,18,17,12,13,18,21,16,11,21,9,17,19,25,22,13,15,15,15,14,15,18,17,16,15,14,15,22,16,17,15,20,17,18,17,16,15,16,13,20,15,17,11,18,15,15,15,22,13
itr: 10,16,15,14,14,14,15,21,13,18,13,19,21,21,13,19,11,15,22,15,22,26,22,13,21,18,20,18,15,23,23,18,23,17,18,21,11,18,9,13,15,23,13,17,18,15,13,20,20,19,20,19,13,21,21,17,25,20,19,19,20,17,15,16,24,20,16,20,17,14,11,18,17,16,17,20,11,25,14,21,16,25,13,10,12,16,15,25,22,19,16,22,13,20,20,22,11,23,26,19,20
itr: 25,15,23,26,17,15,11,20,13,19,17,16,22,27,18,17,13,20,22,23,17,16,22,14,15,18,15,22,13,19,16,20,13,13,24,25,15,21,22,23,15,19,17,21,15,19,18,25,15,19,18,16,11,19,13,17,17,25,21,24,19,23,16,17,22,16,22,23,22,20,21,19,14,21,20,23,22,18,21,27,19,22,21,12,18,19,23,19,13,21,19,16,19,20,22,16,16,20,15,21,20
itr: 50,25,22,15,15,22,16,17,26,21,17,23,11,11,15,15,13,24,26,19,22,19,19,16,19,27,11,21,20,21,15,21,11,20,13,22,19,21,15,20,19,13,20,19,15,19,11,23,18,24,19,19,18,23,24,21,21,19,22,23,22,24,20,17,24,18,19,25,23,19,22,18,20,15,20,15,14,19,24,13,25,14,21,21,11,19,18,21,23,23,13,23,16,25,21,13,19,17,15,23,15
itr: 100,17,25,18,18,13,24,15,20,24,15,24,15,14,20,19,16,26,25,20,21,22,23,23,16,21,23,21,23,15,15,20,13,25,16,19,20,23,21,19,20,20,17,21,17,20,16,17,22,15,19,15,22,15,18,21,19,19,19,17,19,19,17,16,11,15,18,15,22,25,22,21,19,22,18,23,15,22,23,23,18,15,17,18,21,19,17,23,11,13,24,25,19,19,20,22,20,18,25,20,14
itr: 200,11,22,18,22,23,19,19,24,13,22,16,20,9,20,15,16,22,13,17,27,16,16,13,18,11,25,30,19,24,20,25,20,19,18,23,20,19,15,22,21,21,18,22,28,13,20,23,19,20,22,27,15,21,22,13,22,21,20,21,21,21,18,11,15,13,15,15,13,13,24,23,22,19,21,24,15,24,18,19,16,19,15,19,11,18,18,23,17,11,18,21,26,23,16,23,15,17,22,17,17
itr: 300,23,22,21,14,11,17,22,19,13,21,20,22,19,22,13,22,19,21,15,20,24,11,22,19,13,18,27,11,14,22,21,20,23,25,20,20,19,11,13,20,24,24,20,20,21,22,13,13,18,22,13,13,17,18,20,13,17,22,17,24,22,22,19,20,13,11,15,18,19,16,20,19,23,21,19,22,14,20,17,22,15,20,17,17,17,13,16,18,13,15,13,22,17,20,17,10,19,21,22,20
itr: 400,19,20,24,17,19,22,11,20,13,17,23,21,19,24,21,23,19,17,17,18,17,26,17,22,11,16,15,17,25,14,18,23,15,22,25,15,15,20,17,20,28,28,21,17,27,13,19,18,18,14,11,18,20,19,19,15,21,19,15,23,23,26,17,24,27,20,26,15,17,17,23,22,16,26,15,11,17,17,22,16,21,13,13,19,21,20,19,26,19,22,20,17,25,13,15,19,19,23,16,13
itr: 500,22,20,21,27,17,22,17,24,22,17,15,17,17,18,23,20,17,19,25,16,21,21,16,13,19,18,17,21,15,22,12,18,24,16,17,25,15,24,15,22,21,15,21,24,19,18,17,16,17,16,21,22,24,15,13,24,13,15,19,18,15,20,15,20,14,18,17,24,23,13,18,20,13,12,19,15,15,20,23,22,22,17,21,18,21,18,24,15,17,22,21,13,18,22,13,15,21,21,24,24
itr: 800,13,21,21,23,19,23,18,20,15,20,20,20,19,22,23,18,19,24,15,23,23,18,17,20,17,17,19,20,17,18,19,24,19,22,23,18,19,18,23,16,13,22,17,24,13,17,22,20,19,19,19,20,19,17,17,18,15,18,9,24,22,14,17,22,15,20,19,21,19,16,25,13,23,20,11,16,21,22,16,21,15,16,15,22,17,16,17,18,15,16,19,20,15,17,18,22,13,18,21,24
itr: 1000,17,18,15,16,19,22,23,19,17,24,11,20,15,13,17,18,21,20,17,28,21,18,25,21,21,22,13,17,15,24,21,15,17,19,17,20,16,18,11,16,19,22,17,20,9,24,17,18,21,19,25,22,21,19,15,20,17,24,21,20,22,20,23,24,19,23,21,22,11,20,21,24,21,20,19,23,20,18,19,20,14,20,15,15,17,17,13,24,15,11,17,18,15,23,21,26,19,13,18,18
