,game 0,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,game 11,game 12,game 13,game 14,game 15,game 16,game 17,game 18,game 19,game 20,game 21,game 22,game 23,game 24,game 25,game 26,game 27,game 28,game 29,game 30,game 31,game 32,game 33,game 34,game 35,game 36,game 37,game 38,game 39,game 40,game 41,game 42,game 43,game 44,game 45,game 46,game 47,game 48,game 49,game 50,game 51,game 52,game 53,game 54,game 55,game 56,game 57,game 58,game 59,game 60,game 61,game 62,game 63,game 64,game 65,game 66,game 67,game 68,game 69,game 70,game 71,game 72,game 73,game 74,game 75,game 76,game 77,game 78,game 79,game 80,game 81,game 82,game 83,game 84,game 85,game 86,game 87,game 88,game 89,game 90,game 91,game 92,game 93,game 94,game 95,game 96,game 97,game 98,game 99
itr: 1,33,13,20,15,47,42,24,26,53,17,19,30,16,36,29,17,25,25,26,19,51,26,37,36,33,13,25,25,37,15,30,15,32,30,14,16,29,29,33,22,22,38,23,13,16,34,20,46,25,27,14,49,49,17,29,33,18,17,47,29,36,44,51,21,23,15,18,22,31,44,23,49,30,30,16,21,32,15,28,26,14,20,23,17,22,19,38,21,33,46,26,15,42,36,26,15,39,26,49,19
itr: 10,41,30,21,23,48,27,60,26,25,36,29,21,14,37,31,16,23,20,15,52,16,30,20,34,18,17,41,30,41,28,25,39,33,50,20,24,47,36,16,26,54,35,23,23,40,44,35,26,27,19,24,28,35,40,27,32,45,36,17,24,23,34,31,21,16,32,27,32,29,24,24,24,27,40,38,34,23,49,33,19,21,36,22,24,23,19,30,19,39,15,16,40,31,30,29,26,35,34,27,21
itr: 25,31,26,41,28,25,26,17,26,35,35,35,26,35,42,25,15,19,39,25,28,31,30,54,34,25,34,33,15,33,20,35,21,37,28,35,20,25,19,21,26,16,20,29,26,21,28,31,34,25,30,62,46,27,55,20,20,20,26,50,51,27,20,45,20,28,38,43,26,29,23,16,25,19,38,37,40,35,34,29,22,31,24,32,55,45,26,31,30,27,24,21,47,27,26,34,32,17,39,27,42
itr: 50,37,34,27,23,47,50,37,30,23,26,25,28,29,28,29,61,12,26,31,17,23,22,19,15,25,25,29,30,35,38,35,34,19,34,39,20,41,30,45,34,27,34,25,30,31,26,25,18,23,13,29,24,39,36,35,26,19,34,39,20,13,32,25,24,54,26,18,21,25,38,31,38,31,22,47,34,31,28,51,30,31,32,51,44,31,50,33,50,50,24,33,17,33,30,13,30,29,32,24,32
itr: 100,62,26,13,50,24,36,31,40,23,24,56,56,20,16,27,38,45,20,41,25,24,28,29,18,51,36,49,24,27,24,49,28,22,45,32,24,31,36,20,18,27,24,24,33,50,30,20,38,24,24,23,22,31,30,27,28,32,34,27,22,31,32,31,32,48,22,29,23,32,32,23,31,26,24,43,32,19,19,39,30,25,26,58,34,37,26,31,24,31,20,39,16,25,22,27,44,23,22,23,30
itr: 200,23,38,33,24,26,38,31,21,23,30,25,30,23,32,41,32,31,22,15,28,29,18,23,20,27,26,19,35,33,26,21,42,25,31,24,13,25,30,22,30,23,28,16,18,27,32,23,26,31,29,27,24,27,34,15,32,36,30,41,26,25,26,39,32,34,32,21,23,29,30,29,24,32,32,23,33,31,25,37,26,27,20,25,24,27,23,27,20,33,24,16,28,13,28,29,28,21,30,25,28
itr: 300,35,26,16,28,27,34,25,30,37,22,30,22,56,32,31,28,33,24,21,28,29,26,23,24,21,28,27,32,21,21,25,26,35,36,29,26,28,20,31,34,33,20,35,19,25,38,27,29,23,24,25,15,27,32,35,30,23,22,27,40,33,26,19,22,22,27,29,32,43,32,23,24,19,23,20,36,25,26,25,32,37,26,21,22,29,22,28,25,21,18,33,24,19,22,35,32,22,18,23,22
itr: 400,19,34,19,14,23,46,28,22,31,38,23,20,29,24,51,28,25,22,19,24,35,32,29,28,23,44,41,26,35,36,27,32,25,28,23,34,18,34,15,30,19,26,30,38,34,28,45,26,21,20,25,18,25,24,23,22,28,28,28,24,23,32,21,28,42,22,27,34,43,48,55,38,25,28,34,24,27,36,29,30,15,22,19,27,23,22,24,32,17,26,31,40,16,22,27,23,25,24,15,26
itr: 500,19,24,35,32,33,28,25,30,23,26,22,38,35,48,35,26,25,52,37,26,33,22,31,24,23,20,27,26,31,26,19,33,23,22,20,42,24,22,17,26,19,34,19,30,21,22,31,28,17,24,21,28,20,30,19,27,25,24,29,28,29,24,31,26,29,28,35,23,31,26,23,42,18,22,27,34,27,24,25,32,24,19,17,24,33,17,33,32,51,18,19,26,25,22,21,18,31,32,31,19
itr: 800,17,28,39,30,19,32,19,26,21,32,35,20,19,21,27,16,27,24,25,34,21,26,25,30,23,32,19,30,17,30,20,17,26,22,24,34,31,24,19,28,17,38,33,16,23,24,35,36,29,22,26,34,26,24,27,24,33,25,33,24,30,30,25,22,43,34,19,24,29,22,19,28,27,20,47,22,25,22,33,17,21,26,35,28,35,32,17,26,33,30,31,22,25,22,21,26,29,32,33,24
