,game 0,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,game 11,game 12,game 13,game 14,game 15,game 16,game 17,game 18,game 19,game 20,game 21,game 22,game 23,game 24,game 25,game 26,game 27,game 28,game 29,game 30,game 31,game 32,game 33,game 34,game 35,game 36,game 37,game 38,game 39,game 40,game 41,game 42,game 43,game 44,game 45,game 46,game 47,game 48,game 49,game 50,game 51,game 52,game 53,game 54,game 55,game 56,game 57,game 58,game 59,game 60,game 61,game 62,game 63,game 64,game 65,game 66,game 67,game 68,game 69,game 70,game 71,game 72,game 73,game 74,game 75,game 76,game 77,game 78,game 79,game 80,game 81,game 82,game 83,game 84,game 85,game 86,game 87,game 88,game 89,game 90,game 91,game 92,game 93,game 94,game 95,game 96,game 97,game 98,game 99
itr: 1,14,28,18,15,16,17,17,11,19,17,13,19,16,15,19,23,29,13,16,11,16,13,16,15,12,17,16,15,18,34,21,13,18,28,16,16,18,13,18,17,25,17,18,12,18,15,20,15,18,17,18,15,14,11,20,15,16,17,13,13,13,15,18,15,18,15,17,17,17,21,16,24,32,13,16,18,18,20,28,17,13,24,21,18,14,16,16,15,17,13,18,13,23,12,18,15,12,17,29,17
itr: 10,22,24,38,23,20,15,35,16,18,26,23,18,16,20,23,19,20,13,16,14,14,11,16,22,16,14,27,15,17,23,26,16,14,17,23,15,16,16,20,15,20,15,16,11,21,15,17,15,19,11,19,19,18,15,22,19,32,15,19,12,20,15,21,13,18,13,19,19,23,17,14,26,19,17,19,24,15,11,23,22,21,25,19,17,15,19,16,17,18,26,20,17,29,15,31,13,28,11,17,15
itr: 25,11,22,19,12,15,15,41,33,18,13,20,13,25,15,18,14,17,22,16,20,11,13,24,22,18,19,27,11,17,17,18,15,17,13,17,18,15,17,13,15,25,14,14,17,17,22,29,11,17,11,10,11,20,22,15,15,13,25,16,13,25,21,18,13,16,11,14,17,26,21,15,15,22,19,21,20,22,13,20,14,14,18,22,15,11,11,21,15,15,15,23,19,17,13,18,23,17,15,24,12
itr: 50,14,24,20,16,17,11,23,11,27,20,21,20,20,20,20,20,19,19,15,21,13,22,26,30,11,13,19,21,15,11,13,12,17,11,17,12,16,20,16,34,23,12,24,15,21,18,27,14,21,12,16,24,19,19,15,16,15,17,23,24,13,21,18,15,23,19,17,18,14,24,14,25,21,15,16,14,16,14,19,22,17,18,13,24,17,13,16,13,22,37,11,26,19,15,26,16,21,17,24,13
itr: 100,13,11,21,13,19,13,13,17,14,15,18,15,18,13,17,22,18,15,15,18,16,11,16,19,27,15,17,11,29,11,23,15,17,17,13,13,9,17,22,16,18,13,16,22,24,16,27,26,20,24,13,17,23,22,19,22,18,18,15,25,25,26,19,13,19,19,15,18,21,12,16,11,15,17,23,12,15,42,15,13,16,26,18,11,20,25,16,18,24,15,22,13,17,15,18,19,14,14,20,18
itr: 200,25,14,15,17,11,20,15,17,19,15,12,14,14,21,15,15,21,22,19,21,20,15,13,15,17,26,19,17,13,17,18,21,25,22,16,19,16,16,17,13,15,11,18,22,17,13,20,19,23,16,21,16,12,13,14,14,11,15,15,15,17,12,17,15,17,15,15,16,20,21,21,21,17,15,24,15,14,19,18,20,17,17,18,15,22,19,18,14,14,20,19,16,15,16,15,20,14,14,19,15
itr: 300,17,18,17,19,27,14,30,12,15,28,15,18,23,12,15,13,23,25,12,21,15,16,17,15,17,21,19,22,16,17,19,29,25,18,24,14,14,18,16,19,29,15,31,20,11,16,12,22,15,11,21,13,20,17,13,15,13,26,11,16,15,26,20,24,18,15,15,15,11,13,13,26,13,17,13,23,17,21,16,16,15,13,15,16,15,24,13,15,27,20,13,16,20,16,15,16,24,17,20,20
itr: 400,22,15,17,20,14,19,17,22,21,24,19,21,13,17,20,12,20,14,19,14,13,17,13,26,23,20,11,17,23,18,22,13,21,18,17,15,17,14,17,15,15,19,20,18,24,11,17,15,15,14,17,22,21,13,13,24,15,21,13,17,13,19,15,13,13,18,27,28,15,15,21,15,13,17,15,13,15,14,17,22,23,14,15,30,18,16,20,17,18,21,11,21,15,18,13,13,15,17,15,16
itr: 500,15,13,18,18,14,21,17,14,15,18,27,16,15,22,17,21,19,17,20,22,21,15,18,19,16,18,20,17,13,14,15,15,12,17,13,19,11,17,27,16,17,21,21,15,21,16,17,15,17,17,17,9,18,16,16,19,13,15,13,13,17,12,16,14,13,19,17,14,12,15,14,28,20,25,16,16,13,20,17,16,19,13,11,28,13,12,17,13,22,15,19,14,17,13,13,19,17,14,19,12
itr: 800,11,16,16,24,16,17,15,12,13,18,13,20,15,17,13,13,29,26,19,15,15,16,14,18,17,20,13,18,17,18,29,25,23,22,13,16,12,18,27,13,17,34,13,14,17,16,14,17,15,16,24,12,17,11,23,19,19,14,17,13,17,16,13,18,21,24,11,24,16,14,17,17,23,19,15,13,22,24,15,14,15,21,19,11,15,15,16,24,21,17,16,16,13,16,21,21,29,13,18,12
itr: 1000,13,15,17,14,16,13,19,13,15,22,16,21,15,15,26,19,13,13,15,19,13,22,33,12,13,15,15,13,15,16,15,18,29,24,15,14,20,26,20,25,15,20,15,28,23,16,13,20,13,22,18,11,27,13,19,18,16,19,15,17,13,17,13,12,13,34,10,15,15,24,11,19,29,30,21,14,13,21,14,14,17,20,13,14,17,17,12,22,13,19,13,16,13,16,21,17,23,22,17,14
