,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18
game: 0,2,3,4,8,5,7,9,16.0,8.0,61.0,8.0,8.0,,,,,,,
game: 1,5,3,8,12,39,10,26,45.0,98.0,56.0,135.0,21.0,65.0,16.0,16.0,,,,
game: 2,1,8,2,4,7,13,30,29.0,20.0,272.0,44.0,,,,,,,,
game: 3,2,3,14,28,18,24,86,16.0,,,,,,,,,,,
game: 4,2,3,5,7,21,45,21,21.0,29.0,16.0,65.0,5.0,5.0,16.0,5.0,5.0,,,
game: 5,2,5,11,25,14,22,25,50.0,50.0,80.0,141.0,13.0,50.0,,,,,,
game: 6,2,14,14,19,6,24,11,49.0,84.0,8.0,68.0,16.0,,,,,,,
game: 7,5,5,3,6,18,13,25,23.0,67.0,13.0,75.0,141.0,,,,,,,
game: 8,2,4,3,12,8,16,38,11.0,56.0,,,,,,,,,,
game: 9,5,49,49,174,68,16,16,141.0,24.0,29.0,29.0,,,,,,,,
game: 10,1,4,6,13,20,17,38,26.0,34.0,84.0,8.0,41.0,,,,,,,
game: 11,5,3,3,4,8,17,14,34.0,26.0,22.0,20.0,84.0,,,,,,,
game: 12,1,2,4,6,9,22,60,179.0,27.0,,,,,,,,,,
game: 13,2,4,6,29,146,515,42,51.0,13.0,21.0,34.0,21.0,,,,,,,
game: 14,1,2,11,4,9,17,33,16.0,38.0,61.0,34.0,122.0,,,,,,,
game: 15,2,38,5,9,13,21,63,44.0,43.0,206.0,187.0,13.0,13.0,,,,,,
game: 16,2,4,38,7,17,19,27,16.0,49.0,,,,,,,,,,
game: 17,2,11,33,46,28,22,41,18.0,19.0,26.0,,,,,,,,,
game: 18,1,3,5,11,12,13,15,59.0,126.0,18.0,247.0,122.0,16.0,16.0,5.0,9.0,,,
game: 19,2,11,14,41,19,75,27,243.0,219.0,670.0,128.0,97.0,44.0,17.0,,,,,
game: 20,1,8,4,4,11,6,9,60.0,10.0,,,,,,,,,,
game: 21,2,4,4,12,22,61,41,24.0,70.0,206.0,53.0,66.0,,,,,,,
game: 22,1,3,5,9,34,57,26,23.0,,,,,,,,,,,
game: 23,5,38,49,8,24,15,20,34.0,17.0,17.0,29.0,27.0,10.0,16.0,10.0,,,,
game: 24,2,8,5,7,9,35,6,42.0,13.0,13.0,46.0,23.0,,,,,,,
game: 25,2,8,22,11,6,16,12,22.0,373.0,13.0,13.0,21.0,10.0,,,,,,
game: 26,1,3,4,41,47,68,11,86.0,8.0,27.0,35.0,,,,,,,,
game: 27,2,3,8,5,20,60,92,23.0,40.0,10.0,21.0,122.0,17.0,23.0,5.0,16.0,5.0,,
game: 28,2,2,3,5,10,22,17,39.0,42.0,63.0,16.0,5.0,5.0,8.0,10.0,,,,
game: 29,2,8,8,8,22,15,9,,,,,,,,,,,,
game: 30,2,2,3,8,9,13,14,,,,,,,,,,,,
game: 31,2,2,2,14,20,13,38,33.0,40.0,72.0,49.0,34.0,21.0,,,,,,
game: 32,1,3,5,15,28,48,33,21.0,50.0,73.0,46.0,84.0,8.0,17.0,41.0,,,,
game: 33,5,4,6,8,17,10,11,14.0,54.0,18.0,44.0,13.0,92.0,16.0,41.0,,,,
game: 34,1,3,5,12,27,16,22,,,,,,,,,,,,
game: 35,2,11,4,7,9,26,73,76.0,74.0,73.0,199.0,20.0,10.0,,,,,,
game: 36,2,11,3,6,11,6,8,20.0,24.0,29.0,,,,,,,,,
game: 37,2,14,17,21,26,60,100,48.0,15.0,,,,,,,,,,
game: 38,2,3,19,14,48,31,20,21.0,,,,,,,,,,,
game: 39,2,4,5,13,29,23,57,,,,,,,,,,,,
game: 40,1,3,2,8,5,12,21,40.0,29.0,34.0,52.0,78.0,,,,,,,
game: 41,2,11,12,19,40,25,24,54.0,27.0,10.0,16.0,16.0,16.0,,,,,,
game: 42,1,3,3,7,8,20,59,17.0,10.0,23.0,10.0,,,,,,,,
game: 43,2,11,17,20,28,31,16,16.0,26.0,22.0,114.0,29.0,,,,,,,
game: 44,1,2,3,8,10,38,42,49.0,,,,,,,,,,,
game: 45,2,2,5,8,13,10,15,35.0,116.0,57.0,44.0,29.0,16.0,,,,,,
game: 46,2,4,11,18,40,10,27,36.0,23.0,,,,,,,,,,
game: 47,2,3,4,25,20,20,44,55.0,27.0,16.0,,,,,,,,,
game: 48,1,3,4,7,13,13,107,30.0,,,,,,,,,,,
game: 49,2,3,4,5,13,7,15,41.0,65.0,27.0,45.0,39.0,,,,,,,
game: 50,2,8,5,13,11,20,21,41.0,16.0,,,,,,,,,,
game: 51,5,8,19,98,14,15,11,,,,,,,,,,,,
game: 52,1,11,5,8,13,17,25,49.0,20.0,,,,,,,,,,
game: 53,5,11,5,12,9,17,33,24.0,34.0,21.0,,,,,,,,,
game: 54,1,4,4,12,6,12,18,50.0,27.0,74.0,34.0,27.0,,,,,,,
game: 55,2,3,5,14,21,36,37,26.0,38.0,18.0,29.0,16.0,16.0,5.0,5.0,,,,
game: 56,2,4,4,8,8,9,8,9.0,13.0,33.0,29.0,,,,,,,,
game: 57,5,5,10,21,13,31,30,,,,,,,,,,,,
game: 58,1,4,5,18,155,6,75,42.0,21.0,,,,,,,,,,
game: 59,5,2,3,10,15,45,49,57.0,21.0,50.0,27.0,20.0,48.0,56.0,65.0,,,,
game: 60,1,4,6,13,21,61,16,37.0,92.0,,,,,,,,,,
game: 61,5,27,4,6,11,24,24,66.0,70.0,119.0,23.0,8.0,29.0,65.0,16.0,,,,
game: 62,2,3,3,6,7,57,22,149.0,57.0,,,,,,,,,,
game: 63,16,11,3,3,5,14,12,24.0,18.0,13.0,44.0,29.0,,,,,,,
game: 64,1,3,4,12,41,11,76,83.0,47.0,20.0,13.0,21.0,,,,,,,
game: 65,5,8,8,14,9,12,14,77.0,18.0,18.0,14.0,48.0,40.0,,,,,,
