,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 0,2,4,6,12,21,37.0,39.0,,,,,,
game: 1,2,14,30,160,106,16.0,21.0,15.0,16.0,5.0,,,
game: 2,2,5,9,21,18,16.0,30.0,35.0,16.0,5.0,16.0,,
game: 3,5,11,5,11,11,36.0,19.0,16.0,5.0,16.0,5.0,,
game: 4,1,4,12,27,13,9.0,29.0,13.0,20.0,14.0,,,
game: 5,5,8,11,25,13,31.0,34.0,44.0,35.0,16.0,5.0,,
game: 6,3,3,7,9,8,16.0,15.0,10.0,8.0,,,,
game: 7,5,4,7,15,48,73.0,21.0,30.0,29.0,30.0,,,
game: 8,1,4,4,11,10,34.0,29.0,29.0,,,,,
game: 9,5,4,5,13,21,62.0,56.0,32.0,11.0,27.0,,,
game: 10,2,4,9,10,24,13.0,34.0,91.0,507.0,16.0,,,
game: 11,8,4,14,6,9,6.0,21.0,10.0,16.0,17.0,,,
game: 12,2,3,7,18,4,12.0,24.0,30.0,21.0,23.0,,,
game: 13,8,5,12,45,47,6.0,13.0,35.0,8.0,16.0,5.0,,
game: 14,2,3,5,4,7,24.0,18.0,34.0,35.0,41.0,16.0,5.0,
game: 15,8,22,8,7,20,25.0,24.0,29.0,16.0,,,,
game: 16,1,4,4,14,12,11.0,23.0,41.0,16.0,5.0,,,
game: 17,2,3,11,32,51,38.0,194.0,45.0,25.0,41.0,16.0,16.0,
game: 18,1,4,10,5,16,11.0,8.0,16.0,,,,,
game: 19,8,11,8,12,13,24.0,17.0,16.0,5.0,16.0,16.0,,
game: 20,3,5,10,17,33,56.0,21.0,65.0,16.0,16.0,5.0,5.0,
game: 21,11,22,54,10,21,15.0,16.0,36.0,41.0,,,,
game: 22,1,5,6,16,24,105.0,199.0,16.0,5.0,,,,
game: 23,5,5,9,8,27,37.0,67.0,27.0,35.0,16.0,,,
game: 24,2,4,7,14,45,85.0,62.0,21.0,16.0,,,,
game: 25,2,4,9,9,19,16.0,21.0,10.0,,,,,
game: 26,1,2,4,9,34,37.0,55.0,15.0,23.0,36.0,,,
game: 27,5,11,14,26,33,73.0,26.0,41.0,16.0,16.0,,,
game: 28,2,3,5,7,20,81.0,18.0,19.0,8.0,,,,
game: 29,11,22,27,11,41,17.0,29.0,32.0,15.0,,,,
game: 30,2,3,6,7,16,25.0,16.0,11.0,27.0,28.0,,,
game: 31,5,4,7,10,27,39.0,11.0,35.0,65.0,16.0,5.0,10.0,
game: 32,2,2,4,12,13,38.0,28.0,35.0,15.0,10.0,,,
game: 33,2,4,4,4,7,40.0,74.0,16.0,26.0,14.0,13.0,,
game: 34,1,6,13,15,19,19.0,49.0,30.0,35.0,65.0,16.0,16.0,
game: 35,5,8,14,25,41,10.0,37.0,19.0,58.0,,,,
game: 36,1,2,5,9,13,28.0,65.0,43.0,44.0,41.0,,,
game: 37,2,4,12,39,32,83.0,49.0,86.0,16.0,,,,
game: 38,1,4,7,13,12,5.0,11.0,27.0,65.0,16.0,16.0,16.0,
game: 39,5,8,8,16,24,86.0,50.0,10.0,,,,,
game: 40,2,2,8,12,43,16.0,11.0,,,,,,
game: 41,5,11,30,14,7,8.0,30.0,48.0,41.0,41.0,35.0,,
game: 42,2,3,6,17,17,17.0,35.0,5.0,5.0,,,,
game: 43,8,23,8,16,11,19.0,22.0,15.0,29.0,10.0,5.0,16.0,
game: 44,2,6,6,9,7,11.0,8.0,,,,,,
game: 45,5,11,19,41,204,9.0,13.0,23.0,,,,,
game: 46,2,4,7,14,7,35.0,97.0,60.0,65.0,16.0,5.0,,
game: 47,11,25,79,49,10,6.0,6.0,8.0,13.0,10.0,,,
game: 48,3,8,15,3,5,6.0,19.0,35.0,16.0,80.0,,,
game: 49,8,4,10,21,61,22.0,97.0,18.0,56.0,,,,
game: 50,2,2,4,9,14,45.0,28.0,54.0,15.0,16.0,,,
game: 51,5,11,11,29,64,45.0,13.0,15.0,8.0,16.0,,,
game: 52,2,2,7,12,27,16.0,70.0,23.0,10.0,16.0,,,
game: 53,5,4,10,14,12,20.0,8.0,29.0,,,,,
game: 54,1,5,4,8,7,14.0,6.0,11.0,35.0,,,,
game: 55,5,11,22,30,22,12.0,34.0,56.0,20.0,,,,
game: 56,1,3,9,12,47,39.0,14.0,21.0,,,,,
game: 57,5,14,11,68,41,9.0,12.0,35.0,34.0,,,,
game: 58,2,4,11,27,18,,,,,,,,
game: 59,5,17,38,76,1286,59.0,21.0,9.0,16.0,16.0,5.0,16.0,
game: 60,1,2,7,21,16,69.0,201.0,65.0,29.0,16.0,5.0,,
game: 61,5,14,33,25,30,21.0,27.0,,,,,,
game: 62,2,4,8,12,7,21.0,10.0,23.0,16.0,,,,
game: 63,8,3,8,17,20,13.0,44.0,23.0,27.0,8.0,16.0,,
game: 64,1,4,4,9,9,7.0,13.0,21.0,,,,,
game: 65,5,4,7,9,17,23.0,42.0,44.0,38.0,15.0,,,
game: 66,1,3,5,8,21,102.0,122.0,71.0,11.0,27.0,,,
game: 67,5,4,9,8,11,11.0,17.0,8.0,16.0,5.0,,,
game: 68,2,3,4,10,10,17.0,38.0,13.0,10.0,5.0,,,
game: 69,8,11,38,5,14,13.0,9.0,27.0,,,,,
game: 70,2,4,9,13,9,20.0,11.0,41.0,10.0,5.0,16.0,5.0,16.0
game: 71,5,5,23,22,9,21.0,,,,,,,
game: 72,2,4,6,9,7,11.0,8.0,21.0,16.0,5.0,5.0,5.0,
game: 73,5,8,26,16,67,57.0,97.0,86.0,41.0,16.0,,,
game: 74,2,3,5,5,15,17.0,,,,,,,
game: 75,2,8,7,13,13,49.0,199.0,16.0,,,,,
game: 76,2,3,4,5,9,31.0,30.0,50.0,35.0,16.0,5.0,,
game: 77,11,6,5,11,6,18.0,25.0,42.0,41.0,5.0,5.0,,
game: 78,3,7,11,11,16,9.0,13.0,10.0,,,,,
game: 79,5,8,6,9,31,69.0,206.0,35.0,5.0,5.0,,,
