,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 0,1,3,9,18,14,7.0,,,,,,,,,,,
game: 1,2,5,5,20,11,8.0,10.0,14.0,,,,,,,,,
game: 2,2,2,4,10,4,12.0,7.0,11.0,,,,,,,,,
game: 3,5,5,14,14,16,13.0,21.0,28.0,10.0,10.0,16.0,5.0,,,,,
game: 4,1,4,8,13,7,13.0,45.0,40.0,,,,,,,,,
game: 5,5,11,27,41,166,345.0,65.0,46.0,,,,,,,,,
game: 6,3,5,5,11,11,38.0,10.0,16.0,,,,,,,,,
game: 7,5,11,4,6,17,5.0,,,,,,,,,,,
game: 8,2,3,5,14,20,12.0,20.0,,,,,,,,,,
game: 9,5,11,30,11,19,12.0,17.0,41.0,16.0,,,,,,,,
game: 10,2,3,4,9,7,12.0,16.0,,,,,,,,,,
game: 11,5,5,8,14,44,31.0,33.0,31.0,20.0,68.0,,,,,,,
game: 12,1,4,8,2,5,9.0,19.0,20.0,,,,,,,,,
game: 13,2,5,6,11,36,8.0,16.0,36.0,,,,,,,,,
game: 14,2,3,3,5,4,12.0,7.0,,,,,,,,,,
game: 15,2,11,11,6,8,14.0,,,,,,,,,,,
game: 16,2,2,3,2,6,13.0,37.0,27.0,42.0,29.0,16.0,5.0,16.0,16.0,35.0,,
game: 17,2,8,22,10,15,64.0,12.0,26.0,27.0,16.0,16.0,5.0,5.0,,,,
game: 18,1,3,6,4,11,8.0,7.0,26.0,11.0,27.0,,,,,,,
game: 19,2,4,7,9,8,27.0,12.0,,,,,,,,,,
game: 20,1,4,6,9,7,7.0,11.0,11.0,,,,,,,,,
game: 21,5,2,5,13,7,9.0,12.0,14.0,,,,,,,,,
game: 22,1,3,4,6,8,23.0,49.0,,,,,,,,,,
game: 23,5,8,5,11,8,14.0,9.0,13.0,8.0,,,,,,,,
game: 24,1,3,4,8,12,24.0,13.0,29.0,29.0,,,,,,,,
game: 25,8,4,2,4,8,29.0,83.0,8.0,27.0,16.0,,,,,,,
game: 26,2,2,4,7,25,22.0,21.0,,,,,,,,,,
game: 27,5,4,4,11,6,18.0,7.0,19.0,23.0,,,,,,,,
game: 28,2,3,3,4,12,22.0,15.0,29.0,16.0,,,,,,,,
game: 29,5,3,6,9,4,8.0,26.0,11.0,15.0,,,,,,,,
game: 30,2,3,4,5,9,10.0,14.0,18.0,28.0,27.0,16.0,10.0,29.0,16.0,5.0,,
game: 31,5,4,4,7,11,11.0,24.0,21.0,10.0,5.0,16.0,16.0,,,,,
game: 32,1,3,4,3,7,7.0,23.0,20.0,27.0,10.0,16.0,16.0,,,,,
